spec_id,taxonomy,option,controls,tier_spec,weight_id,outcome,term,term_type,estimate,std_error,t_stat,p_value,ci_low,ci_high
policy_block__pure_ols__FE__mayor__w_owners_muni_univ,policy_block,pure_ols,FE,mayor,w_owners_muni_univ,log_gdp,s_policy_block_Agro,share,0.0279932674046714,0.00718998787069405,3.89336782037842,0.000100018190163765,0.0139008911781111,0.0420856436312317
policy_block__pure_ols__FE__mayor__w_owners_muni_univ,policy_block,pure_ols,FE,mayor,w_owners_muni_univ,log_gdp,s_policy_block_Ind,share,0.0160189777329362,0.00347250682399679,4.6130874739358,4.05617912075324e-06,0.00921286435790247,0.0228250911079699
policy_block__pure_ols__FE__mayor__w_owners_muni_univ,policy_block,pure_ols,FE,mayor,w_owners_muni_univ,log_gdp,s_policy_block_Infra,share,-0.00158610730460714,0.00348899115114082,-0.454603418552242,0.649412293715838,-0.00842452996084314,0.00525231535162886
policy_block__pure_ols__FE__mayor__w_owners_muni_univ,policy_block,pure_ols,FE,mayor,w_owners_muni_univ,log_gdp,total_bndes_initial_gdp,total_bndes,-2.3387162733608e-06,7.43702162901606e-05,-0.0314469473133725,0.974914228007257,-0.000148104340202076,0.000143426907655354
policy_block__pure_ols__FE__gov__w_owners_muni_univ,policy_block,pure_ols,FE,gov,w_owners_muni_univ,log_gdp,s_policy_block_Agro,share,0.0279932674046714,0.00718998787069405,3.89336782037842,0.000100018190163765,0.0139008911781111,0.0420856436312317
policy_block__pure_ols__FE__gov__w_owners_muni_univ,policy_block,pure_ols,FE,gov,w_owners_muni_univ,log_gdp,s_policy_block_Ind,share,0.0160189777329362,0.00347250682399679,4.6130874739358,4.05617912075324e-06,0.00921286435790247,0.0228250911079699
policy_block__pure_ols__FE__gov__w_owners_muni_univ,policy_block,pure_ols,FE,gov,w_owners_muni_univ,log_gdp,s_policy_block_Infra,share,-0.00158610730460714,0.00348899115114082,-0.454603418552242,0.649412293715838,-0.00842452996084314,0.00525231535162886
policy_block__pure_ols__FE__gov__w_owners_muni_univ,policy_block,pure_ols,FE,gov,w_owners_muni_univ,log_gdp,total_bndes_initial_gdp,total_bndes,-2.3387162733608e-06,7.43702162901606e-05,-0.0314469473133725,0.974914228007257,-0.000148104340202076,0.000143426907655354
policy_block__pure_ols__FE__mayor_gov__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_gov,w_owners_muni_univ,log_gdp,s_policy_block_Agro,share,0.0279932674046714,0.00718998787069405,3.89336782037842,0.000100018190163765,0.0139008911781111,0.0420856436312317
policy_block__pure_ols__FE__mayor_gov__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_gov,w_owners_muni_univ,log_gdp,s_policy_block_Ind,share,0.0160189777329362,0.00347250682399679,4.6130874739358,4.05617912075324e-06,0.00921286435790247,0.0228250911079699
policy_block__pure_ols__FE__mayor_gov__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_gov,w_owners_muni_univ,log_gdp,s_policy_block_Infra,share,-0.00158610730460714,0.00348899115114082,-0.454603418552242,0.649412293715838,-0.00842452996084314,0.00525231535162886
policy_block__pure_ols__FE__mayor_gov__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_gov,w_owners_muni_univ,log_gdp,total_bndes_initial_gdp,total_bndes,-2.3387162733608e-06,7.43702162901606e-05,-0.0314469473133725,0.974914228007257,-0.000148104340202076,0.000143426907655354
policy_block__pure_ols__FE__mayor_pres__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_pres,w_owners_muni_univ,log_gdp,s_policy_block_Agro,share,0.0279932674046714,0.00718998787069405,3.89336782037842,0.000100018190163765,0.0139008911781111,0.0420856436312317
policy_block__pure_ols__FE__mayor_pres__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_pres,w_owners_muni_univ,log_gdp,s_policy_block_Ind,share,0.0160189777329362,0.00347250682399679,4.6130874739358,4.05617912075324e-06,0.00921286435790247,0.0228250911079699
policy_block__pure_ols__FE__mayor_pres__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_pres,w_owners_muni_univ,log_gdp,s_policy_block_Infra,share,-0.00158610730460714,0.00348899115114082,-0.454603418552242,0.649412293715838,-0.00842452996084314,0.00525231535162886
policy_block__pure_ols__FE__mayor_pres__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_pres,w_owners_muni_univ,log_gdp,total_bndes_initial_gdp,total_bndes,-2.3387162733608e-06,7.43702162901606e-05,-0.0314469473133725,0.974914228007257,-0.000148104340202076,0.000143426907655354
policy_block__pure_ols__FE__mayor_gov_pres__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_gov_pres,w_owners_muni_univ,log_gdp,s_policy_block_Agro,share,0.0279932674046714,0.00718998787069405,3.89336782037842,0.000100018190163765,0.0139008911781111,0.0420856436312317
policy_block__pure_ols__FE__mayor_gov_pres__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_gov_pres,w_owners_muni_univ,log_gdp,s_policy_block_Ind,share,0.0160189777329362,0.00347250682399679,4.6130874739358,4.05617912075324e-06,0.00921286435790247,0.0228250911079699
policy_block__pure_ols__FE__mayor_gov_pres__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_gov_pres,w_owners_muni_univ,log_gdp,s_policy_block_Infra,share,-0.00158610730460714,0.00348899115114082,-0.454603418552242,0.649412293715838,-0.00842452996084314,0.00525231535162886
policy_block__pure_ols__FE__mayor_gov_pres__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_gov_pres,w_owners_muni_univ,log_gdp,total_bndes_initial_gdp,total_bndes,-2.3387162733608e-06,7.43702162901606e-05,-0.0314469473133725,0.974914228007257,-0.000148104340202076,0.000143426907655354
policy_block__partial_iv__FE__mayor__w_owners_muni_univ,policy_block,partial_iv,FE,mayor,w_owners_muni_univ,log_gdp,fit_s_policy_block_Agro,share,8.75546257660156,21.866628411009,0.400402952482309,0.688875108658827,-34.1031291089762,51.6140542621793
policy_block__partial_iv__FE__mayor__w_owners_muni_univ,policy_block,partial_iv,FE,mayor,w_owners_muni_univ,log_gdp,fit_s_policy_block_Ind,share,-4.29136187188694,9.69901444092828,-0.4424533954479,0.658178330539192,-23.3014301761064,14.7187064323325
policy_block__partial_iv__FE__mayor__w_owners_muni_univ,policy_block,partial_iv,FE,mayor,w_owners_muni_univ,log_gdp,fit_s_policy_block_Infra,share,5.23526841649524,12.4156401092236,0.4216672173516,0.673284211188136,-19.099386197583,29.5699230305735
policy_block__partial_iv__FE__mayor__w_owners_muni_univ,policy_block,partial_iv,FE,mayor,w_owners_muni_univ,log_gdp,total_bndes_initial_gdp,total_bndes,0.0023754694520166,0.00545725319885173,0.435286647963562,0.663371243875723,-0.0083207468177328,0.013071685721766
policy_block__partial_iv__FE__gov__w_owners_muni_univ,policy_block,partial_iv,FE,gov,w_owners_muni_univ,log_gdp,fit_s_policy_block_Agro,share,0.42668339345206,0.448065433399329,0.952279202202565,0.340996730610491,-0.451524856010626,1.30489164291474
policy_block__partial_iv__FE__gov__w_owners_muni_univ,policy_block,partial_iv,FE,gov,w_owners_muni_univ,log_gdp,fit_s_policy_block_Ind,share,0.53248786697173,0.228877658702216,2.32651745037522,0.0200266587997362,0.0838876559153861,0.981088078028074
policy_block__partial_iv__FE__gov__w_owners_muni_univ,policy_block,partial_iv,FE,gov,w_owners_muni_univ,log_gdp,fit_s_policy_block_Infra,share,-0.265507188030208,0.382191994015999,-0.694695839230722,0.487274917001351,-1.01460349630157,0.483589120241151
policy_block__partial_iv__FE__gov__w_owners_muni_univ,policy_block,partial_iv,FE,gov,w_owners_muni_univ,log_gdp,total_bndes_initial_gdp,total_bndes,-0.00024769505991235,0.000166010604849928,-1.49204359646942,0.135744359835778,-0.000573075845418208,7.76857255935088e-05
policy_block__partial_iv__FE__mayor_gov__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_gov,w_owners_muni_univ,log_gdp,fit_s_policy_block_Agro,share,0.307939177244593,0.372379144067203,0.826950655402495,0.408300460501689,-0.421923945127124,1.03780229961631
policy_block__partial_iv__FE__mayor_gov__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_gov,w_owners_muni_univ,log_gdp,fit_s_policy_block_Ind,share,0.393669686678231,0.192936772629832,2.04040775282131,0.0413568007517859,0.0155136123237615,0.771825761032701
policy_block__partial_iv__FE__mayor_gov__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_gov,w_owners_muni_univ,log_gdp,fit_s_policy_block_Infra,share,-0.212423245516648,0.270116757796385,-0.786412687793229,0.431659213890146,-0.741852090797564,0.317005599764267
policy_block__partial_iv__FE__mayor_gov__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_gov,w_owners_muni_univ,log_gdp,total_bndes_initial_gdp,total_bndes,-0.000181112599941926,0.000144941949549923,-1.24955266921909,0.211515514447617,-0.000465198821059776,0.000102973621175924
policy_block__partial_iv__FE__mayor_pres__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_pres,w_owners_muni_univ,log_gdp,fit_s_policy_block_Agro,share,0.0680964956793764,0.339085211175514,0.200824139287304,0.840843420704272,-0.596510518224631,0.732703509583384
policy_block__partial_iv__FE__mayor_pres__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_pres,w_owners_muni_univ,log_gdp,fit_s_policy_block_Ind,share,0.0555773014219825,0.173407122107483,0.320501838370478,0.748599961931268,-0.284300657908685,0.39545526075265
policy_block__partial_iv__FE__mayor_pres__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_pres,w_owners_muni_univ,log_gdp,fit_s_policy_block_Infra,share,-0.300114079833857,0.322141138202397,-0.931622957280603,0.351571799214227,-0.931510710710555,0.331282551042842
policy_block__partial_iv__FE__mayor_pres__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_pres,w_owners_muni_univ,log_gdp,total_bndes_initial_gdp,total_bndes,-2.94949790002341e-06,0.0001451779324862,-0.0203164341130411,0.98379167379677,-0.000287498245572976,0.000281599249772929
