spec_id,taxonomy,option,controls,tier_spec,weight_id,outcome,endogenous_var,instrument_set,first_stage_f,first_stage_p,partial_r2,status,note
policy_block__partial_iv__FE__mayor__w_owners_muni_univ,policy_block,partial_iv,FE,mayor,w_owners_muni_univ,log_gdp,s_policy_block_Agro,a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Serv,1.91236313024155,0.105307604854745,,ok,""
policy_block__partial_iv__FE__mayor__w_owners_muni_univ,policy_block,partial_iv,FE,mayor,w_owners_muni_univ,log_gdp,s_policy_block_Ind,a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Serv,4.76653025976077,0.000763452593351055,,ok,""
policy_block__partial_iv__FE__mayor__w_owners_muni_univ,policy_block,partial_iv,FE,mayor,w_owners_muni_univ,log_gdp,s_policy_block_Infra,a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Serv,4.220763763143,0.00203810089122725,,ok,""
policy_block__partial_iv__FE__gov__w_owners_muni_univ,policy_block,partial_iv,FE,gov,w_owners_muni_univ,log_gdp,s_policy_block_Agro,a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Serv,2.8343898042441,0.0230273375998188,,ok,""
policy_block__partial_iv__FE__gov__w_owners_muni_univ,policy_block,partial_iv,FE,gov,w_owners_muni_univ,log_gdp,s_policy_block_Ind,a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Serv,4.41113423068985,0.00144901141895345,,ok,""
policy_block__partial_iv__FE__gov__w_owners_muni_univ,policy_block,partial_iv,FE,gov,w_owners_muni_univ,log_gdp,s_policy_block_Infra,a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Serv,3.32317857316045,0.00993454726025535,,ok,""
policy_block__partial_iv__FE__mayor_gov__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_gov,w_owners_muni_univ,log_gdp,s_policy_block_Agro,a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Serv + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Serv,2.36554984000818,0.0152772777241264,,ok,""
policy_block__partial_iv__FE__mayor_gov__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_gov,w_owners_muni_univ,log_gdp,s_policy_block_Ind,a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Serv + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Serv,4.08647279703099,7.01329111177962e-05,,ok,""
policy_block__partial_iv__FE__mayor_gov__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_gov,w_owners_muni_univ,log_gdp,s_policy_block_Infra,a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Serv + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Serv,3.43480522932069,0.000585114987292133,,ok,""
policy_block__partial_iv__FE__mayor_pres__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_pres,w_owners_muni_univ,log_gdp,s_policy_block_Agro,a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Serv + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Serv,2.30510977082961,0.0181623274113272,,ok,""
policy_block__partial_iv__FE__mayor_pres__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_pres,w_owners_muni_univ,log_gdp,s_policy_block_Ind,a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Serv + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Serv,7.33816373215647,8.42970589899496e-10,,ok,""
policy_block__partial_iv__FE__mayor_pres__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_pres,w_owners_muni_univ,log_gdp,s_policy_block_Infra,a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Serv + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Serv,2.61130915484201,0.00744928771837265,,ok,""
policy_block__partial_iv__FE__mayor_gov_pres__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_gov_pres,w_owners_muni_univ,log_gdp,s_policy_block_Agro,a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block_Serv + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block_Serv + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Agro + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Ind + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Infra + a10_Z_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block_Serv,2.22725377643943,0.00846468057613464,,ok,""
