spec_id,taxonomy,option,controls,tier_spec,weight_id,outcome,n_bins_total,n_shares_included,omitted_bin,K_sector_instruments,K_total_instruments,n_obs,n_munis,composition_wald_f,composition_wald_p,total_bndes_coef,total_bndes_p,r2_or_wr2,status,note
policy_block__pure_ols__FE__mayor__w_owners_muni_univ,policy_block,pure_ols,FE,mayor,w_owners_muni_univ,log_gdp,4,3,Serv,4,1,89009,5570,11.8576125975875,9.25218623895071e-08,-2.3387162733608e-06,0.974914228007257,0.000869292547133083,ok,""
policy_block__pure_ols__FE__gov__w_owners_muni_univ,policy_block,pure_ols,FE,gov,w_owners_muni_univ,log_gdp,4,3,Serv,4,1,89009,5570,11.8576125975875,9.25218623895071e-08,-2.3387162733608e-06,0.974914228007257,0.000869292547133083,ok,""
policy_block__pure_ols__FE__mayor_gov__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_gov,w_owners_muni_univ,log_gdp,4,3,Serv,8,2,89009,5570,11.8576125975875,9.25218623895071e-08,-2.3387162733608e-06,0.974914228007257,0.000869292547133083,ok,""
policy_block__pure_ols__FE__mayor_pres__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_pres,w_owners_muni_univ,log_gdp,4,3,Serv,8,2,89009,5570,11.8576125975875,9.25218623895071e-08,-2.3387162733608e-06,0.974914228007257,0.000869292547133083,ok,""
policy_block__pure_ols__FE__mayor_gov_pres__w_owners_muni_univ,policy_block,pure_ols,FE,mayor_gov_pres,w_owners_muni_univ,log_gdp,4,3,Serv,12,3,89009,5570,11.8576125975875,9.25218623895071e-08,-2.3387162733608e-06,0.974914228007257,0.000869292547133083,ok,""
policy_block__partial_iv__FE__mayor__w_owners_muni_univ,policy_block,partial_iv,FE,mayor,w_owners_muni_univ,log_gdp,4,3,Serv,4,1,89009,5570,0.0669897418730258,0.977432524453815,0.0023754694520166,0.663371243875723,0.00034142428802697,ok,""
policy_block__partial_iv__FE__gov__w_owners_muni_univ,policy_block,partial_iv,FE,gov,w_owners_muni_univ,log_gdp,4,3,Serv,4,1,89009,5570,2.59073761295858,0.0509688002195959,-0.00024769505991235,0.135744359835778,0.0003253538268152,ok,""
policy_block__partial_iv__FE__mayor_gov__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_gov,w_owners_muni_univ,log_gdp,4,3,Serv,8,2,89009,5570,2.32129736501575,0.0730656605631235,-0.000181112599941926,0.211515514447617,0.000225841013337336,ok,""
policy_block__partial_iv__FE__mayor_pres__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_pres,w_owners_muni_univ,log_gdp,4,3,Serv,8,2,89009,5570,0.289544879994964,0.832989459108078,-2.94949790002341e-06,0.98379167379677,3.4541741357641e-05,ok,""
policy_block__partial_iv__FE__mayor_gov_pres__w_owners_muni_univ,policy_block,partial_iv,FE,mayor_gov_pres,w_owners_muni_univ,log_gdp,4,3,Serv,12,3,89009,5570,1.75764995810904,0.152876153893709,-0.000102217495391431,0.403095991932979,0.000180684314692203,ok,""
policy_block__full_iv__FE__mayor__w_owners_muni_univ,policy_block,full_iv,FE,mayor,w_owners_muni_univ,log_gdp,4,3,Serv,4,1,89009,5570,0.0644439452565308,0.97865837216273,0.0295675359208821,0.700493332920534,0.000500456539894167,ok,""
policy_block__full_iv__FE__gov__w_owners_muni_univ,policy_block,full_iv,FE,gov,w_owners_muni_univ,log_gdp,4,3,Serv,4,1,89009,5570,1.58353606242465,0.191005209487547,0.0282941854461641,0.215466325390321,0.000441398964645123,ok,""
policy_block__full_iv__FE__mayor_gov__w_owners_muni_univ,policy_block,full_iv,FE,mayor_gov,w_owners_muni_univ,log_gdp,4,3,Serv,8,2,89009,5570,2.08965743224355,0.099241363744341,0.0292419732417965,0.0500477911829357,0.000762411197813395,ok,""
policy_block__full_iv__FE__mayor_pres__w_owners_muni_univ,policy_block,full_iv,FE,mayor_pres,w_owners_muni_univ,log_gdp,4,3,Serv,8,2,89009,5570,0.084443791173902,0.968552314090792,0.0281969117467017,0.0746482520381818,0.000378899677399347,ok,""
policy_block__full_iv__FE__mayor_gov_pres__w_owners_muni_univ,policy_block,full_iv,FE,mayor_gov_pres,w_owners_muni_univ,log_gdp,4,3,Serv,12,3,89009,5570,1.54960127906913,0.19940375951489,0.0202363162523208,0.0628850225189491,0.000539805827513118,ok,""
policy_block__mixed__FE__mayor__w_owners_muni_univ,policy_block,mixed,FE,mayor,w_owners_muni_univ,log_gdp,4,3,Serv,4,1,89009,5570,1.78063386389557,0.148415320318075,0.0441740731731801,0.164650038009842,0.00117208553825443,ok,""
policy_block__mixed__FE__gov__w_owners_muni_univ,policy_block,mixed,FE,gov,w_owners_muni_univ,log_gdp,4,3,Serv,4,1,89009,5570,1.00022555037961,0.391526408247186,0.0649665017531879,0.163814397937498,0.0011962268553064,ok,""
policy_block__mixed__FE__mayor_gov__w_owners_muni_univ,policy_block,mixed,FE,mayor_gov,w_owners_muni_univ,log_gdp,4,3,Serv,8,2,89009,5570,2.59188572662859,0.0508902278207066,0.0515290242501113,0.054993441005826,0.00159107620802512,ok,""
policy_block__mixed__FE__mayor_pres__w_owners_muni_univ,policy_block,mixed,FE,mayor_pres,w_owners_muni_univ,log_gdp,4,3,Serv,8,2,89009,5570,1.77949688370859,0.148633067887692,0.0441600825824207,0.167260261466128,0.00117204906624047,ok,""
