taxonomy,tier,weight_id,ztotal_col,row_sum_sector_z_corr,ztotal_mean,rows
S4,mayor,w_owners_muni_univ,a10_Ztotal_w_owners_muni_univ_mayor_coalition_cycle_specific_S4,1,0.0762174512032077,70501
S4,gov,w_owners_muni_univ,a10_Ztotal_w_owners_muni_univ_gov_coalition_cycle_specific_S4,1,0.0727617806203521,70501
S4,pres,w_owners_muni_univ,a10_Ztotal_w_owners_muni_univ_pres_coalition_cycle_specific_S4,1,0.0476355937021586,70501
policy_block,mayor,w_owners_muni_univ,a10_Ztotal_w_owners_muni_univ_mayor_coalition_cycle_specific_policy_block,1,0.0776541187484845,70587
policy_block,gov,w_owners_muni_univ,a10_Ztotal_w_owners_muni_univ_gov_coalition_cycle_specific_policy_block,1,0.0741946593063302,70587
policy_block,pres,w_owners_muni_univ,a10_Ztotal_w_owners_muni_univ_pres_coalition_cycle_specific_policy_block,1,0.0478112234116982,70587
S4,mayor,w_binary_muni_univ,a10_Ztotal_w_binary_muni_univ_mayor_coalition_cycle_specific_S4,1,0.0811826412632579,70501
S4,gov,w_binary_muni_univ,a10_Ztotal_w_binary_muni_univ_gov_coalition_cycle_specific_S4,1,0.0759089012250084,70501
S4,pres,w_binary_muni_univ,a10_Ztotal_w_binary_muni_univ_pres_coalition_cycle_specific_S4,1,0.0506159010613802,70501
policy_block,mayor,w_binary_muni_univ,a10_Ztotal_w_binary_muni_univ_mayor_coalition_cycle_specific_policy_block,1,0.0841040831650068,70587
policy_block,gov,w_binary_muni_univ,a10_Ztotal_w_binary_muni_univ_gov_coalition_cycle_specific_policy_block,1,0.0789087976139541,70587
policy_block,pres,w_binary_muni_univ,a10_Ztotal_w_binary_muni_univ_pres_coalition_cycle_specific_policy_block,1,0.0524716649168123,70587
