tier,weight_id,cluster_id
gov,w_firm_muni_univ,1
gov,w_owners_muni_univ,1
gov,w_emp_muni_univ,2
gov,w_firm_empshare_floor,2
gov,w_binary_muni_univ,3
gov,w_binary_empshare_floor,4
mayor,w_owners_muni_univ,1
mayor,w_emp_muni_univ,2
mayor,w_firm_empshare_floor,2
mayor,w_firm_muni_univ,3
mayor,w_binary_muni_univ,4
mayor,w_binary_empshare_floor,5
pres,w_owners_muni_univ,1
pres,w_emp_muni_univ,2
pres,w_firm_empshare_floor,2
pres,w_firm_muni_univ,3
pres,w_binary_muni_univ,4
pres,w_binary_empshare_floor,5
