weight_id,tier,cluster_id,controls,f_stat_cd,f_stat_kp,n_obs,n_clusters,df1,df2,coef_estimate,se_estimate
owners_muni_univ,C,1,no_controls,234.066866734923,59.5668888345099,22247,5564,4,22242,-9.13230604546678,1.39327706193314
owners_muni_univ,C,1,C1_FE,236.354743663396,59.5581117813084,22247,5564,4,22239,-9.13216077292516,1.39337320952895
owners_muni_univ,C,1,C2_FE_R0a,199.358246570642,50.2977755259387,22247,5564,4,22238,-5.51942064585376,1.55135721126615
firm_empshare_floor,C,2,no_controls,52.8771133838823,13.3847802603534,22247,5564,4,22242,27.2062398132431,6.62307582785336
firm_empshare_floor,C,2,C1_FE,53.1893143833687,13.3832705983372,22247,5564,4,22239,27.2066159171272,6.62354060686537
firm_empshare_floor,C,2,C2_FE_R0a,107.185663050848,26.9881833531601,22247,5564,4,22238,39.6438897106458,7.37564107752936
firm_muni_univ,C,3,no_controls,130.756432077565,33.3601756487717,22247,5564,4,22242,-10.8321733109109,2.19835001980819
firm_muni_univ,C,3,C1_FE,132.173373000687,33.3547113944617,22247,5564,4,22239,-10.8319541702586,2.19850245863254
firm_muni_univ,C,3,C2_FE_R0a,76.8873929295767,19.3980381530771,22247,5564,4,22238,-2.57275509557345,2.50710669816462
binary_muni_univ,C,4,no_controls,187.1312476848,47.5430500927284,22247,5564,4,22242,-4.51373064162561,1.40296492002015
binary_muni_univ,C,4,C1_FE,188.835935564723,47.5360471470694,22247,5564,4,22239,-4.5135882289756,1.40305940247452
binary_muni_univ,C,4,C2_FE_R0a,177.772789813641,44.8078185883127,22247,5564,4,22238,0.380033768851446,1.45280077098945
binary_empshare_floor,C,5,no_controls,54.6752065307203,13.8146073782307,22247,5564,4,22242,15.8071522387635,3.94213284765177
binary_empshare_floor,C,5,C1_FE,54.9006089541953,13.8126901360688,22247,5564,4,22239,15.8073129001312,3.9424090018298
binary_empshare_floor,C,5,C2_FE_R0a,61.3617023793322,15.4045575167169,22247,5564,4,22238,19.7093400305697,4.17932482061108
emp_muni_univ,C_clustermate,2,no_controls,74.1508011314249,18.7596243866027,22247,5564,4,22242,17.2238745304707,3.42795395131296
emp_muni_univ,C_clustermate,2,C1_FE,74.5747944520136,18.7573910190399,22247,5564,4,22239,17.224053746234,3.42819446201202
emp_muni_univ,C_clustermate,2,C2_FE_R0a,125.137218521819,31.4727165885328,22247,5564,4,22238,22.8023568878215,3.72743493550493
owners_muni_match,B,1,no_controls,234.066866734923,59.5668888345099,22247,5564,4,22242,-9.13230604546678,1.39327706193314
owners_muni_match,B,1,C1_FE,236.354743663396,59.5581117813084,22247,5564,4,22239,-9.13216077292516,1.39337320952895
owners_muni_match,B,1,C2_FE_R0a,199.358246570642,50.2977755259387,22247,5564,4,22238,-5.51942064585376,1.55135721126615
firm_empshare_floor_match,B,2,no_controls,179.811729253064,45.9181319897704,22247,5564,4,22242,-9.08163770660898,1.98665939057082
firm_empshare_floor_match,B,2,C1_FE,181.958921831809,45.9115846645312,22247,5564,4,22239,-9.08145885174155,1.9867960901407
firm_empshare_floor_match,B,2,C2_FE_R0a,163.018512846036,41.2168054480463,22247,5564,4,22238,-4.41431419298782,2.07460699609961
