scenario,variant,outcome,fe_spec,n_dropped,n_instruments,K_identified,n_collinear,n_obs,n_munis,ar_F,ar_p,rejects_5pc,region_status,fs_F,status
baseline,contemporaneous,log_gdp,muni_year,0,57,57,0,89009,5570,2.69164260301487,9.13001304482286e-11,TRUE,bounded_excludes_zero,19.9783659927573,ok
baseline,contemporaneous,log_gdp,year_only,0,57,57,0,89009,5570,5.2920085374831,6.43839159800821e-35,TRUE,bounded_excludes_zero,19.9783659927573,ok
baseline,contemporaneous,delta_log_gdp,muni_year,0,57,57,0,83438,5570,1.03829524977128,0.395875547297171,FALSE,bounded_contains_zero,19.9783659927573,ok
baseline,contemporaneous,delta_log_gdp,year_only,0,57,57,0,83438,5570,1.14800790788217,0.207357391609128,FALSE,bounded_contains_zero,19.9783659927573,ok
baseline,frozen,log_gdp,muni_year,0,57,57,0,89009,5570,2.69164260301487,9.13001304482286e-11,TRUE,bounded_excludes_zero,15.6680588807114,ok
baseline,frozen,log_gdp,year_only,0,57,57,0,89009,5570,5.2920085374831,6.43839159800821e-35,TRUE,bounded_excludes_zero,15.6680588807114,ok
baseline,frozen,delta_log_gdp,muni_year,0,57,57,0,83438,5570,1.03829524977128,0.395875547297171,FALSE,bounded_contains_zero,15.6680588807114,ok
baseline,frozen,delta_log_gdp,year_only,0,57,57,0,83438,5570,1.14800790788217,0.207357391609128,FALSE,bounded_contains_zero,15.6680588807114,ok
baseline,balanced,log_gdp,muni_year,0,57,57,0,89009,5570,2.69164260301487,9.13001304482286e-11,TRUE,bounded_excludes_zero,42.9276742260501,ok
baseline,balanced,log_gdp,year_only,0,57,57,0,89009,5570,5.2920085374831,6.43839159800821e-35,TRUE,bounded_excludes_zero,42.9276742260501,ok
baseline,balanced,delta_log_gdp,muni_year,0,57,57,0,83438,5570,1.03829524977128,0.395875547297171,FALSE,bounded_contains_zero,42.9276742260501,ok
baseline,balanced,delta_log_gdp,year_only,0,57,57,0,83438,5570,1.14800790788217,0.207357391609128,FALSE,bounded_contains_zero,42.9276742260501,ok
drop_PresE,contemporaneous,log_gdp,muni_year,1,56,56,0,89009,5570,2.57397192571835,1.07558161355666e-09,TRUE,bounded_excludes_zero,45.8949790092647,ok
drop_PresE,contemporaneous,log_gdp,year_only,1,56,56,0,89009,5570,5.34081642945546,7.85316862964874e-35,TRUE,bounded_excludes_zero,45.8949790092647,ok
drop_PresE,contemporaneous,delta_log_gdp,muni_year,1,56,56,0,83438,5570,1.05625091219245,0.361359550235726,FALSE,bounded_contains_zero,45.8949790092647,ok
drop_PresE,contemporaneous,delta_log_gdp,year_only,1,56,56,0,83438,5570,1.1585629462468,0.19481694272919,FALSE,bounded_contains_zero,45.8949790092647,ok
drop_PresE,frozen,log_gdp,muni_year,1,56,56,0,89009,5570,2.57397192571835,1.07558161355666e-09,TRUE,bounded_excludes_zero,28.5343519786944,ok
drop_PresE,frozen,log_gdp,year_only,1,56,56,0,89009,5570,5.34081642945546,7.85316862964874e-35,TRUE,bounded_excludes_zero,28.5343519786944,ok
drop_PresE,frozen,delta_log_gdp,muni_year,1,56,56,0,83438,5570,1.05625091219245,0.361359550235726,FALSE,bounded_contains_zero,28.5343519786944,ok
drop_PresE,frozen,delta_log_gdp,year_only,1,56,56,0,83438,5570,1.1585629462468,0.19481694272919,FALSE,bounded_contains_zero,28.5343519786944,ok
drop_PresE,balanced,log_gdp,muni_year,1,56,56,0,89009,5570,2.57397192571835,1.07558161355666e-09,TRUE,bounded_excludes_zero,67.3905514219484,ok
drop_PresE,balanced,log_gdp,year_only,1,56,56,0,89009,5570,5.34081642945546,7.85316862964874e-35,TRUE,bounded_excludes_zero,67.3905514219484,ok
drop_PresE,balanced,delta_log_gdp,muni_year,1,56,56,0,83438,5570,1.05625091219245,0.361359550235726,FALSE,bounded_contains_zero,67.3905514219484,ok
drop_PresE,balanced,delta_log_gdp,year_only,1,56,56,0,83438,5570,1.1585629462468,0.19481694272919,FALSE,bounded_contains_zero,67.3905514219484,ok
drop_PresE_PresP,contemporaneous,log_gdp,muni_year,2,55,55,0,89009,5570,2.41560037369786,2.21965882608558e-08,TRUE,bounded_excludes_zero,53.8372157769515,ok
drop_PresE_PresP,contemporaneous,log_gdp,year_only,2,55,55,0,89009,5570,5.43749131112905,3.37620276802901e-35,TRUE,bounded_excludes_zero,53.8372157769515,ok
drop_PresE_PresP,contemporaneous,delta_log_gdp,muni_year,2,55,55,0,83438,5570,1.05438370574622,0.365669689233108,FALSE,bounded_contains_zero,53.8372157769515,ok
drop_PresE_PresP,contemporaneous,delta_log_gdp,year_only,2,55,55,0,83438,5570,1.14180500036585,0.21955115867896,FALSE,bounded_contains_zero,53.8372157769515,ok
drop_PresE_PresP,frozen,log_gdp,muni_year,2,55,55,0,89009,5570,2.41560037369786,2.21965882608558e-08,TRUE,bounded_excludes_zero,30.6044660021149,ok
drop_PresE_PresP,frozen,log_gdp,year_only,2,55,55,0,89009,5570,5.43749131112905,3.37620276802901e-35,TRUE,bounded_excludes_zero,30.6044660021149,ok
drop_PresE_PresP,frozen,delta_log_gdp,muni_year,2,55,55,0,83438,5570,1.05438370574622,0.365669689233108,FALSE,bounded_contains_zero,30.6044660021149,ok
drop_PresE_PresP,frozen,delta_log_gdp,year_only,2,55,55,0,83438,5570,1.14180500036585,0.21955115867896,FALSE,bounded_contains_zero,30.6044660021149,ok
drop_PresE_PresP,balanced,log_gdp,muni_year,2,55,55,0,89009,5570,2.41560037369786,2.21965882608558e-08,TRUE,bounded_excludes_zero,65.228768309542,ok
drop_PresE_PresP,balanced,log_gdp,year_only,2,55,55,0,89009,5570,5.43749131112905,3.37620276802901e-35,TRUE,bounded_excludes_zero,65.228768309542,ok
drop_PresE_PresP,balanced,delta_log_gdp,muni_year,2,55,55,0,83438,5570,1.05438370574622,0.365669689233108,FALSE,bounded_contains_zero,65.228768309542,ok
drop_PresE_PresP,balanced,delta_log_gdp,year_only,2,55,55,0,83438,5570,1.14180500036585,0.21955115867896,FALSE,bounded_contains_zero,65.228768309542,ok
drop_AllPres,contemporaneous,log_gdp,muni_year,19,38,38,0,89009,5570,2.15284568148816,4.81755425709573e-05,TRUE,bounded_excludes_zero,1.09064866786973,ok
drop_AllPres,contemporaneous,log_gdp,year_only,19,38,38,0,89009,5570,2.93556946763385,3.78232202522994e-09,TRUE,bounded_excludes_zero,1.09064866786973,ok
drop_AllPres,contemporaneous,delta_log_gdp,muni_year,19,38,38,0,83438,5570,1.10582403885262,0.300945292221539,FALSE,bounded_contains_zero,1.09064866786973,ok
drop_AllPres,contemporaneous,delta_log_gdp,year_only,19,38,38,0,83438,5570,1.10739358517765,0.298721617541228,FALSE,bounded_contains_zero,1.09064866786973,ok
drop_AllPres,frozen,log_gdp,muni_year,19,38,38,0,89009,5570,2.15284568148816,4.81755425709573e-05,TRUE,bounded_excludes_zero,1.58482228038477,ok
drop_AllPres,frozen,log_gdp,year_only,19,38,38,0,89009,5570,2.93556946763385,3.78232202522994e-09,TRUE,bounded_excludes_zero,1.58482228038477,ok
drop_AllPres,frozen,delta_log_gdp,muni_year,19,38,38,0,83438,5570,1.10582403885262,0.300945292221539,FALSE,bounded_contains_zero,1.58482228038477,ok
drop_AllPres,frozen,delta_log_gdp,year_only,19,38,38,0,83438,5570,1.10739358517765,0.298721617541228,FALSE,bounded_contains_zero,1.58482228038477,ok
drop_AllPres,balanced,log_gdp,muni_year,19,38,38,0,89009,5570,2.15284568148816,4.81755425709573e-05,TRUE,bounded_excludes_zero,2.36797664296362,ok
drop_AllPres,balanced,log_gdp,year_only,19,38,38,0,89009,5570,2.93556946763385,3.78232202522994e-09,TRUE,bounded_excludes_zero,2.36797664296362,ok
drop_AllPres,balanced,delta_log_gdp,muni_year,19,38,38,0,83438,5570,1.10582403885262,0.300945292221539,FALSE,bounded_contains_zero,2.36797664296362,ok
drop_AllPres,balanced,delta_log_gdp,year_only,19,38,38,0,83438,5570,1.10739358517765,0.298721617541228,FALSE,bounded_contains_zero,2.36797664296362,ok
