instrument,office,cnae_section,beta_hat,se,t_stat,p_value,t_sq,w_partial_wald,w_gpss_proj,rank_partial_wald
Z_pres_coalition_cycle_specific_T,pres,T,61.5086810656529,14.2230782879396,4.32456883245936,1.55499205995573e-05,18.7018955866789,0.135908245067574,0.519584166800248,1
Z_mayor_coalition_cycle_specific_P,mayor,P,0.372084173662002,0.0880608491433273,4.22530758312812,2.42426249575715e-05,17.85322417204,0.129740878659821,0.00314311804451433,2
Z_gov_coalition_cycle_specific_P,gov,P,0.717539272007329,0.181496706150197,3.95345616582998,7.7985115980951e-05,15.6298156551391,0.113583182334346,0.00606129148492785,3
Z_pres_coalition_cycle_specific_E,pres,E,-0.413476819396091,0.138935710641807,-2.97602983053137,0.00293261748118634,8.85675355221259,0.0643627715007991,0.00349277540950397,4
Z_pres_coalition_cycle_specific_P,pres,P,0.215636686524177,0.0729730540492207,2.95501797661817,0.00313960574278056,8.73213124213656,0.0634571307126661,0.00182155439131657,5
Z_gov_coalition_cycle_specific_R,gov,R,0.263605542721363,0.0942803533881544,2.79597533577428,0.00519206829015472,7.81747807825808,0.0568102693946738,0.00222676318051127,6
Z_pres_coalition_cycle_specific_M,pres,M,-0.379981643604515,0.138298009653641,-2.74755684883792,0.00602343103776057,7.54906863759618,0.0548597154590657,0.00320983058441631,7
Z_gov_coalition_cycle_specific_E,gov,E,-0.317433451106183,0.127159504369812,-2.49634073897461,0.012576883971569,6.23171708506432,0.045286411148182,0.00268146532082987,8
Z_gov_coalition_cycle_specific_T,gov,T,-12.8454352332987,5.38188587380023,-2.38679071509712,0.0170293445234083,5.6967699176738,0.0413989051792309,0.108509638757432,9
Z_pres_coalition_cycle_specific_C,pres,C,-0.0834806454198775,0.0381625942328389,-2.1874992279231,0.0287475340360362,4.78515287216414,0.0347741075882768,0.000705188614727999,10
Z_gov_coalition_cycle_specific_H,gov,H,0.0451403080307563,0.0210913944992077,2.14022396823747,0.0323799873607907,4.58055863421815,0.0332873040874603,0.00038131510757372,11
Z_pres_coalition_cycle_specific_H,pres,H,-0.0443288561995055,0.0228619993222917,-1.93897548392814,0.0525547758786166,3.75962592727438,0.027321517196918,0.000374460505648685,12
Z_mayor_coalition_cycle_specific_C,mayor,C,-0.0684142574771702,0.0396624463249983,-1.72491270247368,0.0845986888463641,2.97532383115507,0.0216219280300145,0.000577917854076422,13
Z_mayor_coalition_cycle_specific_N,mayor,N,-0.146273385439645,0.0917518103009588,-1.59422887635511,0.110941528245445,2.54156571020448,0.018469771355362,0.0012356196520876,14
Z_mayor_coalition_cycle_specific_S,mayor,S,-0.454196392899544,0.298701318687432,-1.52057043100913,0.128424443105634,2.3121344356593,0.0168024750247557,0.00383674711081017,15
Z_gov_coalition_cycle_specific_B,gov,B,0.355039957549427,0.263123738188762,1.3493269744242,0.177286817850582,1.82068328390876,0.0132310582525207,0.00299913991534321,16
