muni_id,year,cycle,n_mt,n_mt_contemp,slack_share
110001,2002,2005,138392,138392,1
110001,2003,2005,145826,145826,1
110001,2004,2005,151351,151351,1
110001,2005,2009,156747,156747,1
110001,2006,2009,64565,64565,1
110001,2007,2009,150938,150938,1
110001,2008,2009,163848,163848,1
110001,2009,2013,177468,177468,1
110001,2010,2013,189870,189870,1
110001,2011,2013,2434,2434,1
110001,2012,2013,2526,2526,1
110001,2013,2017,3073,3073,1
110001,2014,2017,2929,2929,1
110001,2015,2017,2878,2878,1
110001,2016,2017,3050,3050,1
110001,2017,2017,2864,2864,1
110002,2002,2005,12174,12174,1
110002,2003,2005,31758,31758,1
110002,2004,2005,13385,13385,1
110002,2005,2009,13849,13849,1
110002,2006,2009,17126,17126,1
110002,2007,2009,12884,12884,1
110002,2008,2009,65618,65618,1
110002,2009,2013,78141,78141,1
110002,2010,2013,98884,98884,1
110002,2011,2013,16945,16945,1
110002,2012,2013,17623,17623,1
110002,2013,2017,21697,21697,1
110002,2014,2017,90832,90832,1
110002,2015,2017,27383,27383,1
110002,2016,2017,23428,23428,1
110002,2017,2017,18349,18349,1
110003,2002,2005,344,344,1
110003,2003,2005,1380,1380,1
110003,2004,2005,1398,1398,1
110003,2005,2009,1386,1386,1
110003,2006,2009,389,389,1
110003,2007,2009,430,430,1
110003,2008,2009,413,413,1
110003,2009,2013,474,474,1
110003,2010,2013,508,508,1
110003,2011,2013,559,559,1
110003,2012,2013,578,578,1
110003,2013,2017,620,620,1
110003,2014,2017,658,658,1
110003,2015,2017,675,675,1
110003,2016,2017,684,684,1
110003,2017,2017,724,724,1
110004,2002,2005,8543,8543,1
110004,2003,2005,9138,9138,1
110004,2004,2005,24573,24573,1
110004,2005,2009,45604,45604,1
110004,2006,2009,27694,27694,1
110004,2007,2009,34070,34070,1
110004,2008,2009,29196,29196,1
110004,2009,2013,31768,31768,1
110004,2010,2013,13879,13879,1
110004,2011,2013,52885,52885,1
110004,2012,2013,16196,16196,1
110004,2013,2017,15731,15731,1
110004,2014,2017,17368,17368,1
110004,2015,2017,17486,17486,1
110004,2016,2017,16637,16637,1
110004,2017,2017,17242,17242,1
110005,2002,2005,1191,1191,1
110005,2003,2005,1301,1301,1
110005,2004,2005,1300,1300,1
110005,2005,2009,1396,1396,1
110005,2006,2009,1433,1433,1
110005,2007,2009,1464,1464,1
110005,2008,2009,1581,1581,1
110005,2009,2013,1737,1737,1
110005,2010,2013,2234,2234,1
110005,2011,2013,1919,1919,1
110005,2012,2013,2466,2466,1
110005,2013,2017,2167,2167,1
110005,2014,2017,2482,2482,1
110005,2015,2017,2723,2723,1
110005,2016,2017,2167,2167,1
110005,2017,2017,2333,2333,1
110006,2002,2005,1343,1343,1
110006,2003,2005,1354,1354,1
110006,2004,2005,1522,1522,1
110006,2005,2009,1644,1644,1
110006,2006,2009,1731,1731,1
110006,2007,2009,1925,1925,1
110006,2008,2009,1770,1770,1
110006,2009,2013,2007,2007,1
110006,2010,2013,1928,1928,1
110006,2011,2013,1926,1926,1
110006,2012,2013,1978,1978,1
110006,2013,2017,2149,2149,1
110006,2014,2017,2193,2193,1
110006,2015,2017,2171,2171,1
110006,2016,2017,2262,2262,1
110006,2017,2017,2409,2409,1
110007,2002,2005,412,412,1
110007,2003,2005,723,723,1
110007,2004,2005,569,569,1
110007,2005,2009,596,596,1
110007,2006,2009,666,666,1
110007,2007,2009,698,698,1
110007,2008,2009,712,712,1
110007,2009,2013,773,773,1
110007,2010,2013,807,807,1
110007,2011,2013,934,934,1
110007,2012,2013,957,957,1
110007,2013,2017,963,963,1
110007,2014,2017,1067,1067,1
110007,2015,2017,1106,1106,1
110007,2016,2017,996,996,1
110007,2017,2017,1183,1183,1
110008,2002,2005,460,460,1
110008,2003,2005,509,509,1
110008,2004,2005,544,544,1
110008,2005,2009,751,751,1
110008,2006,2009,583,583,1
110008,2007,2009,810,810,1
110008,2008,2009,798,798,1
110008,2009,2013,874,874,1
110008,2010,2013,828,828,1
110008,2011,2013,765,765,1
110008,2012,2013,923,923,1
110008,2013,2017,997,997,1
110008,2014,2017,1066,1066,1
110008,2015,2017,995,995,1
110008,2016,2017,977,977,1
110008,2017,2017,967,967,1
110009,2002,2005,2176,2176,1
110009,2003,2005,2203,2203,1
110009,2004,2005,2858,2858,1
110009,2005,2009,4522,4522,1
110009,2006,2009,2802,2802,1
110009,2007,2009,3158,3158,1
110009,2008,2009,3392,3392,1
110009,2009,2013,3631,3631,1
110009,2010,2013,3785,3785,1
110009,2011,2013,7361,7361,1
110009,2012,2013,4132,4132,1
110009,2013,2017,4306,4306,1
110009,2014,2017,4789,4789,1
110009,2015,2017,4911,4911,1
110009,2016,2017,4927,4927,1
110009,2017,2017,4877,4877,1
110010,2002,2005,2227,2227,1
110010,2003,2005,2533,2533,1
110010,2004,2005,2740,2740,1
110010,2005,2009,2624,2624,1
110010,2006,2009,2827,2827,1
110010,2007,2009,3363,3363,1
110010,2008,2009,3172,3172,1
110010,2009,2013,3613,3613,1
110010,2010,2013,3647,3647,1
110010,2011,2013,3576,3576,1
110010,2012,2013,6209,6209,1
110010,2013,2017,4784,4784,1
110010,2014,2017,4139,4139,1
110010,2015,2017,4110,4110,1
110010,2016,2017,3999,3999,1
110010,2017,2017,3989,3989,1
110011,2002,2005,5364,5364,1
110011,2003,2005,7272,7272,1
110011,2004,2005,7344,7344,1
110011,2005,2009,6331,6331,1
110011,2006,2009,6686,6686,1
110011,2007,2009,8194,8194,1
110011,2008,2009,7099,7099,1
110011,2009,2013,7251,7251,1
110011,2010,2013,7807,7807,1
110011,2011,2013,8723,8723,1
110011,2012,2013,8776,8776,1
110011,2013,2017,9190,9190,1
110011,2014,2017,9529,9529,1
110011,2015,2017,9392,9392,1
110011,2016,2017,9032,9032,1
110011,2017,2017,9628,9628,1
110012,2002,2005,50258,50258,1
110012,2003,2005,49228,49228,1
110012,2004,2005,51163,51163,1
110012,2005,2009,54208,54208,1
110012,2006,2009,58105,58105,1
110012,2007,2009,64621,64621,1
110012,2008,2009,19610,19610,1
110012,2009,2013,31258,31258,1
110012,2010,2013,24264,24264,1
110012,2011,2013,23778,23778,1
110012,2012,2013,33380,33380,1
110012,2013,2017,35172,35172,1
110012,2014,2017,27339,27339,1
110012,2015,2017,28511,28511,1
110012,2016,2017,59082,59082,1
110012,2017,2017,28238,28238,1
110013,2002,2005,1280,1280,1
110013,2003,2005,1478,1478,1
110013,2004,2005,1746,1746,1
110013,2005,2009,1973,1973,1
110013,2006,2009,2137,2137,1
110013,2007,2009,2250,2250,1
110013,2008,2009,1949,1949,1
110013,2009,2013,2261,2261,1
110013,2010,2013,2545,2545,1
110013,2011,2013,2711,2711,1
110013,2012,2013,2665,2665,1
110013,2013,2017,2870,2870,1
110013,2014,2017,2858,2858,1
110013,2015,2017,2939,2939,1
110013,2016,2017,3033,3033,1
110013,2017,2017,3192,3192,1
110014,2002,2005,698,698,1
110014,2003,2005,849,849,1
110014,2004,2005,973,973,1
110014,2005,2009,992,992,1
110014,2006,2009,1038,1038,1
110014,2007,2009,585,585,1
110014,2008,2009,1145,1145,1
110014,2009,2013,1284,1284,1
110014,2010,2013,1370,1370,1
110014,2011,2013,1442,1442,1
110014,2012,2013,1569,1569,1
110014,2013,2017,1604,1604,1
110014,2014,2017,1707,1707,1
110014,2015,2017,1610,1610,1
110014,2016,2017,1546,1546,1
110014,2017,2017,1684,1684,1
110015,2002,2005,3088,3088,1
110015,2003,2005,3256,3256,1
110015,2004,2005,3348,3348,1
110015,2005,2009,3664,3664,1
110015,2006,2009,9461,9461,1
110015,2007,2009,13187,13187,1
110015,2008,2009,4427,4427,1
110015,2009,2013,3569,3569,1
110015,2010,2013,4346,4346,1
110015,2011,2013,5421,5421,1
110015,2012,2013,5663,5663,1
110015,2013,2017,5562,5562,1
110015,2014,2017,5926,5926,1
110015,2015,2017,5678,5678,1
110015,2016,2017,5599,5599,1
110015,2017,2017,5805,5805,1
110018,2002,2005,3999,3999,1
110018,2003,2005,4380,4380,1
110018,2004,2005,4757,4757,1
110018,2005,2009,5343,5343,1
110018,2006,2009,5263,5263,1
110018,2007,2009,5944,5944,1
110018,2008,2009,6348,6348,1
110018,2009,2013,7205,7205,1
110018,2010,2013,7937,7937,1
110018,2011,2013,7724,7724,1
110018,2012,2013,8747,8747,1
110018,2013,2017,9151,9151,1
110018,2014,2017,10019,10019,1
110018,2015,2017,9234,9234,1
110018,2016,2017,8688,8688,1
110018,2017,2017,9024,9024,1
110020,2002,2005,97062,97062,1
110020,2003,2005,105062,105062,1
110020,2004,2005,107268,107268,1
110020,2005,2009,114454,114454,1
110020,2006,2009,141067,141067,1
110020,2007,2009,143441,143441,1
110020,2008,2009,167669,167669,1
110020,2009,2013,214322,214322,1
110020,2010,2013,272541,272541,1
110020,2011,2013,216059,216059,1
110020,2012,2013,246416,246416,1
110020,2013,2017,249633,249633,1
110020,2014,2017,203089,203089,1
110020,2015,2017,194882,194882,1
110020,2016,2017,175068,175068,1
110020,2017,2017,173720,173720,1
110025,2002,2005,1338,1338,1
110025,2003,2005,1339,1339,1
110025,2004,2005,1413,1413,1
110025,2005,2009,1605,1605,1
110025,2006,2009,1572,1572,1
