muni_id,year,cycle,n_mt,n_mt_contemp,slack_share
110001,2002,2005,138392,138392,1
110001,2003,2005,145826,145826,1
110001,2004,2005,151270,151351,0.99946482018619
110001,2005,2009,156747,156747,1
110001,2006,2009,64565,64565,1
110001,2007,2009,150938,150938,1
110001,2008,2009,163741,163848,0.999346955715053
110001,2009,2013,177468,177468,1
110001,2010,2013,189870,189870,1
110001,2011,2013,2434,2434,1
110001,2012,2013,2438,2526,0.965162311955661
110001,2013,2017,3073,3073,1
110001,2014,2017,2929,2929,1
110001,2015,2017,2878,2878,1
110001,2016,2017,2968,3050,0.973114754098361
110001,2017,2017,2641,2864,0.92213687150838
110002,2002,2005,12174,12174,1
110002,2003,2005,31758,31758,1
110002,2004,2005,12741,13385,0.951886440044826
110002,2005,2009,13849,13849,1
110002,2006,2009,17126,17126,1
110002,2007,2009,12884,12884,1
110002,2008,2009,64703,65618,0.986055655460392
110002,2009,2013,78141,78141,1
110002,2010,2013,98884,98884,1
110002,2011,2013,16945,16945,1
110002,2012,2013,16942,17623,0.961357317142371
110002,2013,2017,21697,21697,1
110002,2014,2017,90832,90832,1
110002,2015,2017,27383,27383,1
110002,2016,2017,22751,23428,0.971102953730579
110002,2017,2017,17132,18349,0.933674859665377
110003,2002,2005,344,344,1
110003,2003,2005,1380,1380,1
110003,2004,2005,1385,1398,0.990701001430615
110003,2005,2009,1386,1386,1
110003,2006,2009,389,389,1
110003,2007,2009,430,430,1
110003,2008,2009,401,413,0.970944309927361
110003,2009,2013,474,474,1
110003,2010,2013,508,508,1
110003,2011,2013,559,559,1
110003,2012,2013,563,578,0.974048442906575
110003,2013,2017,620,620,1
110003,2014,2017,658,658,1
110003,2015,2017,675,675,1
110003,2016,2017,663,684,0.969298245614035
110003,2017,2017,685,724,0.946132596685083
110004,2002,2005,8543,8543,1
110004,2003,2005,9138,9138,1
110004,2004,2005,24143,24573,0.982501119114475
110004,2005,2009,45604,45604,1
110004,2006,2009,27694,27694,1
110004,2007,2009,34070,34070,1
110004,2008,2009,28639,29196,0.980922044115632
110004,2009,2013,31768,31768,1
110004,2010,2013,13879,13879,1
110004,2011,2013,52885,52885,1
110004,2012,2013,15759,16196,0.973018029142998
110004,2013,2017,15731,15731,1
110004,2014,2017,17368,17368,1
110004,2015,2017,17486,17486,1
110004,2016,2017,16232,16637,0.97565666887059
110004,2017,2017,16075,17242,0.932316436608282
110005,2002,2005,1191,1191,1
110005,2003,2005,1301,1301,1
110005,2004,2005,1206,1300,0.927692307692308
110005,2005,2009,1396,1396,1
110005,2006,2009,1433,1433,1
110005,2007,2009,1464,1464,1
110005,2008,2009,1485,1581,0.939278937381404
110005,2009,2013,1737,1737,1
110005,2010,2013,2234,2234,1
110005,2011,2013,1919,1919,1
110005,2012,2013,2376,2466,0.963503649635036
110005,2013,2017,2167,2167,1
110005,2014,2017,2482,2482,1
110005,2015,2017,2723,2723,1
110005,2016,2017,2089,2167,0.964005537609598
110005,2017,2017,2200,2333,0.942991855979426
110006,2002,2005,1343,1343,1
110006,2003,2005,1354,1354,1
110006,2004,2005,1322,1522,0.868593955321945
110006,2005,2009,1644,1644,1
110006,2006,2009,1731,1731,1
110006,2007,2009,1925,1925,1
110006,2008,2009,1712,1770,0.967231638418079
110006,2009,2013,2007,2007,1
110006,2010,2013,1928,1928,1
110006,2011,2013,1926,1926,1
110006,2012,2013,1852,1978,0.936299292214358
110006,2013,2017,2149,2149,1
110006,2014,2017,2193,2193,1
110006,2015,2017,2171,2171,1
110006,2016,2017,2210,2262,0.977011494252874
110006,2017,2017,2206,2409,0.915732669157327
110007,2002,2005,412,412,1
110007,2003,2005,723,723,1
110007,2004,2005,530,569,0.931458699472759
110007,2005,2009,596,596,1
110007,2006,2009,666,666,1
110007,2007,2009,698,698,1
110007,2008,2009,702,712,0.985955056179775
110007,2009,2013,773,773,1
110007,2010,2013,807,807,1
110007,2011,2013,934,934,1
110007,2012,2013,814,957,0.850574712643678
110007,2013,2017,963,963,1
110007,2014,2017,1067,1067,1
110007,2015,2017,1106,1106,1
110007,2016,2017,981,996,0.984939759036145
110007,2017,2017,1121,1183,0.947590870667794
110008,2002,2005,460,460,1
110008,2003,2005,509,509,1
110008,2004,2005,467,544,0.858455882352941
110008,2005,2009,751,751,1
110008,2006,2009,583,583,1
110008,2007,2009,810,810,1
110008,2008,2009,760,798,0.952380952380952
110008,2009,2013,874,874,1
110008,2010,2013,828,828,1
110008,2011,2013,765,765,1
110008,2012,2013,836,923,0.905742145178765
110008,2013,2017,997,997,1
110008,2014,2017,1066,1066,1
110008,2015,2017,995,995,1
110008,2016,2017,954,977,0.976458546571136
110008,2017,2017,908,967,0.938986556359876
110009,2002,2005,2176,2176,1
110009,2003,2005,2203,2203,1
110009,2004,2005,2696,2858,0.94331700489853
110009,2005,2009,4522,4522,1
110009,2006,2009,2802,2802,1
110009,2007,2009,3158,3158,1
110009,2008,2009,3206,3392,0.945165094339623
110009,2009,2013,3631,3631,1
110009,2010,2013,3785,3785,1
110009,2011,2013,7361,7361,1
110009,2012,2013,3978,4132,0.962729912875121
110009,2013,2017,4306,4306,1
110009,2014,2017,4789,4789,1
110009,2015,2017,4911,4911,1
110009,2016,2017,4801,4927,0.974426628780191
110009,2017,2017,4645,4877,0.952429772401066
110010,2002,2005,2227,2227,1
110010,2003,2005,2533,2533,1
110010,2004,2005,2110,2740,0.77007299270073
110010,2005,2009,2624,2624,1
110010,2006,2009,2827,2827,1
110010,2007,2009,3363,3363,1
110010,2008,2009,3066,3172,0.966582597730139
110010,2009,2013,3613,3613,1
110010,2010,2013,3647,3647,1
110010,2011,2013,3576,3576,1
110010,2012,2013,5978,6209,0.962795941375423
110010,2013,2017,4784,4784,1
110010,2014,2017,4139,4139,1
110010,2015,2017,4110,4110,1
110010,2016,2017,3904,3999,0.976244061015254
110010,2017,2017,3777,3989,0.946853848082226
110011,2002,2005,5364,5364,1
110011,2003,2005,7272,7272,1
110011,2004,2005,7051,7344,0.96010348583878
110011,2005,2009,6331,6331,1
110011,2006,2009,6686,6686,1
110011,2007,2009,8194,8194,1
110011,2008,2009,6867,7099,0.967319340752219
110011,2009,2013,7251,7251,1
110011,2010,2013,7807,7807,1
110011,2011,2013,8723,8723,1
110011,2012,2013,8470,8776,0.965132178669097
110011,2013,2017,9190,9190,1
110011,2014,2017,9529,9529,1
110011,2015,2017,9392,9392,1
110011,2016,2017,8875,9032,0.982617360496014
110011,2017,2017,9295,9628,0.965413377648525
110012,2002,2005,50258,50258,1
110012,2003,2005,49228,49228,1
110012,2004,2005,50028,51163,0.977815999843637
110012,2005,2009,54208,54208,1
110012,2006,2009,58105,58105,1
110012,2007,2009,64621,64621,1
110012,2008,2009,18952,19610,0.966445690973993
110012,2009,2013,31258,31258,1
110012,2010,2013,24264,24264,1
110012,2011,2013,23778,23778,1
110012,2012,2013,32128,33380,0.962492510485321
110012,2013,2017,35172,35172,1
110012,2014,2017,27339,27339,1
110012,2015,2017,28511,28511,1
110012,2016,2017,58297,59082,0.986713381402119
110012,2017,2017,26631,28238,0.943090870458248
110013,2002,2005,1280,1280,1
110013,2003,2005,1478,1478,1
110013,2004,2005,1593,1746,0.912371134020619
110013,2005,2009,1973,1973,1
110013,2006,2009,2137,2137,1
110013,2007,2009,2250,2250,1
110013,2008,2009,1905,1949,0.977424320164187
110013,2009,2013,2261,2261,1
110013,2010,2013,2545,2545,1
110013,2011,2013,2711,2711,1
110013,2012,2013,2580,2665,0.968105065666041
110013,2013,2017,2870,2870,1
110013,2014,2017,2858,2858,1
110013,2015,2017,2939,2939,1
110013,2016,2017,2928,3033,0.965380811078141
110013,2017,2017,3002,3192,0.940476190476191
110014,2002,2005,698,698,1
110014,2003,2005,849,849,1
110014,2004,2005,908,973,0.933196300102775
110014,2005,2009,992,992,1
110014,2006,2009,1038,1038,1
110014,2007,2009,585,585,1
110014,2008,2009,1125,1145,0.982532751091703
110014,2009,2013,1284,1284,1
110014,2010,2013,1370,1370,1
110014,2011,2013,1442,1442,1
110014,2012,2013,1513,1569,0.964308476736775
110014,2013,2017,1604,1604,1
110014,2014,2017,1707,1707,1
110014,2015,2017,1610,1610,1
110014,2016,2017,1482,1546,0.958602846054334
110014,2017,2017,1541,1684,0.915083135391924
110015,2002,2005,3088,3088,1
110015,2003,2005,3256,3256,1
110015,2004,2005,3246,3348,0.969534050179212
110015,2005,2009,3664,3664,1
110015,2006,2009,9461,9461,1
110015,2007,2009,13187,13187,1
110015,2008,2009,4237,4427,0.957081545064378
110015,2009,2013,3569,3569,1
110015,2010,2013,4346,4346,1
110015,2011,2013,5421,5421,1
110015,2012,2013,5492,5663,0.969803990817588
110015,2013,2017,5562,5562,1
110015,2014,2017,5926,5926,1
110015,2015,2017,5678,5678,1
110015,2016,2017,5411,5599,0.966422575459904
110015,2017,2017,5451,5805,0.939018087855297
110018,2002,2005,3999,3999,1
110018,2003,2005,4380,4380,1
110018,2004,2005,4476,4757,0.940929157031743
110018,2005,2009,5343,5343,1
110018,2006,2009,5263,5263,1
110018,2007,2009,5944,5944,1
110018,2008,2009,6143,6348,0.9677063642092
110018,2009,2013,7205,7205,1
110018,2010,2013,7937,7937,1
110018,2011,2013,7724,7724,1
