variant,outcome,fe_spec,slack_included,status,n_obs,n_munis,K,n_collinear,ar_F,ar_p,rejects_5pc
contemporaneous,log_gdp,muni_year,FALSE,ok,89009,5570,57,0,2.69164260301487,9.13001304482286e-11,TRUE
contemporaneous,log_gdp,muni_year,TRUE,ok,89008,5570,57,1,2.6916462277926,9.12940583491888e-11,TRUE
contemporaneous,log_gdp,year_only,FALSE,ok,89009,5570,57,0,5.2920085374831,6.43839159800821e-35,TRUE
contemporaneous,log_gdp,year_only,TRUE,ok,89008,5570,57,1,5.29226387398791,6.40026869996585e-35,TRUE
contemporaneous,delta_log_gdp,muni_year,FALSE,ok,83438,5570,57,0,1.03829524977128,0.395875547297171,FALSE
contemporaneous,delta_log_gdp,muni_year,TRUE,ok,83437,5570,57,1,1.03831927103187,0.395827428186986,FALSE
contemporaneous,delta_log_gdp,year_only,FALSE,ok,83438,5570,57,0,1.14800790788217,0.207357391609128,FALSE
contemporaneous,delta_log_gdp,year_only,TRUE,ok,83437,5570,57,1,1.14804608043822,0.207304273469578,FALSE
frozen,log_gdp,muni_year,FALSE,ok,89009,5570,57,0,2.69164260301487,9.13001304482286e-11,TRUE
frozen,log_gdp,muni_year,TRUE,ok,89005,5570,57,0,2.66961604098948,1.36942979647033e-10,TRUE
frozen,log_gdp,year_only,FALSE,ok,89009,5570,57,0,5.2920085374831,6.43839159800821e-35,TRUE
frozen,log_gdp,year_only,TRUE,ok,89005,5570,57,0,5.25885671308595,1.39165317278362e-34,TRUE
frozen,delta_log_gdp,muni_year,FALSE,ok,83438,5570,57,0,1.03829524977128,0.395875547297171,FALSE
frozen,delta_log_gdp,muni_year,TRUE,ok,83434,5570,57,0,1.01841017922009,0.436449345900803,FALSE
frozen,delta_log_gdp,year_only,FALSE,ok,83438,5570,57,0,1.14800790788217,0.207357391609128,FALSE
frozen,delta_log_gdp,year_only,TRUE,ok,83434,5570,57,0,1.14672489747435,0.209148139299579,FALSE
balanced,log_gdp,muni_year,FALSE,ok,89009,5570,57,0,2.69164260301487,9.13001304482286e-11,TRUE
balanced,log_gdp,muni_year,TRUE,ok,88830,5569,57,0,2.69263864477754,8.96435395504439e-11,TRUE
balanced,log_gdp,year_only,FALSE,ok,89009,5570,57,0,5.2920085374831,6.43839159800821e-35,TRUE
balanced,log_gdp,year_only,TRUE,ok,88830,5569,57,0,5.30666314756082,4.57941198815805e-35,TRUE
balanced,delta_log_gdp,muni_year,FALSE,ok,83438,5570,57,0,1.03829524977128,0.395875547297171,FALSE
balanced,delta_log_gdp,muni_year,TRUE,ok,83292,5569,57,0,1.03287399475415,0.406793983614284,FALSE
balanced,delta_log_gdp,year_only,FALSE,ok,83438,5570,57,0,1.14800790788217,0.207357391609128,FALSE
balanced,delta_log_gdp,year_only,TRUE,ok,83292,5569,57,0,1.12088938707789,0.247414053082954,FALSE
