spec_id,weight_id,tier_spec,K,controls,f_stat,p_value,df1,df2,n_obs,n_clusters,r2,sig_marker,reject_05,status,note
emp_muni__mayor__none,emp_muni,mayor,4,none,47.4064342385193,7.0405327587647e-40,4,89004,89009,5570,0.0262725153736569,***,TRUE,ok,""
emp_muni__mayor__C1_FE,emp_muni,mayor,4,C1_FE,2.92141777521238,0.0198541197161276,4,83420,89009,5570,0.000490742231112784,**,TRUE,ok,""
emp_muni__mayor__C2_FE_R0a,emp_muni,mayor,4,C2_FE_R0a,2.45149037522979,0.0438345572853066,4,83419,89009,5570,0.00163336148272397,**,TRUE,ok,""
emp_muni__mayor__C3_FE_R0b,emp_muni,mayor,4,C3_FE_R0b,2.29935759688562,0.0563589003044054,4,83416,89009,5570,0.00199062760581314,*,FALSE,ok,""
emp_muni__gov__none,emp_muni,gov,4,none,69.2149108844737,1.30924277333053e-58,4,89004,89009,5570,0.0353963776927564,***,TRUE,ok,""
emp_muni__gov__C1_FE,emp_muni,gov,4,C1_FE,3.10999683047505,0.0143672450299741,4,83420,89009,5570,0.000605563502288353,**,TRUE,ok,""
emp_muni__gov__C2_FE_R0a,emp_muni,gov,4,C2_FE_R0a,4.151360716002,0.00230709567855092,4,83419,89009,5570,0.00190718101742482,***,TRUE,ok,""
emp_muni__gov__C3_FE_R0b,emp_muni,gov,4,C3_FE_R0b,3.8038789441716,0.00427675195457014,4,83416,89009,5570,0.00271965192659429,***,TRUE,ok,""
emp_muni__mayor_gov__none,emp_muni,mayor_gov,8,none,36.5589439629992,2.072366833183e-58,8,89000,89009,5570,0.0429183026195877,***,TRUE,ok,""
emp_muni__mayor_gov__C1_FE,emp_muni,mayor_gov,8,C1_FE,4.46515360618548,1.98010680376618e-05,8,83416,89009,5570,0.00123204322729886,***,TRUE,ok,""
emp_muni__mayor_gov__C2_FE_R0a,emp_muni,mayor_gov,8,C2_FE_R0a,4.78632102703032,6.67347769524082e-06,8,83414,89009,5570,0.00291843940986736,***,TRUE,ok,""
emp_muni__mayor_gov__C3_FE_R0b,emp_muni,mayor_gov,8,C3_FE_R0b,4.49963556291782,1.76297804908622e-05,8,83408,89009,5570,0.00386514550801909,***,TRUE,ok,""
emp_muni__mayor_pres__none,emp_muni,mayor_pres,8,none,47.1828603036172,1.81613108287957e-76,8,89000,89009,5570,0.0352006308698599,***,TRUE,ok,""
emp_muni__mayor_pres__C1_FE,emp_muni,mayor_pres,8,C1_FE,2.2239510608599,0.0228543629786817,8,83416,89009,5570,0.000781633028314466,**,TRUE,ok,""
emp_muni__mayor_pres__C2_FE_R0a,emp_muni,mayor_pres,8,C2_FE_R0a,2.06784796418431,0.03525084390638,8,83414,89009,5570,0.00224537124969992,**,TRUE,ok,""
emp_muni__mayor_pres__C3_FE_R0b,emp_muni,mayor_pres,8,C3_FE_R0b,1.96692266495744,0.0463423419192915,8,83408,89009,5570,0.0032520936532715,**,TRUE,ok,""
emp_muni__mayor_gov_pres__none,emp_muni,mayor_gov_pres,12,none,55.3127125764758,8.2999516197794e-134,12,88996,89009,5570,0.0477435147095349,***,TRUE,ok,""
emp_muni__mayor_gov_pres__C1_FE,emp_muni,mayor_gov_pres,12,C1_FE,3.31444129531208,7.86240480243002e-05,12,83412,89009,5570,0.00150517153793761,***,TRUE,ok,""
