channel,spec,n_obs,n_munis,K_Z,ar_F,ar_p,vol_coef,vol_se,ar_reject_5pc
M,none,88694,5544,3,0.61651192916476,0.604217204999404,,,FALSE
M,ec,88694,5544,3,0.476586706353539,0.698574722775439,,,FALSE
M,vol,88694,5544,3,0.616786059925782,0.604040254545883,5.26902328373505e-06,7.48462240637302e-05,FALSE
M,vol_ec,88694,5544,3,0.476595087893786,0.698568854478585,5.27031606318156e-06,7.48692180561947e-05,FALSE
MP,none,88694,5544,3,1.86113916090525,0.133742487824565,,,FALSE
MP,ec,88694,5544,3,1.39363187216866,0.242589636729474,,,FALSE
MP,vol,88694,5544,3,1.86114480288162,0.133741509594974,5.21755710405136e-06,7.50046995532195e-05,FALSE
MP,vol_ec,88694,5544,3,1.3937105629637,0.242565830386698,5.41725434594601e-06,7.48943230714613e-05,FALSE
MG,none,88694,5544,3,2.14661983434158,0.0920732341265039,,,FALSE
MG,ec,88694,5544,3,3.98601652626178,0.00753100771390819,,,TRUE
MG,vol,88694,5544,3,2.15123277441697,0.0915150359108999,6.19129977021769e-06,7.4801158912091e-05,FALSE
MG,vol_ec,88694,5544,3,3.99264611106267,0.00746185488849954,6.73978402167808e-06,7.48126771356371e-05,TRUE
MGP,none,88694,5544,3,1.02167979431934,0.381711426781016,,,FALSE
MGP,ec,88694,5544,3,1.1264678255202,0.336749723645519,,,FALSE
MGP,vol,88694,5544,3,1.02160699865871,0.381744372504673,5.07662305685241e-06,7.48027600955954e-05,FALSE
MGP,vol_ec,88694,5544,3,1.12660470291059,0.336694144065004,5.39277604962005e-06,7.47487292734468e-05,FALSE
