channel,spec,n_obs,n_munis,K_Z,ar_F,ar_p,vol_coef,vol_se,ar_reject_5pc
M,none,88694,5544,2,0.281610966891498,0.754567898871641,,,FALSE
M,ec,88694,5544,2,0.143518924965895,0.866304619897831,,,FALSE
M,vol,88694,5544,2,0.281572553951874,0.754596884411783,5.00259242502016e-06,7.47650629881298e-05,FALSE
M,vol_ec,88694,5544,2,0.143504374561654,0.866317225031012,5.33399768455958e-06,7.4726171318624e-05,FALSE
MP,none,88694,5544,2,4.15635613813968,0.0156677887075115,,,TRUE
MP,ec,88694,5544,2,1.64892094419006,0.19226354107434,,,FALSE
MP,vol,88694,5544,2,4.15645738376426,0.0156662026905036,4.97964594507302e-06,7.47948794896893e-05,TRUE
MP,vol_ec,88694,5544,2,1.64865088844134,0.192315467975976,6.23233827551413e-06,7.50727848841062e-05,FALSE
MG,none,88694,5544,2,0.574016261670887,0.563260927959541,,,FALSE
MG,ec,88694,5544,2,4.06875530400577,0.0171020630551621,,,TRUE
MG,vol,88694,5544,2,0.574376221385522,0.56305821603003,5.45421926716664e-06,7.48457807082102e-05,FALSE
MG,vol_ec,88694,5544,2,4.06510858759543,0.0171645372009269,7.18489671864755e-06,7.53374047158432e-05,TRUE
MGP,none,88694,5544,2,1.26678242880732,0.281742111144379,,,FALSE
MGP,ec,88694,5544,2,0.596734029401045,0.550609327424672,,,FALSE
MGP,vol,88694,5544,2,1.26666060660827,0.281776434697982,5.08226971459786e-06,7.47852424511312e-05,FALSE
MGP,vol_ec,88694,5544,2,0.596687944658838,0.550634702362364,6.36183540766362e-06,7.51375315225434e-05,FALSE
