channel,channel_label,spec,ar_F,ar_p,df1,df2,K_Z,n_obs,vol_coef,vol_se,reject_5pc,taxonomy
M,Mayor,novol,1.08951631516472,0.359718139248309,4,83128,4,88694,,,FALSE,policy_block
M,Mayor,volctrl,1.08946221135971,0.359744819112572,4,83127,4,88694,5.55591919261011e-06,7.48770593124019e-05,FALSE,policy_block
M,Mayor,volIV,1.42534310212579,0.222597993281512,4,83127,4,88694,0.0133265333375737,0.00759798121954659,FALSE,policy_block
MP,Mayor x President,novol,1.31083559513856,0.26323750444815,4,83128,4,88694,,,FALSE,policy_block
MP,Mayor x President,volctrl,1.31123087076638,0.263086907569959,4,83127,4,88694,5.54515737943233e-06,7.49257951129049e-05,FALSE,policy_block
MP,Mayor x President,volIV,1.27197064456763,0.278407918694478,4,83127,4,88694,0.00890967157200451,0.00580990169029151,FALSE,policy_block
MG,Mayor x Governor,novol,3.19229243304199,0.0124649740058587,4,83128,4,88694,,,TRUE,policy_block
MG,Mayor x Governor,volctrl,3.1954533540756,0.0123970350613256,4,83127,4,88694,6.85227063037163e-06,7.48770537139057e-05,TRUE,policy_block
MG,Mayor x Governor,volIV,3.15018917986358,0.0134052947330004,4,83127,4,88694,0.0299984345508095,0.0148904883609988,TRUE,policy_block
MGP,Mayor x Gov. x President,novol,1.37806254979938,0.23866496972863,4,83128,4,88694,,,FALSE,policy_block
MGP,Mayor x Gov. x President,volctrl,1.37817568980871,0.238625347847002,4,83127,4,88694,5.41564322968072e-06,7.47638283069811e-05,FALSE,policy_block
MGP,Mayor x Gov. x President,volIV,1.49315108358081,0.201214316574277,4,83127,4,88694,0.00807011910742521,0.00570117752335387,FALSE,policy_block
