stack_id,stack_group,stack_label,tex_label,channels,n_instruments,block_rank,rank_deficiency,condition_number,lambda_min,lambda_max,worst_vif,mean_abs_corr,max_abs_corr,verdict,taxonomy
M,Singletons,Mayor,\{M\},M,12,12,0,1.41452280127608,0.783698085101975,1.56808171428094,1.06183852272346,0.0423106483285057,0.154325715326701,admissible,policy_block_size_bin
G,Singletons,Governor,\{G\},G,12,12,0,1.33485784269479,0.829501425732035,1.4780433496732,1.05207009988373,0.0369800170033987,0.159918029634322,admissible,policy_block_size_bin
P,Singletons,President,\{P\},P,12,12,0,1.0780851999096,0.939618701808189,1.09208846579652,1.00334892409878,0.010641571688005,0.0438192844038781,admissible,policy_block_size_bin
MG,Singletons,Mayor x Governor,\{M$\cdot$G\},MG,12,12,0,1.46821944762391,0.782428682952679,1.68665674514172,1.07759661537585,0.0526685818939005,0.182618389976896,admissible,policy_block_size_bin
MP,Singletons,Mayor x President,\{M$\cdot$P\},MP,12,12,0,1.37971887061165,0.807842808710738,1.53782908969659,1.06525998918065,0.0399179113815258,0.148901412857707,admissible,policy_block_size_bin
GP,Singletons,Governor x President,\{G$\cdot$P\},GP,12,12,0,1.30031380942519,0.839864642514838,1.42005657790272,1.04804765579112,0.0301672972086632,0.144176441666317,admissible,policy_block_size_bin
MGP,Singletons,Mayor x Gov. x President,\{M$\cdot$G$\cdot$P\},MGP,12,12,0,1.50104047107854,0.76649334600851,1.7270034007848,1.09443071680767,0.0527740545976553,0.189554156842182,admissible,policy_block_size_bin
M_MP,Mayor stacks,Mayor + Mayor x President,"\{M, M$\cdot$P\}","M,MP",24,24,0,2.19744157235792,0.447146522821781,2.15915853237242,1.36878658601917,0.0420659260859053,0.477093884598914,admissible,policy_block_size_bin
M_MG,Mayor stacks,Mayor + Mayor x Governor,"\{M, M$\cdot$G\}","M,MG",24,24,0,2.37978435467059,0.421556922404474,2.38743433459207,1.45380101501972,0.0524654169312136,0.517450105738292,admissible,policy_block_size_bin
M_MGP,Mayor stacks,Mayor + Mayor x Gov. x President,"\{M, M$\cdot$G$\cdot$P\}","M,MGP",24,24,0,1.85824218665896,0.578538199524414,1.99772944344894,1.19437514694595,0.03631083898349,0.302538852461118,admissible,policy_block_size_bin
mayor_full,Mayor stacks,Mayor + Mayor x President + Mayor x Governor + Mayor x Gov. x President,"\{M, M$\cdot$P, M$\cdot$G, M$\cdot$G$\cdot$P\}","M,MP,MG,MGP",48,48,0,4.53080188163988,0.171226611117403,3.51496824367023,3.42661838785184,0.0471448635059744,0.75992085591434,admissible,policy_block_size_bin
M_G,Parent pairs,Mayor + Governor,"\{M, G\}","M,G",24,24,0,1.53711229231956,0.683230745580154,1.61427898391216,1.11006284665345,0.0224163110588824,0.222266099519944,admissible,policy_block_size_bin
M_P,Parent pairs,Mayor + President,"\{M, P\}","M,P",24,24,0,1.50004141087449,0.705322738808718,1.58706378762338,1.10991773065453,0.0165285586736079,0.220186082663866,admissible,policy_block_size_bin
G_P,Parent pairs,Governor + President,"\{G, P\}","G,P",24,24,0,1.50734949831537,0.676933482156567,1.53806226395944,1.13310668550521,0.0164054036117342,0.292818435614368,admissible,policy_block_size_bin
M_P_MP,Parent + interaction,Mayor + President + Mayor x President,"\{M, P, M$\cdot$P\}","M,P,MP",36,36,0,2.84801111415977,0.287445571332702,2.33151912055684,1.97104311786424,0.032986293046188,0.564648119269313,inadmissible,policy_block_size_bin
M_G_MG,Parent + interaction,Mayor + Governor + Mayor x Governor,"\{M, G, M$\cdot$G\}","M,G,MG",36,36,0,3.18193853644492,0.271836937068622,2.75227636650411,2.0512168618027,0.0425885819766771,0.562287448757863,inadmissible,policy_block_size_bin
G_P_GP,Parent + interaction,Governor + President + Governor x President,"\{G, P, G$\cdot$P\}","G,P,GP",36,36,0,3.08137233531094,0.229992392722522,2.18374452782834,2.32230273572805,0.031875355520364,0.63107792716078,inadmissible,policy_block_size_bin
M_G_P_MGP,Parent + interaction,Mayor + Governor + President + Mayor x Gov. x President,"\{M, G, P, M$\cdot$G$\cdot$P\}","M,G,P,MGP",48,48,0,2.27429940050517,0.435384025534121,2.2519967751398,1.41687691445269,0.0217914741599412,0.357990549363952,inadmissible,policy_block_size_bin
