muni_id,year,n_active_blocks_with_rais,n_active_blocks_with_aff,total_baseline_owners,total_alignment_shock,reason
110007,2005,1,1,1,1,zero_shock
110010,2005,1,1,1,0,zero_shock
110026,2005,1,1,1,1,zero_shock
110029,2005,1,1,1,1,zero_shock
110033,2005,1,1,1,1,zero_shock
110037,2005,1,1,1,1,zero_shock
110110,2005,1,1,1,1,zero_shock
110120,2005,1,1,1,1,zero_shock
110160,2005,1,1,1,1,zero_shock
110175,2005,1,1,1,1,zero_shock
120013,2005,1,1,1,1,zero_shock
120017,2005,1,1,1,1,zero_shock
120070,2005,1,1,1,1,zero_shock
130020,2005,1,1,1,1,zero_shock
130060,2005,1,1,1,1,zero_shock
130110,2005,1,1,1,1,zero_shock
130195,2005,1,1,1,1,zero_shock
130230,2005,1,1,1,1,zero_shock
130270,2005,1,1,1,1,zero_shock
130380,2005,1,1,1,1,zero_shock
130395,2005,1,1,1,1,zero_shock
130426,2005,1,1,1,1,zero_shock
140005,2005,1,1,1,1,zero_shock
140028,2005,1,1,1,1,zero_shock
140040,2005,1,1,1,1,zero_shock
140045,2005,1,1,1,1,zero_shock
150020,2005,1,1,1,1,zero_shock
150034,2005,1,1,1,1,zero_shock
150070,2005,1,1,1,1,zero_shock
150085,2005,1,1,1,1,zero_shock
150100,2005,1,1,1,1,zero_shock
150110,2005,1,1,1,1,zero_shock
150190,2005,1,1,1,1,zero_shock
150200,2005,1,1,1,1,zero_shock
150260,2005,1,1,1,1,zero_shock
150275,2005,1,1,1,1,zero_shock
150280,2005,1,1,1,1,zero_shock
150285,2005,1,1,1,1,zero_shock
150295,2005,1,1,1,1,zero_shock
150304,2005,1,1,1,0,zero_shock
150307,2005,1,1,1,1,zero_shock
150310,2005,1,1,1,1,zero_shock
150340,2005,1,1,1,1,zero_shock
150350,2005,1,1,1,1,zero_shock
150390,2005,1,1,1,1,zero_shock
150430,2005,1,1,1,1,zero_shock
150440,2005,1,1,1,1,zero_shock
150450,2005,1,1,1,1,zero_shock
150470,2005,1,1,1,1,zero_shock
150497,2005,1,1,1,1,zero_shock
150506,2005,1,1,1,1,zero_shock
150548,2005,1,1,1,1,zero_shock
150555,2005,1,1,1,1,zero_shock
150565,2005,1,1,1,1,zero_shock
150590,2005,1,1,1,1,zero_shock
150630,2005,1,1,1,1,zero_shock
150635,2005,1,1,1,1,zero_shock
150650,2005,1,1,1,0,zero_shock
150715,2005,1,1,1,1,zero_shock
150720,2005,1,1,1,1,zero_shock
150740,2005,1,1,1,1,zero_shock
150770,2005,1,1,1,1,zero_shock
150775,2005,1,1,1,1,zero_shock
150796,2005,1,1,1,1,zero_shock
150797,2005,1,1,1,1,zero_shock
150803,2005,1,1,1,1,zero_shock
150835,2005,1,1,1,1,zero_shock
150840,2005,1,1,1,1,zero_shock
160005,2005,1,1,1,1,zero_shock
160010,2005,1,1,1,1,zero_shock
160015,2005,1,1,1,1,zero_shock
160040,2005,1,1,1,1,zero_shock
170130,2005,1,1,1,1,zero_shock
170230,2005,1,1,1,0,zero_shock
170270,2005,1,1,1,1,zero_shock
170290,2005,1,1,1,1,zero_shock
170320,2005,1,1,1,1,zero_shock
170370,2005,1,1,1,1,zero_shock
170384,2005,1,1,1,1,zero_shock
170390,2005,1,1,1,1,zero_shock
170510,2005,1,1,1,1,zero_shock
170625,2005,1,1,1,1,zero_shock
171050,2005,1,1,1,1,zero_shock
171070,2005,1,1,1,1,zero_shock
171240,2005,1,1,1,1,zero_shock
171245,2005,1,1,1,1,zero_shock
171250,2005,1,1,1,1,zero_shock
171270,2005,1,1,1,1,zero_shock
171380,2005,1,1,1,1,zero_shock
171488,2005,1,1,1,1,zero_shock
171515,2005,1,1,1,1,zero_shock
171525,2005,1,1,1,1,zero_shock
171620,2005,1,1,1,1,zero_shock
171790,2005,1,1,1,1,zero_shock
171800,2005,1,1,1,1,zero_shock
171845,2005,1,1,1,1,zero_shock
171865,2005,1,1,1,1,zero_shock
171886,2005,1,1,1,1,zero_shock
171888,2005,1,1,1,1,zero_shock
172065,2005,1,1,1,1,zero_shock
172080,2005,1,1,1,0,zero_shock
172085,2005,1,1,1,1,zero_shock
172093,2005,1,1,1,1,zero_shock
210015,2005,1,1,1,1,zero_shock
210030,2005,1,1,1,1,zero_shock
210043,2005,1,1,1,1,zero_shock
210050,2005,1,1,1,1,zero_shock
210060,2005,1,1,1,1,zero_shock
210150,2005,1,1,1,1,zero_shock
210197,2005,1,1,1,1,zero_shock
210200,2005,1,1,1,1,zero_shock
210220,2005,1,1,1,1,zero_shock
210255,2005,1,1,1,1,zero_shock
210270,2005,1,1,1,1,zero_shock
210275,2005,1,1,1,1,zero_shock
210325,2005,1,1,1,1,zero_shock
210375,2005,1,1,1,1,zero_shock
210450,2005,1,1,1,1,zero_shock
210455,2005,1,1,1,1,zero_shock
210467,2005,1,1,1,1,zero_shock
210520,2005,1,1,1,1,zero_shock
210550,2005,1,1,1,1,zero_shock
210560,2005,1,1,1,1,zero_shock
210590,2005,1,1,1,1,zero_shock
210592,2005,1,1,1,1,zero_shock
210600,2005,1,1,1,1,zero_shock
210632,2005,1,1,1,1,zero_shock
210640,2005,1,1,1,1,zero_shock
210660,2005,1,1,1,1,zero_shock
210680,2005,1,1,1,1,zero_shock
210710,2005,1,1,1,1,zero_shock
210725,2005,1,1,1,1,zero_shock
210735,2005,1,1,1,1,zero_shock
210790,2005,1,1,1,1,zero_shock
210800,2005,1,1,1,1,zero_shock
210880,2005,1,1,1,1,zero_shock
210890,2005,1,1,1,1,zero_shock
210905,2005,1,1,1,1,zero_shock
210927,2005,1,1,1,1,zero_shock
210930,2005,1,1,1,1,zero_shock
210940,2005,1,1,1,1,zero_shock
210945,2005,1,1,1,1,zero_shock
211010,2005,1,1,1,1,zero_shock
211040,2005,1,1,1,1,zero_shock
211050,2005,1,1,1,1,zero_shock
211070,2005,1,1,1,1,zero_shock
211107,2005,1,1,1,1,zero_shock
211125,2005,1,1,1,1,zero_shock
211210,2005,1,1,1,1,zero_shock
211223,2005,1,1,1,1,zero_shock
211260,2005,1,1,1,1,zero_shock
220010,2005,1,1,1,1,zero_shock
220030,2005,1,1,1,1,zero_shock
220070,2005,1,1,1,1,zero_shock
220080,2005,1,1,1,1,zero_shock
220090,2005,1,1,1,1,zero_shock
220100,2005,1,1,1,1,zero_shock
220110,2005,1,1,1,1,zero_shock
220140,2005,1,1,1,1,zero_shock
220160,2005,1,1,1,1,zero_shock
220170,2005,1,1,1,1,zero_shock
220173,2005,1,1,1,1,zero_shock
220180,2005,1,1,1,1,zero_shock
220191,2005,1,1,1,1,zero_shock
220196,2005,1,1,1,1,zero_shock
220198,2005,1,1,1,1,zero_shock
220200,2005,1,1,1,1,zero_shock
220202,2005,1,1,1,1,zero_shock
220205,2005,1,1,1,1,zero_shock
220207,2005,1,1,1,1,zero_shock
220210,2005,1,1,1,1,zero_shock
220217,2005,1,1,1,1,zero_shock
220230,2005,1,1,1,0,zero_shock
220250,2005,1,1,1,1,zero_shock
220280,2005,1,1,1,1,zero_shock
220285,2005,1,1,1,1,zero_shock
220310,2005,1,1,1,0,zero_shock
220320,2005,1,1,1,1,zero_shock
220335,2005,1,1,1,1,zero_shock
220342,2005,1,1,1,1,zero_shock
220345,2005,1,1,1,1,zero_shock
220380,2005,1,1,1,1,zero_shock
220400,2005,1,1,1,1,zero_shock
220410,2005,1,1,1,1,zero_shock
220420,2005,1,1,1,1,zero_shock
220430,2005,1,1,1,1,zero_shock
220440,2005,1,1,1,1,zero_shock
220460,2005,1,1,1,1,zero_shock
220490,2005,1,1,1,1,zero_shock
220500,2005,1,1,1,1,zero_shock
220515,2005,1,1,1,1,zero_shock
220520,2005,1,1,1,1,zero_shock
220525,2005,1,1,1,1,zero_shock
220527,2005,1,1,1,1,zero_shock
220540,2005,1,1,1,1,zero_shock
220551,2005,1,1,1,1,zero_shock
220555,2005,1,1,1,1,zero_shock
220560,2005,1,1,1,1,zero_shock
220590,2005,1,1,1,1,zero_shock
220600,2005,1,1,1,1,zero_shock
220610,2005,1,1,1,1,zero_shock
220630,2005,1,1,1,1,zero_shock
220640,2005,1,1,1,1,zero_shock
220650,2005,1,1,1,1,zero_shock
220660,2005,1,1,1,1,zero_shock
220670,2005,1,1,1,1,zero_shock
220680,2005,1,1,1,1,zero_shock
220730,2005,1,1,1,1,zero_shock
220760,2005,1,1,1,1,zero_shock
220777,2005,1,1,1,1,zero_shock
220793,2005,1,1,1,1,zero_shock
220810,2005,1,1,1,1,zero_shock
220860,2005,1,1,1,1,zero_shock
220865,2005,1,1,1,1,zero_shock
220870,2005,1,1,1,1,zero_shock
220890,2005,1,1,1,1,zero_shock
220900,2005,1,1,1,1,zero_shock
220920,2005,1,1,1,1,zero_shock
220930,2005,1,1,1,1,zero_shock
220935,2005,1,1,1,1,zero_shock
220940,2005,1,1,1,1,zero_shock
220950,2005,1,1,1,0,zero_shock
220960,2005,1,1,1,1,zero_shock
220985,2005,1,1,1,1,zero_shock
220987,2005,1,1,1,1,zero_shock
220990,2005,1,1,1,1,zero_shock
221010,2005,1,1,1,1,zero_shock
221020,2005,1,1,1,1,zero_shock
221038,2005,1,1,1,1,zero_shock
221050,2005,1,1,1,1,zero_shock
221070,2005,1,1,1,1,zero_shock
221093,2005,1,1,1,1,zero_shock
221095,2005,1,1,1,1,zero_shock
221140,2005,1,1,1,1,zero_shock
221150,2005,1,0,0,1,zero_aff
221170,2005,1,1,1,1,zero_shock
230060,2005,1,1,1,1,zero_shock
230090,2005,1,1,1,1,zero_shock
230125,2005,1,1,1,1,zero_shock
230150,2005,1,1,1,1,zero_shock
230180,2005,1,1,1,1,zero_shock
230195,2005,1,1,1,1,zero_shock
230230,2005,1,1,1,1,zero_shock
230330,2005,1,1,1,1,zero_shock
230360,2005,1,0,0,1,zero_aff
230427,2005,1,1,1,1,zero_shock
230465,2005,1,1,1,1,zero_shock
230490,2005,1,1,1,1,zero_shock
230526,2005,1,1,1,0,zero_shock
230533,2005,1,1,1,1,zero_shock
230565,2005,1,1,1,1,zero_shock
230610,2005,1,1,1,1,zero_shock
230625,2005,1,1,1,1,zero_shock
230660,2005,1,1,1,1,zero_shock
230763,2005,1,1,1,1,zero_shock
230790,2005,1,1,1,1,zero_shock
230820,2005,1,1,1,1,zero_shock
230880,2005,1,1,1,1,zero_shock
231060,2005,1,1,1,1,zero_shock
231080,2005,1,1,1,1,zero_shock
231085,2005,1,1,1,1,zero_shock
231123,2005,1,1,1,1,zero_shock
231126,2005,1,1,1,1,zero_shock
231135,2005,1,1,1,1,zero_shock
231260,2005,1,1,1,1,zero_shock
231280,2005,1,0,0,1,zero_aff
231300,2005,1,1,1,1,zero_shock
231325,2005,1,1,1,1,zero_shock
231380,2005,1,1,1,1,zero_shock
240090,2005,1,1,1,1,zero_shock
240100,2005,1,1,1,1,zero_shock
240190,2005,1,1,1,1,zero_shock
240380,2005,1,1,1,1,zero_shock
240390,2005,1,1,1,0,zero_shock
240440,2005,1,1,1,1,zero_shock
240510,2005,1,1,1,1,zero_shock
240520,2005,1,1,1,1,zero_shock
240600,2005,1,1,1,1,zero_shock
240620,2005,1,1,1,1,zero_shock
240630,2005,1,1,1,1,zero_shock
240970,2005,1,1,1,1,zero_shock
241030,2005,1,1,1,1,zero_shock
241142,2005,1,1,1,1,zero_shock
241310,2005,1,1,1,1,zero_shock
241360,2005,1,1,1,1,zero_shock
241370,2005,1,1,1,1,zero_shock
241415,2005,1,1,1,1,zero_shock
241445,2005,1,1,1,1,zero_shock
250020,2005,1,1,1,1,zero_shock
250053,2005,1,1,1,1,zero_shock
250090,2005,1,1,1,1,zero_shock
250120,2005,1,1,1,1,zero_shock
250135,2005,1,1,1,1,zero_shock
250140,2005,1,1,1,1,zero_shock
250160,2005,1,1,1,1,zero_shock
250170,2005,1,1,1,1,zero_shock
250205,2005,1,1,1,1,zero_shock
250270,2005,1,1,1,1,zero_shock
250330,2005,1,1,1,1,zero_shock
250340,2005,1,1,1,1,zero_shock
250360,2005,1,1,1,1,zero_shock
250403,2005,1,1,1,1,zero_shock
250407,2005,1,1,1,1,zero_shock
250460,2005,1,1,1,1,zero_shock
250510,2005,1,1,1,1,zero_shock
250520,2005,1,1,1,1,zero_shock
250535,2005,1,1,1,1,zero_shock
250540,2005,1,1,1,1,zero_shock
250560,2005,1,1,1,1,zero_shock
250570,2005,1,1,1,1,zero_shock
250590,2005,1,1,1,1,zero_shock
250610,2005,1,1,1,1,zero_shock
250650,2005,1,1,1,1,zero_shock
250740,2005,1,1,1,1,zero_shock
250810,2005,1,1,1,1,zero_shock
250850,2005,1,1,1,1,zero_shock
250855,2005,1,1,1,1,zero_shock
250900,2005,1,1,1,1,zero_shock
250905,2005,1,1,1,1,zero_shock
250950,2005,1,1,1,1,zero_shock
251030,2005,1,1,1,1,zero_shock
251110,2005,1,1,1,1,zero_shock
251120,2005,1,1,1,1,zero_shock
251170,2005,1,1,1,1,zero_shock
251180,2005,1,1,1,1,zero_shock
251275,2005,1,1,1,1,zero_shock
251360,2005,1,1,1,1,zero_shock
251380,2005,1,1,1,1,zero_shock
251385,2005,1,1,1,1,zero_shock
251390,2005,1,1,1,1,zero_shock
251392,2005,1,1,1,1,zero_shock
251394,2005,1,0,0,1,zero_aff
251440,2005,1,1,1,1,zero_shock
251460,2005,1,1,1,1,zero_shock
251500,2005,1,1,1,1,zero_shock
251510,2005,1,1,1,1,zero_shock
251580,2005,1,1,1,1,zero_shock
251590,2005,1,1,1,1,zero_shock
260105,2005,1,1,1,1,zero_shock
260130,2005,1,1,1,1,zero_shock
260180,2005,1,1,1,1,zero_shock
260240,2005,1,1,1,1,zero_shock
260330,2005,1,1,1,1,zero_shock
260360,2005,1,1,1,1,zero_shock
260415,2005,1,1,1,1,zero_shock
260430,2005,1,1,1,1,zero_shock
260440,2005,1,1,1,1,zero_shock
260480,2005,1,1,1,1,zero_shock
260490,2005,1,1,1,1,zero_shock
260515,2005,1,1,1,1,zero_shock
260540,2005,1,1,1,1,zero_shock
260545,2005,1,1,1,0,zero_shock
260590,2005,1,1,1,1,zero_shock
