reason,year,n_cells,share_of_zero
zero_aff,2005,5,0.000658241179568194
zero_rais,2005,1,0.000131648235913639
zero_shock,2005,869,0.114402317008952
zero_aff,2006,9,0.00118483412322275
zero_shock,2006,866,0.114007372301211
zero_aff,2007,5,0.000658241179568194
zero_rais,2007,4,0.000526592943654555
zero_shock,2007,997,0.131253291205898
zero_aff,2008,3,0.000394944707740916
zero_rais,2008,3,0.000394944707740916
zero_shock,2008,1000,0.131648235913639
zero_aff,2009,1,0.000131648235913639
zero_rais,2009,2,0.000263296471827278
zero_shock,2009,580,0.0763559768299105
zero_aff,2010,1,0.000131648235913639
zero_rais,2010,1,0.000131648235913639
zero_shock,2010,581,0.0764876250658241
zero_aff,2011,2,0.000263296471827278
zero_rais,2011,2,0.000263296471827278
zero_shock,2011,622,0.0818852027382833
zero_aff,2012,1,0.000131648235913639
zero_rais,2012,1,0.000131648235913639
zero_shock,2012,624,0.0821484992101106
zero_aff,2013,1,0.000131648235913639
zero_rais,2013,1,0.000131648235913639
zero_shock,2013,283,0.0372564507635598
zero_rais,2014,1,0.000131648235913639
zero_shock,2014,284,0.0373880989994734
zero_rais,2015,1,0.000131648235913639
zero_shock,2015,291,0.0383096366508689
zero_aff,2016,1,0.000131648235913639
zero_rais,2016,1,0.000131648235913639
zero_shock,2016,290,0.0381779884149552
zero_rais,2017,3,0.000394944707740916
zero_shock,2017,259,0.0340968931016324
