porte_row,a4_col,n,row_pct
Micro,1,222228,0.767425477249496
Micro,2,63900,0.220667458629168
Micro,3,3400,0.0117413045279996
Micro,4,48,0.000165759593336464
Pequena,1,43232,0.338199170773684
Pequena,2,65959,0.515989986701087
Pequena,3,18556,0.145161542673864
Pequena,4,83,0.000649299851365094
Media,1,7309,0.123042995185347
Media,2,17888,0.301134641931248
Media,3,31784,0.535066159388573
Media,4,2421,0.0407562034948318
Grande,1,1543,0.0564973820072498
Grande,2,3665,0.134195012998426
Grande,3,12600,0.461352568562118
Grande,4,9503,0.347955036432207
