porte,size_bin_A4,N,row_pct
Micro,2,69285,0.334816898141436
Micro,1,129245,0.624571119294074
Pequena,1,30956,0.20008402546618
Pequena,2,75931,0.490779820961122
Pequena,3,46383,0.299796399831949
Media,1,6939,0.0444186969491352
Media,2,23192,0.14845920444507
Media,3,104773,0.670684556197109
Grande,3,58002,0.258318228176203
Grande,1,2911,0.0129644557467144
Media,4,21314,0.136437542408685
Micro,3,6894,0.0333149699904317
Grande,2,7445,0.0331571188712773
Grande,4,156179,0.695560197205806
Pequena,4,1445,0.00933975374074912
Micro,4,1510,0.00729701257405743
