porte_row,a4_col,sum_value,row_pct_value
Micro,1,86902557144.849,0.448505036371636
Micro,2,40712290253.9794,0.210116569880659
Micro,3,4107299775.97236,0.0211978185215104
Micro,4,62038346236.5609,0.320180575226194
Pequena,1,47087471396.8416,0.248029903029611
Pequena,2,96036993314.9154,0.505868024604771
Pequena,3,45640096321.3658,0.240405957870351
Pequena,4,1081384240.74201,0.00569611449526639
Media,1,222971225545.861,0.292535761778334
Media,2,131487842862.931,0.172510583741604
Media,3,359400766657.422,0.471529798522014
Media,4,48341764459.2999,0.0634238559580479
Grande,1,4944782470972.12,0.0891465434166347
Grande,2,6393553156599.21,0.115265568790386
Grande,3,14102538168862.2,0.254246276461189
Grande,4,30027148646817.3,0.54134161133179
