option,cycle_from,cycle_to,bin_from,bin_to,N
A3,2005,2007,3,3,7927
A3,2005,2007,1,1,5441915
A3,2005,2007,2,2,72214
A3,2005,2007,2,1,3244
A3,2005,2007,1,2,5346
A3,2005,2007,2,3,620
A3,2005,2007,3,2,245
A3,2005,2007,1,3,43
A3,2007,2009,3,3,8198
A3,2007,2009,1,1,5434621
A3,2007,2009,2,2,71144
A3,2007,2009,2,1,5433
A3,2007,2009,2,3,1218
A3,2007,2009,1,2,10076
A3,2007,2009,3,1,29
A3,2007,2009,3,2,364
A3,2007,2009,1,3,38
A3,2009,2011,3,3,8958
A3,2009,2011,1,1,5428245
A3,2009,2011,2,2,74377
A3,2009,2011,2,1,6011
A3,2009,2011,1,2,11421
A3,2009,2011,2,3,1366
A3,2009,2011,3,2,460
A3,2009,2011,3,1,46
A3,2009,2011,1,3,41
A3,2011,2013,3,3,9809
A3,2011,2013,1,1,5420893
A3,2011,2013,2,2,78412
A3,2011,2013,1,2,12879
A3,2011,2013,2,1,6635
A3,2011,2013,2,3,1435
A3,2011,2013,3,1,29
A3,2011,2013,3,2,530
A3,2011,2013,1,3,55
A3,2013,2015,3,3,10612
A3,2013,2015,1,1,5413871
A3,2013,2015,2,2,82962
A3,2013,2015,2,1,7736
A3,2013,2015,1,2,13130
A3,2013,2015,3,2,637
A3,2013,2015,2,3,1317
A3,2013,2015,1,3,57
A3,2013,2015,3,1,58
A3,2015,2017,3,3,11064
A3,2015,2017,1,1,5410098
A3,2015,2017,2,2,85970
A3,2015,2017,2,1,9911
A3,2015,2017,1,2,11186
A3,2015,2017,2,3,1036
A3,2015,2017,3,2,873
A3,2015,2017,3,1,52
A3,2015,2017,1,3,35
