option,cycle_from,cycle_to,bin_from,bin_to,N
B,2005,2007,3,3,1748059
B,2005,2007,1,1,2218835
B,2005,2007,2,2,1321639
B,2005,2007,1,2,96990
B,2005,2007,3,2,66579
B,2005,2007,2,1,5496
B,2005,2007,2,3,64664
B,2005,2007,1,3,10809
B,2007,2009,3,3,1722620
B,2007,2009,1,1,2117470
B,2007,2009,2,2,1303414
B,2007,2009,3,2,90267
B,2007,2009,1,2,96037
B,2007,2009,2,3,97855
B,2007,2009,2,1,83939
B,2007,2009,3,1,10645
B,2007,2009,1,3,10824
B,2009,2011,3,3,1733027
B,2009,2011,1,1,2085381
B,2009,2011,2,2,1304810
B,2009,2011,1,2,113341
B,2009,2011,2,1,77831
B,2009,2011,3,2,85377
B,2009,2011,1,3,13332
B,2009,2011,3,1,12895
B,2009,2011,2,3,107077
B,2011,2013,3,3,1742107
B,2011,2013,1,1,2036370
B,2011,2013,2,2,1298002
B,2011,2013,1,2,123991
B,2011,2013,3,1,14656
B,2011,2013,2,3,119449
B,2011,2013,3,2,96673
B,2011,2013,2,1,86077
B,2011,2013,1,3,15746
B,2013,2015,3,3,1678546
B,2013,2015,1,1,1993549
B,2013,2015,2,2,1314794
B,2013,2015,2,3,105563
B,2013,2015,1,2,130073
B,2013,2015,1,3,13481
B,2013,2015,3,2,184154
B,2013,2015,3,1,14602
B,2013,2015,2,1,98309
B,2015,2017,3,3,1661687
B,2015,2017,1,1,1968860
B,2015,2017,2,2,1382692
B,2015,2017,2,1,116543
B,2015,2017,1,2,125632
B,2015,2017,2,3,129786
B,2015,2017,3,2,121194
B,2015,2017,1,3,11968
B,2015,2017,3,1,14709
