option,year_from,year_to,bin_from,bin_to,N
A4,2002,2003,4,4,5947
A4,2003,2004,4,4,6334
A4,2004,2005,4,4,6694
A4,2005,2006,4,4,7114
A4,2006,2007,4,4,7634
A4,2007,2008,4,4,8108
A4,2008,2009,4,4,8401
A4,2009,2010,4,4,8852
A4,2010,2011,4,4,9379
A4,2011,2012,4,4,9601
A4,2012,2013,4,4,9828
A4,2013,2014,4,4,10071
A4,2014,2015,4,4,10013
A4,2015,2016,4,4,9582
A4,2016,2017,4,4,9460
A4,2002,2003,1,1,1060972
A4,2003,2004,1,1,1106006
A4,2004,2005,1,1,1157657
A4,2005,2006,1,1,1218460
A4,2006,2007,1,1,1258429
A4,2007,2008,1,1,1299575
A4,2008,2009,1,1,1367558
A4,2009,2010,1,1,1444484
A4,2010,2011,1,1,1527087
A4,2011,2012,1,1,1624056
A4,2012,2013,1,1,1692738
A4,2013,2014,1,1,1775924
A4,2014,2015,1,1,1838027
A4,2015,2016,1,1,1848911
A4,2016,2017,1,1,1835532
A4,2008,2009,2,2,264884
A4,2009,2010,2,2,281486
A4,2010,2011,2,2,300904
A4,2011,2012,2,2,319457
A4,2012,2013,2,2,330976
A4,2013,2014,2,2,342545
A4,2014,2015,2,2,344692
A4,2002,2003,2,2,188350
A4,2003,2004,2,2,198642
A4,2004,2005,2,2,211106
A4,2005,2006,2,2,224706
A4,2006,2007,2,1,39557
A4,2008,2009,1,2,58115
A4,2011,2012,2,1,57106
A4,2012,2013,1,2,68251
A4,2014,2015,2,1,70676
A4,2002,2003,3,3,43232
A4,2003,2004,3,3,45152
A4,2004,2005,3,3,47114
A4,2005,2006,3,3,49356
A4,2006,2007,3,3,51946
A4,2007,2008,3,3,54995
A4,2008,2009,3,3,57549
A4,2009,2010,3,3,60661
A4,2010,2011,3,3,64444
A4,2011,2012,3,3,67022
A4,2012,2013,3,1,1518
A4,2003,2004,3,2,4443
A4,2006,2007,2,2,235792
A4,2007,2008,2,2,250023
A4,2015,2016,2,1,70853
A4,2005,2006,2,1,38703
A4,2002,2003,1,2,40614
A4,2003,2004,2,1,33762
A4,2004,2005,1,2,48599
A4,2009,2010,2,1,46417
A4,2011,2012,1,2,67267
A4,2012,2013,3,3,68743
A4,2002,2003,2,3,6393
A4,2013,2014,3,3,70047
A4,2015,2016,2,2,337682
A4,2016,2017,2,2,332679
A4,2011,2012,2,3,10418
A4,2012,2013,3,2,8298
A4,2015,2016,1,2,51358
A4,2016,2017,2,1,62373
A4,2006,2007,1,2,54420
