cnae_section,cnae_section_label,policy_block,in_regression,n_firm_years,n_firms,total_employment,n_bndes_firm_years,total_bndes_value,pct_firm_years,pct_employment,pct_bndes_value
A,Agriculture & Fishing,Agro,TRUE,2058418,93164,21898529,14218,445079479496.18,4.659014352305,3.38851743205579,1.9124962138333
B,Mining & Extraction,Ind,TRUE,99245,17481,2686067,7315,1197057100197.48,0.224630701536087,0.415634532034997,5.14372663161525
C,Manufacturing,Ind,TRUE,4597629,772510,106232848,155049,9868806659545.39,10.4062534905805,16.4381752447817,42.4060336207781
D,Electricity & Gas,Infra,TRUE,39601,3894,2221753,981,3292526736029.52,0.0896327312361388,0.343787875898982,14.1479111185476
E,Water & Waste,Infra,TRUE,179220,47884,4954406,6945,240219012707.977,0.405645768847777,0.766630995921316,1.0322155333129
F,Construction,Infra,TRUE,1545909,363638,29236672,38599,278043006162.972,3.49900370981864,4.52400125722132,1.19474435705607
G,Trade,Serv,TRUE,15934923,3085029,106393225,228731,624150342824.241,36.0670354417203,16.4629915354193,2.68195956566082
H,Transport & Logistics,Infra,TRUE,4900655,1481148,46537865,171685,4373024720758.34,11.0921212215863,7.20113971140067,18.7907859309014
I,Hospitality,Serv,TRUE,2924377,571071,23061798,7952,24873152683.5081,6.61902218818075,3.56851843964266,0.106879360933815
J,Information & Communication,Serv,TRUE,810379,211476,14390222,19646,643796775077.561,1.83420830550771,2.22670290311065,2.76637982997482
K,Finance & Insurance,XX,FALSE,530412,63726,14084286,2470,711738800433.098,1.20053221485374,2.17936321791566,3.05832513915806
L,Real Estate,Serv,TRUE,250529,55413,1381365,1356,130308629855.366,0.567046249434576,0.213748575647787,0.559933164095315
M,Professional Services,Serv,TRUE,2277781,523705,51086693,7316,392757997833.186,5.15551961283259,7.90501269635886,1.68767201907174
N,Administrative Services,Serv,TRUE,3207525,570778,50851496,21328,457766629466.591,7.25989814040545,7.86861896715142,1.9670126033784
O,Public Administration,XX,FALSE,186728,20165,103207091,8,8016227.10479746,0.422639343407028,15.9699780275318,3.44455421860998e-05
P,Education,Serv,TRUE,1020744,198705,24625275,4163,73726044218.1008,2.31034753195377,3.81044651933779,0.316799104258039
Q,Health & Social Services,Serv,TRUE,1293886,168170,21212826,3943,314306327667.486,2.92857594727918,3.28241365820354,1.35056700957851
R,Arts & Culture,Serv,TRUE,741031,185402,7750847,2114,197412494790.579,1.67724634379554,1.19934449353641,0.848276917367091
S,Other Services,Serv,TRUE,1540835,280461,14244250,2714,5817606670.97148,3.48751924027767,2.20411560208271,0.0249981211095125
T,Domestic Services,XX,FALSE,37274,3936,130908,13,4230227.92624983,0.084365809552684,0.0202563395922877,1.81771914125601e-05
U,International Organizations,XX,FALSE,4284,1053,68513,19,720080034.53771,0.00969638697547079,0.0106015109426957,0.0030941672288941
