margin,denom,bin,n_obs,n_munis,n_munis_with_sigma,mean_share_overall,total_var,between_muni_var,within_muni_var,share_within,p10_sigma_within,med_sigma_within,p90_sigma_within
A3_size_x_sec,V1,A_1,46032,5198,4922,0.0296748731541955,0.0192420921251941,0.00877399834215957,0.013272381635697,0.689757722255117,0,0,0.255761550349965
A3_size_x_sec,V1,A_2,46032,5198,4922,0.0186102085082594,0.0128290090779196,0.00530211619543167,0.00809349126747685,0.63087423341268,0,0,0.0667099793232969
A3_size_x_sec,V1,A_3,46032,5198,4922,0.00959273056168467,0.00673967919866925,0.00262025359868976,0.00425124076691588,0.63077791117347,0,0,0
A3_size_x_sec,V1,B_1,46032,5198,4922,0.0191153430456051,0.011689149389148,0.00705764488969158,0.00718524590945214,0.614693650516844,0,0,0.0930985624997841
A3_size_x_sec,V1,B_2,46032,5198,4922,0.00497605841855238,0.0030522004379047,0.00121213310200504,0.00190288829010615,0.623448010318896,0,0,0
A3_size_x_sec,V1,B_3,46032,5198,4922,0.00171733287753585,0.00126127502318396,0.000351673345820397,0.00084710111731333,0.671622843346971,0,0,0
A3_size_x_sec,V1,C_1,46032,5198,4922,0.123216673564922,0.0620282838421756,0.029947355643307,0.0401679370299646,0.647574534419937,0,0.0951429829491519,0.403479777536307
A3_size_x_sec,V1,C_2,46032,5198,4922,0.0841963792677721,0.0453119822862291,0.0160031401742913,0.0280100496430632,0.61815988243745,0,0,0.316227766016838
A3_size_x_sec,V1,C_3,46032,5198,4922,0.0556757421154369,0.0366035818690696,0.0130628760105846,0.019434714043457,0.530951154260657,0,0,0.267068402552869
A3_size_x_sec,V1,D_1,46032,5198,4922,0.0031300027678249,0.00252449208985533,0.000664639833241306,0.00202467256318902,0.80201184678897,0,0,0
A3_size_x_sec,V1,D_2,46032,5198,4922,0.000939748110082736,0.000641746717650641,0.000151077945595502,0.000521844199079272,0.813162241000128,0,0,0
A3_size_x_sec,V1,D_3,46032,5198,4922,0.000548025075602331,0.000397494871591321,3.77462933120933e-05,0.000339018493077283,0.852887715808924,0,0,0
A3_size_x_sec,V1,E_1,46032,5198,4922,0.00382071231188725,0.00189497300398126,0.000599431689751538,0.00152636308861562,0.805480123151516,0,0,0.00736326481555779
A3_size_x_sec,V1,E_2,46032,5198,4922,0.00242702349428126,0.00139955371422614,0.000288507923674241,0.00111991318259457,0.800193069555609,0,0,0
A3_size_x_sec,V1,E_3,46032,5198,4922,0.00039353025764308,0.000188103994134453,1.31671945473253e-05,0.000169271809241965,0.899884183857215,0,0,0
A3_size_x_sec,V1,F_1,46032,5198,4922,0.0294547285016192,0.0149807462349454,0.00768537326898599,0.0105654463921781,0.705268364237573,0,0,0.191752356824686
A3_size_x_sec,V1,F_2,46032,5198,4922,0.0104062613741361,0.00520930717459576,0.00166865299516018,0.00380475285362055,0.730375984003247,0,0,0.0328665585191821
A3_size_x_sec,V1,F_3,46032,5198,4922,0.00267402998613057,0.00145973191616611,0.000334807691385161,0.00106830668755966,0.73185129113673,0,0,0
A3_size_x_sec,V1,G_1,46032,5198,4922,0.292714390737499,0.136165246686407,0.0973586828995522,0.0718166896116725,0.527423049267987,0,0.280741625685751,0.49316800199135
A3_size_x_sec,V1,G_2,46032,5198,4922,0.0275105603445764,0.0139838656671096,0.00400810814643391,0.00981933353830651,0.702190207776512,0,0,0.145541080776492
A3_size_x_sec,V1,G_3,46032,5198,4922,0.0140332638978496,0.00913244266056569,0.00276714771915085,0.00623369984102634,0.682588445689755,0,0,0.0364525502428545
A3_size_x_sec,V1,H_1,46032,5198,4922,0.16974754379703,0.0791264178532841,0.0347183822586634,0.0505446770182021,0.638783839702207,0,0.149257166760273,0.408248290463863
