option,denom,bin,cnae_section,size_bin_int,n_munis_with_sigma,mean_share_overall,share_within,round1_share_within,delta_share_within,med_sigma_within,round1_med_sigma_within,delta_med_sigma_within,round1_n_munis,round1_mean_share
A3,V1,A_1,A,1,4922,0.0296748731541955,0.689757722255117,0.596837706469003,0.0929200157861142,0,0,0,5290,0.0587991682243287
A3,V1,A_2,A,2,4922,0.0186102085082594,0.63087423341268,0.596837706469003,0.0340365269436772,0,0,0,5290,0.0587991682243287
A3,V1,A_3,A,3,4922,0.00959273056168467,0.63077791117347,0.596837706469003,0.0339402047044669,0,0,0,5290,0.0587991682243287
A3,V1,B_1,B,1,4922,0.0191153430456051,0.614693650516844,0.627572945743901,-0.0128792952270572,0,0,0,5290,0.0231484531094211
A3,V1,B_2,B,2,4922,0.00497605841855238,0.623448010318896,0.627572945743901,-0.00412493542500514,0,0,0,5290,0.0231484531094211
A3,V1,B_3,B,3,4922,0.00171733287753585,0.671622843346971,0.627572945743901,0.0440498976030703,0,0,0,5290,0.0231484531094211
A3,V1,C_1,C,1,4922,0.123216673564922,0.647574534419937,0.582170558720164,0.0654039756997726,0.0951429829491519,0.239239301495886,-0.144096318546734,5290,0.263675402706067
A3,V1,C_2,C,2,4922,0.0841963792677721,0.61815988243745,0.582170558720164,0.035989323717286,0,0.239239301495886,-0.239239301495886,5290,0.263675402706067
A3,V1,C_3,C,3,4922,0.0556757421154369,0.530951154260657,0.582170558720164,-0.051219404459507,0,0.239239301495886,-0.239239301495886,5290,0.263675402706067
A3,V1,D_1,D,1,4922,0.0031300027678249,0.80201184678897,0.807648448175089,-0.00563660138611899,0,0,0,5290,0.00589144999770434
A3,V1,D_2,D,2,4922,0.000939748110082736,0.813162241000128,0.807648448175089,0.00551379282503928,0,0,0,5290,0.00589144999770434
A3,V1,D_3,D,3,4922,0.000548025075602331,0.852887715808924,0.807648448175089,0.0452392676338349,0,0,0,5290,0.00589144999770434
A3,V1,E_1,E,1,4922,0.00382071231188725,0.805480123151516,0.813303193683549,-0.00782307053203324,0,0,0,5290,0.00768340930110035
A3,V1,E_2,E,2,4922,0.00242702349428126,0.800193069555609,0.813303193683549,-0.0131101241279397,0,0,0,5290,0.00768340930110035
A3,V1,E_3,E,3,4922,0.00039353025764308,0.899884183857215,0.813303193683549,0.0865809901736662,0,0,0,5290,0.00768340930110035
A3,V1,F_1,F,1,4922,0.0294547285016192,0.705268364237573,0.726408388514486,-0.0211400242769134,0,0.00163042829422717,-0.00163042829422717,5290,0.039971394445605
A3,V1,F_2,F,2,4922,0.0104062613741361,0.730375984003247,0.726408388514486,0.00396759548876058,0,0.00163042829422717,-0.00163042829422717,5290,0.039971394445605
A3,V1,F_3,F,3,4922,0.00267402998613057,0.73185129113673,0.726408388514486,0.00544290262224356,0,0.00163042829422717,-0.00163042829422717,5290,0.039971394445605
A3,V1,G_1,G,1,4922,0.292714390737499,0.527423049267987,0.574378918590713,-0.0469558693227264,0.280741625685751,0.308588682570358,-0.0278470568846071,5290,0.314177034496556
A3,V1,G_2,G,2,4922,0.0275105603445764,0.702190207776512,0.574378918590713,0.127811289185799,0,0.308588682570358,-0.308588682570358,5290,0.314177034496556
A3,V1,G_3,G,3,4922,0.0140332638978496,0.682588445689755,0.574378918590713,0.108209527099042,0,0.308588682570358,-0.308588682570358,5290,0.314177034496556
A3,V1,H_1,H,1,4922,0.16974754379703,0.638783839702207,0.692848189861674,-0.0540643501594665,0.149257166760273,0.224251738396391,-0.0749945716361182,5290,0.211735688585611
A3,V1,H_2,H,2,4922,0.0258012519877092,0.700710782911621,0.692848189861674,0.00786259304994652,0,0.224251738396391,-0.224251738396391,5290,0.211735688585611
A3,V1,H_3,H,3,4922,0.00935842371653758,0.64720573367549,0.692848189861674,-0.0456424561861843,0,0.224251738396391,-0.224251738396391,5290,0.211735688585611
A3,V1,I_1,I,1,4922,0.00464832130914552,0.840775031569896,0.828306841970452,0.0124681895994435,0,0,0,5290,0.00589487360154203
A3,V1,I_2,I,2,4922,0.000451936872641123,0.836184816478517,0.828306841970452,0.00787797450806449,0,0,0,5290,0.00589487360154203
A3,V1,I_3,I,3,4922,0.000207752804297598,0.371145029104919,0.828306841970452,-0.457161812865533,0,0,0,5290,0.00589487360154203
A3,V1,J_1,J,1,4922,0.0146768327460381,0.883392101767675,0.854957003255038,0.0284350985126373,0,0,0,5290,0.0319904483184356
A3,V1,J_2,J,2,4922,0.00568764518133843,0.835794579094159,0.854957003255038,-0.0191624241608791,0,0,0,5290,0.0319904483184356
A3,V1,J_3,J,3,4922,0.00166643847694711,0.879571932233559,0.854957003255038,0.0246149289785207,0,0,0,5290,0.0319904483184356
A3,V1,L_1,L,1,4922,0.00126143627615101,0.804103796564636,0.832229534428017,-0.0281257378633814,0,0,0,5290,0.00172279221591751
A3,V1,L_2,L,2,4922,0.000120227028539244,0.898808892727384,0.832229534428017,0.0665793582993674,0,0,0,5290,0.00172279221591751
A3,V1,L_3,L,3,4922,2.1439594519861e-05,0.928591717438466,0.832229534428017,0.0963621830104488,0,0,0,5290,0.00172279221591751
A3,V1,M_1,M,1,4922,0.00298606217560587,0.845184081820958,0.829677074171039,0.0155070076499187,0,0,0,5290,0.0061740972680496
A3,V1,M_2,M,2,4922,0.00102261011540825,0.818590663055731,0.829677074171039,-0.0110864111153079,0,0,0,5290,0.0061740972680496
A3,V1,M_3,M,3,4922,0.000623119465995324,0.785720273544184,0.829677074171039,-0.0439568006268553,0,0,0,5290,0.0061740972680496
A3,V1,N_1,N,1,4922,0.0149540505366364,0.709565140864248,0.727623482178375,-0.0180583413141266,0,0,0,5290,0.0192168634164922
A3,V1,N_2,N,2,4922,0.0018524418880212,0.812934806091708,0.727623482178375,0.0853113239133326,0,0,0,5290,0.0192168634164922
A3,V1,N_3,N,3,4922,0.0010606036817834,0.8077155186685,0.727623482178375,0.0800920364901247,0,0,0,5290,0.0192168634164922
A3,V1,P_1,P,1,4922,0.00168228300919733,0.824130018242937,0.873763280225593,-0.0496332619826556,0,0,0,5290,0.0026931446076691
A3,V1,P_2,P,2,4922,0.000456699072163273,0.86952517358178,0.873763280225593,-0.00423810664381341,0,0,0,5290,0.0026931446076691
A3,V1,P_3,P,3,4922,0.000374867919462543,0.889047656018185,0.873763280225593,0.0152843757925918,0,0,0,5290,0.0026931446076691
