denom,bin,n_obs,n_munis,mean_share_overall,total_var,within_muni_var,between_muni_var,share_within,p10_sigma_within,med_sigma_within,p90_sigma_within,n_munis_with_sigma
V2,Agro_1,46141,5200,0.0294013822565404,0.0189955689991399,0.0131256062500665,0.00863980782652688,0.690982526012294,0,0,0.248624335838213,4926
V2,Agro_2,46141,5200,0.0184773869881364,0.0127079623186615,0.00804649133325643,0.00519871958007883,0.63318501672296,0,0,0.0663303148627284,4926
V2,Agro_3,46141,5200,0.00955329138776886,0.00670945969699292,0.00423463068882475,0.00260794944044917,0.631143323019386,0,0,0,4926
V2,Ind_1,46141,5200,0.141435603718029,0.070532400548968,0.0446255816927466,0.0357628612431399,0.632696198419686,0,0.119623926538647,0.414246723847642,4926
V2,Ind_2,46141,5200,0.0886340309158696,0.0476261114811836,0.0290693689438193,0.0173571676616132,0.610366205422926,0,0,0.321980431634017,4926
V2,Ind_3,46141,5200,0.0570710430611776,0.0374832890186707,0.0201184822390134,0.0132906791523282,0.536732041550364,0,0,0.27262964867864,4926
V2,Infra_1,46141,5200,0.204860197246073,0.0915029225299644,0.0597683800089441,0.0408023134280603,0.653185476008942,0,0.203333646923314,0.433085359843561,4926
V2,Infra_2,46141,5200,0.0392920244593722,0.0197284101980458,0.0137233723179478,0.00611389794331823,0.695614708949392,0,0,0.208127140498403,4926
V2,Infra_3,46141,5200,0.0128787858888971,0.00668956261140312,0.00441687231936448,0.00163496828422595,0.660263245288328,0,0,0.0148699350276021,4926
V2,Serv_1,46141,5200,0.335375292493174,0.143858601546342,0.0794047149676087,0.0954425797747046,0.551963623405791,0,0.300719757499356,0.494328443521069,4926
V2,Serv_2,46141,5200,0.0378287429608933,0.0197647229641575,0.0144925173663875,0.00573111946285972,0.733251733033097,0,0,0.22596104949831,4926
V2,Serv_3,46141,5200,0.0190584167749097,0.0120762649590894,0.00832640737296191,0.0032442183945765,0.68948531695596,0,0,0.10027441909959,4926
