margin,denom,bin,share_within_new,med_sigma_within_new,share_within_old,med_sigma_within_old,delta_share,delta_sigma,abs_delta_share,abs_delta_sigma,fail_share,fail_sigma,fail_any
cnae_section,V1,A,0.596837706469003,0,0.596837706469003,0,-3.33066907387547e-16,0,3.33066907387547e-16,0,FALSE,FALSE,FALSE
cnae_section,V1,B,0.627572945743901,0,0.627572945743901,0,0,0,0,0,FALSE,FALSE,FALSE
cnae_section,V1,C,0.582170558720164,0.239239301495886,0.582170558720164,0.239239301495886,-2.22044604925031e-16,3.05311331771918e-16,2.22044604925031e-16,3.05311331771918e-16,FALSE,FALSE,FALSE
cnae_section,V1,D,0.807648448175089,0,0.807648448175089,0,1.11022302462516e-16,0,1.11022302462516e-16,0,FALSE,FALSE,FALSE
cnae_section,V1,E,0.813303193683549,0,0.813303193683549,0,0,0,0,0,FALSE,FALSE,FALSE
cnae_section,V1,F,0.726408388514486,0.00163042829422717,0.726408388514486,0.00163042829422717,2.22044604925031e-16,-4.55364912443912e-18,2.22044604925031e-16,4.55364912443912e-18,FALSE,FALSE,FALSE
cnae_section,V1,G,0.574378918590713,0.308588682570358,0.574378918590713,0.308588682570358,-1.11022302462516e-16,-3.88578058618805e-16,1.11022302462516e-16,3.88578058618805e-16,FALSE,FALSE,FALSE
cnae_section,V1,H,0.692848189861674,0.224251738396391,0.692848189861674,0.224251738396391,-2.22044604925031e-16,-4.16333634234434e-16,2.22044604925031e-16,4.16333634234434e-16,FALSE,FALSE,FALSE
cnae_section,V1,I,0.828306841970452,0,0.828306841970452,0,4.44089209850063e-16,0,4.44089209850063e-16,0,FALSE,FALSE,FALSE
cnae_section,V1,J,0.854957003255038,0,0.854957003255038,0,0,0,0,0,FALSE,FALSE,FALSE
cnae_section,V1,L,0.832229534428017,0,0.832229534428017,0,-4.44089209850063e-16,0,4.44089209850063e-16,0,FALSE,FALSE,FALSE
cnae_section,V1,M,0.829677074171039,0,0.829677074171039,0,-2.22044604925031e-16,0,2.22044604925031e-16,0,FALSE,FALSE,FALSE
cnae_section,V1,N,0.727623482178375,0,0.727623482178375,0,-4.44089209850063e-16,0,4.44089209850063e-16,0,FALSE,FALSE,FALSE
cnae_section,V1,P,0.873763280225593,0,0.873763280225593,0,-3.33066907387547e-16,0,3.33066907387547e-16,0,FALSE,FALSE,FALSE
cnae_section,V1,Q,0.884596216937655,0,0.884596216937655,0,-2.22044604925031e-16,0,2.22044604925031e-16,0,FALSE,FALSE,FALSE
cnae_section,V1,R,0.875364185945454,0,0.875364185945454,0,4.44089209850063e-16,0,4.44089209850063e-16,0,FALSE,FALSE,FALSE
cnae_section,V1,S,0.859191482213916,0,0.859191482213916,0,2.22044604925031e-16,0,2.22044604925031e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,A,0.600295207252831,0,0.600295207252831,0,-3.33066907387547e-16,0,3.33066907387547e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,B,0.62743351511756,0,0.62743351511756,0,0,0,0,0,FALSE,FALSE,FALSE
cnae_section,V2,C,0.583104004312045,0.237903706554645,0.583104004312045,0.237903706554645,0,2.77555756156289e-17,0,2.77555756156289e-17,FALSE,FALSE,FALSE
cnae_section,V2,D,0.808023754117992,0,0.808023754117992,0,0,0,0,0,FALSE,FALSE,FALSE
cnae_section,V2,E,0.813833396851068,0,0.813833396851068,0,3.33066907387547e-16,0,3.33066907387547e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,F,0.726906741214978,0.00159789196702261,0.726906741214978,0.00159789196702261,-4.44089209850063e-16,2.16840434497101e-18,4.44089209850063e-16,2.16840434497101e-18,FALSE,FALSE,FALSE
cnae_section,V2,G,0.576475757478524,0.308653417790661,0.576475757478524,0.308653417790661,2.22044604925031e-16,3.33066907387547e-16,2.22044604925031e-16,3.33066907387547e-16,FALSE,FALSE,FALSE
cnae_section,V2,H,0.693033145890956,0.222879336371674,0.693033145890956,0.222879336371674,-4.44089209850063e-16,1.66533453693773e-16,4.44089209850063e-16,1.66533453693773e-16,FALSE,FALSE,FALSE
cnae_section,V2,I,0.829076885653674,0,0.829076885653674,0,1.11022302462516e-16,0,1.11022302462516e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,J,0.855656592659921,0,0.855656592659921,0,2.22044604925031e-16,0,2.22044604925031e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,K,0.833851924940181,0,0.833851924940181,0,-1.11022302462516e-16,0,1.11022302462516e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,L,0.83219554551722,0,0.83219554551722,0,-2.22044604925031e-16,0,2.22044604925031e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,M,0.830944168151758,0,0.830944168151758,0,4.44089209850063e-16,0,4.44089209850063e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,N,0.728079687434887,0,0.728079687434887,0,0,0,0,0,FALSE,FALSE,FALSE
cnae_section,V2,O,0.912701342171671,0,0.912701342171671,0,4.44089209850063e-16,0,4.44089209850063e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,P,0.874488623647596,0,0.874488623647596,0,-6.66133814775094e-16,0,6.66133814775094e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,Q,0.88428898611985,0,0.88428898611985,0,0,0,0,0,FALSE,FALSE,FALSE
cnae_section,V2,R,0.875864371342705,0,0.875864371342705,0,0,0,0,0,FALSE,FALSE,FALSE
cnae_section,V2,S,0.858059905960133,0,0.858059905960133,0,3.33066907387547e-16,0,3.33066907387547e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,T,0.928216859447537,0,0.928216859447537,0,3.33066907387547e-16,0,3.33066907387547e-16,0,FALSE,FALSE,FALSE
cnae_section,V2,U,0.86672022310164,0,0.86672022310164,0,0,0,0,0,FALSE,FALSE,FALSE
policy_block,V1,Agro,0.596837706469003,0,0.596837706469003,0,-3.33066907387547e-16,0,3.33066907387547e-16,0,FALSE,FALSE,FALSE
policy_block,V1,Ind,0.577981431285286,0.256723413991027,0.577981431285286,0.256723413991027,-1.11022302462516e-16,0,1.11022302462516e-16,0,FALSE,FALSE,FALSE
policy_block,V1,Infra,0.700448521915189,0.278467543946425,0.700448521915189,0.278467543946425,-5.55111512312578e-16,-5.55111512312578e-17,5.55111512312578e-16,5.55111512312578e-17,FALSE,FALSE,FALSE
policy_block,V1,Serv,0.618103225164873,0.328684585590032,0.618103225164873,0.328684585590032,-1.11022302462516e-16,-3.33066907387547e-16,1.11022302462516e-16,3.33066907387547e-16,FALSE,FALSE,FALSE
policy_block,V2,Agro,0.600295207252831,0,0.600295207252831,0,-3.33066907387547e-16,0,3.33066907387547e-16,0,FALSE,FALSE,FALSE
policy_block,V2,Ind,0.578798313456663,0.256060995036124,0.578798313456663,0.256060995036124,4.44089209850063e-16,-3.33066907387547e-16,4.44089209850063e-16,3.33066907387547e-16,FALSE,FALSE,FALSE
policy_block,V2,Infra,0.700774584957383,0.277340416746146,0.700774584957383,0.277340416746146,0,3.88578058618805e-16,0,3.88578058618805e-16,FALSE,FALSE,FALSE
policy_block,V2,Serv,0.620443729583473,0.3289749646476,0.620443729583473,0.3289749646476,2.22044604925031e-16,3.33066907387547e-16,2.22044604925031e-16,3.33066907387547e-16,FALSE,FALSE,FALSE
policy_block,V2,XX,0.834284232839981,0,0.834284232839981,0,-1.11022302462516e-16,0,1.11022302462516e-16,0,FALSE,FALSE,FALSE
