cnae_section,n_matched,value_matched,n_unmatched,value_unmatched,share_unmatched,share_value_unmatched
A,27191,650625404192.958,24425,350232899471.759,0.473205982641042,0.349932551080762
B,7782,1864784414461.43,6721,773797077859.847,0.463421361097704,0.293262527654245
C,167417,11430101905883,125960,6859091649226.03,0.429345177024784,0.37503521566209
D,2835,8765575132254.23,4196,13872480141793.3,0.596785663490257,0.612794693442455
E,4971,70781308841.4296,8145,289580154044.41,0.62099725526075,0.803582468906081
F,53407,147578391163.181,48333,179086332759.417,0.475063888342835,0.548226728031554
G,131264,1288867310240.09,154571,315662759523.939,0.540770024664579,0.196732218032138
H,352133,6027515596493.4,433650,6665939704635.12,0.551869918285328,0.525147766821417
I,4012,44316265964.1384,4431,67697524667.703,0.524813454933081,0.60436776834208
J,3812,988521089587.371,2963,3613369213444.07,0.437343173431734,0.785192383022213
K,1137,40317936689.5975,674,41608588593.81,0.372170071783545,0.507876886635602
L,373,135605274966.023,378,347052825262.996,0.503328894806924,0.719044858251258
M,3193,21921820655.9947,4032,16181551439.2689,0.558062283737024,0.424675049725595
N,31930,142032963153.517,26915,92514854074.8099,0.457388053360523,0.39443920292274
O,3,2060534.14949791,19,14371084.928401,0.863636363636364,0.874599445147229
P,2290,243041107119.96,2748,5057057038.36632,0.545454545454545,0.020383290845873
Q,4045,390084397511.675,2660,50215329928.2745,0.396718866517524,0.114048060443379
R,856,200447722379.916,833,57751145500.6562,0.493191237418591,0.223669243690753
S,1538,708648028.49406,1467,2886199146.18482,0.488186356073211,0.802871166962094
