year,n_matched,value_matched,n_unmatched,value_unmatched,share_unmatched,share_value_unmatched
2002,16883,1593586971885.19,11367,1046867863775.38,0.402371681415929,0.396472550727602
2003,20096,458452291565.239,17779,952135731873.783,0.469412541254125,0.674992071428815
2004,17188,1074913949243.07,13712,1186690656326.06,0.443754045307443,0.524711814524905
2005,20659,1146780259051.48,18885,1318977079520.94,0.477569289904916,0.53491763317009
2006,20397,2222400966897.09,20789,1801117602057.29,0.504758898654883,0.44764739398863
2007,31162,2283853895546.59,34211,4744582455179.89,0.52332002508681,0.675055192708614
2008,36845,2278633092146.03,45716,2899026188498.76,0.553723913227795,0.559910575679621
2009,45326,1975870325217.69,64580,5615902084657.47,0.587593034047277,0.739735305730776
2010,86299,2047454465593.87,111273,2125957942485.46,0.563202275626101,0.50940519043117
2011,106394,2841438212044.35,132447,2797214030412.77,0.55454046834505,0.496078479419374
2012,97404,6565234615114.57,112797,2405963822456.97,0.536614954258067,0.268187560357683
2013,96713,2169870073795.67,98167,2106178820774.15,0.503730500821018,0.4925525579113
2014,91642,2915176299236.38,82275,1593832327908.54,0.473070487646406,0.35347732943189
2015,47761,1170763228222.49,39506,1679259550780.41,0.452702625276451,0.589209168134406
2016,30928,858881961043.835,22145,326956174285.762,0.417255478303469,0.275717371996041
2017,34492,849518143516.343,27472,999557048501.154,0.443354205667807,0.540571336858699
