channel,ec_form,with_vol,K_Z,n_params,n_obs,ar_F,ar_p,reject_5pc
M,none,FALSE,3,3,88694,0.61651192916476,0.604217204999404,FALSE
M,none,TRUE,3,4,88694,0.616786059925782,0.604040254545883,FALSE
M,linear,FALSE,3,6,88694,0.476586706353539,0.698574722775439,FALSE
M,linear,TRUE,3,7,88694,0.476595087893786,0.698568854478585,FALSE
M,quad,FALSE,3,9,88694,0.484367375663825,0.693136767563831,FALSE
M,quad,TRUE,3,10,88694,0.484443419715952,0.693083716390196,FALSE
M,bins,FALSE,3,6,88694,0.506318167634247,0.67790369206093,FALSE
M,bins,TRUE,3,7,88694,0.506404221622038,0.67784430069973,FALSE
MP,none,FALSE,3,3,88694,1.86113916090525,0.133742487824565,FALSE
MP,none,TRUE,3,4,88694,1.86114480288162,0.133741509594974,FALSE
MP,linear,FALSE,3,6,88694,1.39363187216866,0.242589636729474,FALSE
MP,linear,TRUE,3,7,88694,1.3937105629637,0.242565830386698,FALSE
MP,quad,FALSE,3,9,88694,1.0259563004224,0.379780228352304,FALSE
MP,quad,TRUE,3,10,88694,1.02605293145178,0.379736687946293,FALSE
MP,bins,FALSE,3,6,88694,1.04451183098339,0.371497266349916,FALSE
MP,bins,TRUE,3,7,88694,1.04450609311498,0.371499803617613,FALSE
MG,none,FALSE,3,3,88694,2.14661983434158,0.0920732341265039,FALSE
MG,none,TRUE,3,4,88694,2.15123277441697,0.0915150359108999,FALSE
MG,linear,FALSE,3,6,88694,3.98601652626178,0.00753100771390819,TRUE
MG,linear,TRUE,3,7,88694,3.99264611106267,0.00746185488849954,TRUE
MG,quad,FALSE,3,9,88694,3.63155224829603,0.0123130383737191,TRUE
MG,quad,TRUE,3,10,88694,3.63950194662632,0.012178462255277,TRUE
MG,bins,FALSE,3,6,88694,3.91008912893818,0.00836958530233487,TRUE
MG,bins,TRUE,3,7,88694,3.91919618491677,0.00826432875941904,TRUE
MGP,none,FALSE,3,3,88694,1.02167979431934,0.381711426781016,FALSE
MGP,none,TRUE,3,4,88694,1.02160699865871,0.381744372504673,FALSE
MGP,linear,FALSE,3,6,88694,1.1264678255202,0.336749723645519,FALSE
MGP,linear,TRUE,3,7,88694,1.12660470291059,0.336694144065004,FALSE
MGP,quad,FALSE,3,9,88694,1.1259155187967,0.336974072058887,FALSE
MGP,quad,TRUE,3,10,88694,1.12625612308949,0.336835702477354,FALSE
MGP,bins,FALSE,3,6,88694,0.785959805349456,0.50152714020383,FALSE
MGP,bins,TRUE,3,7,88694,0.785896824964287,0.501562743931224,FALSE
