spec,channel,event_type,n_rows,n_munis,sum_abs_Z,sum_sq_Z,mean_abs_Z,total_sq_channel,share_sq_Z
BASE,M,gov_pres_transition,64556,5546,575.618901536029,120.363762519504,0.0089165825258075,1150.48266502357,0.104620231298346
BASE,M,mayoral_transition,86828,5568,3953.69326364094,1030.11147446909,0.0455347729262558,1150.48266502357,0.895373312250636
BASE,M,non_event,129120,5547,0.148352299668089,0.00742803497328278,1.14894903708248e-06,1150.48266502357,6.45645101756541e-06
BASE,MG,gov_pres_transition,64556,5546,1463.65469568481,391.134865000368,0.0226726360940084,1033.42206520137,0.378485110944628
BASE,MG,mayoral_transition,86828,5568,2615.74063790809,642.108731817262,0.030125542888332,1033.42206520137,0.621342192545637
BASE,MG,non_event,129120,5547,0.754414497489237,0.178468383743237,5.84273929282247e-06,1033.42206520137,0.00017269650973483
BASE,MGP,gov_pres_transition,64556,5546,615.13037495886,134.428033831876,0.00952863211721388,297.156437536269,0.452381361637061
BASE,MGP,mayoral_transition,86828,5568,780.57011116599,162.728403704393,0.00898984326675715,297.156437536269,0.547618638362939
BASE,MGP,non_event,129120,5547,0,0,0,297.156437536269,0
BASE,MP,gov_pres_transition,64556,5546,759.267758741853,154.856640411918,0.0117613817265917,544.575536471477,0.284362094954349
BASE,MP,mayoral_transition,86828,5568,1821.02272558109,389.718896059559,0.0209727590821059,544.575536471477,0.715637905045651
BASE,MP,non_event,129120,5547,0,0,0,544.575536471477,0
VAR-A,M,gov_pres_transition,64556,5546,154.565214762794,6.96744445669369,0.00239428116306453,76.3756644305529,0.0912259750359235
VAR-A,M,mayoral_transition,86828,5568,993.826030149195,69.4059293468368,0.0114459164111714,76.3756644305529,0.908744033381817
VAR-A,M,non_event,129120,5547,0.07602550222543,0.00229062702239223,5.88797260110208e-07,76.3756644305529,2.99915822594913e-05
VAR-A,MG,gov_pres_transition,64556,5546,382.663606418356,27.379203319046,0.00592762262869998,71.7218543431482,0.381741431113202
VAR-A,MG,mayoral_transition,86828,5568,680.672274611561,44.3341280832161,0.00783931766954855,71.7218543431482,0.618139735639051
VAR-A,MG,non_event,129120,5547,0.205014599210628,0.00852294088602341,1.58778345113559e-06,71.7218543431482,0.000118833247746858
VAR-A,MGP,gov_pres_transition,64556,5546,163.8460903067,8.77207286878324,0.00253804588739544,21.3385091970472,0.411091177353528
VAR-A,MGP,mayoral_transition,86828,5568,214.578050756699,12.566436328264,0.00247130016534643,21.3385091970472,0.588908822646472
VAR-A,MGP,non_event,129120,5547,0,0,0,21.3385091970472,0
VAR-A,MP,gov_pres_transition,64556,5546,217.703294204396,12.044331478495,0.00337231696828175,39.6671451964323,0.303634945717705
VAR-A,MP,mayoral_transition,86828,5568,479.570393929111,27.6228137179373,0.00552322285356234,39.6671451964323,0.696365054282295
VAR-A,MP,non_event,129120,5547,0,0,0,39.6671451964323,0
VAR-B,M,gov_pres_transition,66748,5566,483.28892194587,142.522056520336,0.00724050041867726,1081.53132425145,0.131778020039297
VAR-B,M,mayoral_transition,89012,5571,2600.4407148182,939.009187081492,0.0292144959647935,1081.53132425145,0.868221905390855
VAR-B,M,non_event,133480,5566,0.0145200422196517,8.06496267431803e-05,1.08780657923672e-07,1081.53132425145,7.4569848264912e-08
VAR-B,MG,gov_pres_transition,66748,5566,1002.61334452408,412.250743321461,0.0150208747007263,940.998726206971,0.438099151295543
VAR-B,MG,mayoral_transition,89012,5571,1702.67932504637,528.738251150104,0.0191286492275915,940.998726206971,0.561890506782481
VAR-B,MG,non_event,133480,5566,0.152537803928013,0.00973173540593806,1.14277647533723e-06,940.998726206971,1.03419219759896e-05
VAR-B,MGP,gov_pres_transition,66748,5566,391.308453779959,119.835004215081,0.00586247458770238,192.55628081377,0.622337550915718
VAR-B,MGP,mayoral_transition,89012,5571,369.341121855994,72.7212765986893,0.00414934078389424,192.55628081377,0.377662449084283
VAR-B,MGP,non_event,133480,5566,0,0,0,192.55628081377,0
VAR-B,MP,gov_pres_transition,66748,5566,640.429283509392,253.421889890552,0.00959473367755426,509.67464034415,0.497222874811729
VAR-B,MP,mayoral_transition,89012,5571,983.885545697236,256.252750453598,0.0110534034253498,509.67464034415,0.502777125188271
VAR-B,MP,non_event,133480,5566,0,0,0,509.67464034415,0
