spec,channel,shift,n_rows,n_munis,mean_Z,sd_Z,nonzero_share
BASE,M,DIF,280656,5570,0.000159232411927147,0.0640254006232454,0.203712017558862
BASE,MG,DIF,280656,5570,-0.000819779680378089,0.0606754264852805,0.204969785074967
BASE,MGP,DIF,280656,5570,0.000274048052669606,0.0325379941277322,0.0944750869391711
BASE,MP,DIF,280656,5570,0.00101829622624456,0.0440378997143222,0.162790034775668
BASE,M,LEV,280656,5570,0.0724724518482492,0.121448402677689,0.598825608574198
BASE,MG,LEV,280656,5570,0.0339848825645381,0.0858583123226928,0.400283621230261
BASE,MGP,LEV,280656,5570,0.00796454143497896,0.0404241521050949,0.140909155692378
BASE,MP,LEV,280656,5570,0.0200013347282121,0.061676948403286,0.310800410466906
VAR-A,M,DIF,280656,5570,5.62054335371027e-05,0.0164963775638737,0.203712017558862
VAR-A,MG,DIF,280656,5570,-0.000243153828834085,0.01598413424079,0.204969785074967
VAR-A,MGP,DIF,280656,5570,7.50794310401737e-05,0.00871925834024975,0.0944750869391711
VAR-A,MP,DIF,280656,5570,0.00029774430748237,0.0118848262226316,0.162790034775668
VAR-A,M,LEV,280656,5570,0.0201559668525066,0.0376806968420728,0.598825608574198
VAR-A,MG,LEV,280656,5570,0.00945729800480416,0.0255869025788488,0.400283621230261
VAR-A,MGP,LEV,280656,5570,0.00224810263377024,0.0115537661822095,0.140909155692378
VAR-A,MP,LEV,280656,5570,0.00561633819815075,0.0175264766667852,0.310800410466906
