spec,channel,shift,n,mean,p50,p75,p95,p99
BASE,M,DIF,70126,0.0164059359584686,0,0.00127551020408163,0.0625201944196724,0.296137505702616
BASE,MG,DIF,70126,0.0147366463965059,0,0.00120952028476165,0.0533308279915473,0.27009847117114
BASE,MGP,DIF,70126,0.00423746452865227,0,0,0.00976143035312812,0.064812666772342
BASE,MP,DIF,70126,0.00776567231086155,0,0.0001514463137936,0.0294770512011968,0.132460466624691
BASE,M,LEV,70126,0.080051027640021,0.0211891046178118,0.0664219716600161,0.321169066893884,1.04387413925527
BASE,MG,LEV,70126,0.0341248647149194,0.00182222954419172,0.0177777777777778,0.135770771201276,1
BASE,MGP,LEV,70126,0.00679384014904145,0,3.34124093688396e-05,0.0245890193907682,0.111111111111111
BASE,MP,LEV,70126,0.0168254556740941,0.000115620302925194,0.00563537751550381,0.0622248771149241,0.272009956986231
VAR-A,M,DIF,70126,0.00108912050353012,0,0.000126580602938735,0.00476555205313321,0.0186727951738006
VAR-A,MG,DIF,70126,0.00102275695666583,0,0.000123531194281432,0.00401804980972207,0.017434748998248
VAR-A,MGP,DIF,70126,0.000304288127043425,0,0,0.00078609485544589,0.0060883599308068
VAR-A,MP,DIF,70126,0.000565655323224372,0,1.85749168118632e-05,0.00206611570247934,0.0114795918367347
VAR-A,M,LEV,70126,0.00730832952671809,0.00220663265306122,0.00669193817853299,0.0262880525761052,0.0679059481750175
VAR-A,MG,LEV,70126,0.00297812386265428,0.000222766763198931,0.00171714623162114,0.0109768477378675,0.0355521797839506
VAR-A,MGP,LEV,70126,0.000554472306947272,0,5.34352450326596e-06,0.00188328411697063,0.0107015457788347
VAR-A,MP,LEV,70126,0.00135561236220423,1.70133572377645e-05,0.000540832882639264,0.00611531869266806,0.0216010705287054
VAR-B,M,DIF,72310,0.0149568707544109,0,0.00023995106866231,0.029421704573871,0.206783565466487
VAR-B,MG,DIF,72310,0.0130133968497714,0,0.000239890149105308,0.0211094566718463,0.15808300927004
VAR-B,MGP,DIF,72310,0.00266292740718808,0,0,0.0020874846659986,0.0243418831748908
VAR-B,MP,DIF,72310,0.007048466883476,0,2.02515715191771e-05,0.00815338245006857,0.080296512348352
VAR-B,M,LEV,72310,0.0834087677764737,0.00623971128892733,0.0344387353609929,0.267685366931162,1.23316807447315
VAR-B,MG,LEV,72310,0.0323553082594156,0.000287951224262068,0.00608102660859299,0.0803790360423685,0.399947125220091
VAR-B,MGP,LEV,72310,0.00412906244145756,0,3.41481720686694e-06,0.00526940147019855,0.0396662921484822
VAR-B,MP,LEV,72310,0.0136103842807034,8.22469551083857e-06,0.00127378423915811,0.029182861073551,0.197498663223093
