spec_id,weight_id,tier_spec,K,controls,variable,estimate,std_error,t_stat,p_value,estimated,ci_low,ci_high,tier,sector,n_obs,n_clusters
emp_muni__mayor__none,emp_muni,mayor,4,none,ar_Z_empmuni_mayor_coalition_cycle_specific_Agro,0.0117777993980113,1.18111588191908,0.00997175601336818,0.992044178867385,TRUE,-2.30320932916339,2.32676492795941,mayor,Agro,89009,5570
emp_muni__mayor__none,emp_muni,mayor,4,none,ar_Z_empmuni_mayor_coalition_cycle_specific_Ind,2.43593070522778,0.422673236265336,5.76315341551128,8.69861428708977e-09,TRUE,1.60749116214772,3.26437024830783,mayor,Ind,89009,5570
emp_muni__mayor__none,emp_muni,mayor,4,none,ar_Z_empmuni_mayor_coalition_cycle_specific_Infra,2.99114620976306,0.91918911706845,3.25411403836314,0.00114425695678493,TRUE,1.1895355403089,4.79275687921722,mayor,Infra,89009,5570
emp_muni__mayor__none,emp_muni,mayor,4,none,ar_Z_empmuni_mayor_coalition_cycle_specific_Serv,12.4605907299051,1.42845519352834,8.7231232637595,3.52512345021726e-18,TRUE,9.66081855058957,15.2603629092206,mayor,Serv,89009,5570
emp_muni__mayor__C1_FE,emp_muni,mayor,4,C1_FE,ar_Z_empmuni_mayor_coalition_cycle_specific_Agro,0.0227034436472822,0.165233366488163,0.137402294281213,0.890717784857277,TRUE,-0.301153954669518,0.346560841964082,mayor,Agro,89009,5570
emp_muni__mayor__C1_FE,emp_muni,mayor,4,C1_FE,ar_Z_empmuni_mayor_coalition_cycle_specific_Ind,-0.0483049115014614,0.0580051450166056,-0.832769429119309,0.405010490416208,TRUE,-0.161994995734008,0.0653851727310857,mayor,Ind,89009,5570
emp_muni__mayor__C1_FE,emp_muni,mayor,4,C1_FE,ar_Z_empmuni_mayor_coalition_cycle_specific_Infra,-0.369845967084729,0.121631007543917,-3.04072106737412,0.00237109950834827,TRUE,-0.608242741870807,-0.131449192298652,mayor,Infra,89009,5570
emp_muni__mayor__C1_FE,emp_muni,mayor,4,C1_FE,ar_Z_empmuni_mayor_coalition_cycle_specific_Serv,0.106074553835283,0.0907361317990414,1.16904425758652,0.242435836488966,TRUE,-0.0717682644908379,0.283917372161404,mayor,Serv,89009,5570
emp_muni__mayor__C2_FE_R0a,emp_muni,mayor,4,C2_FE_R0a,ar_Z_empmuni_mayor_coalition_cycle_specific_Agro,0.0676295476122252,0.163340715049334,0.414039742582239,0.678860946368397,TRUE,-0.25251825388447,0.38777734910892,mayor,Agro,89009,5570
emp_muni__mayor__C2_FE_R0a,emp_muni,mayor,4,C2_FE_R0a,ar_Z_empmuni_mayor_coalition_cycle_specific_Ind,-0.0316194867255444,0.0577420103433789,-0.547599339501871,0.58398898809646,TRUE,-0.144793826998567,0.0815548535474781,mayor,Ind,89009,5570
emp_muni__mayor__C2_FE_R0a,emp_muni,mayor,4,C2_FE_R0a,ar_Z_empmuni_mayor_coalition_cycle_specific_Infra,-0.326499993009575,0.118683259613524,-2.75101976532138,0.0059602107909701,TRUE,-0.559119181852083,-0.0938808041670671,mayor,Infra,89009,5570
emp_muni__mayor__C2_FE_R0a,emp_muni,mayor,4,C2_FE_R0a,ar_Z_empmuni_mayor_coalition_cycle_specific_Serv,0.116502838856077,0.0901450505783051,1.29239307215071,0.196274675925704,TRUE,-0.060181460277401,0.293187137989555,mayor,Serv,89009,5570
emp_muni__mayor__C3_FE_R0b,emp_muni,mayor,4,C3_FE_R0b,ar_Z_empmuni_mayor_coalition_cycle_specific_Agro,0.029050280607713,0.165730646956161,0.175286111176512,0.860861197015165,TRUE,-0.295781787426363,0.353882348641789,mayor,Agro,89009,5570
emp_muni__mayor__C3_FE_R0b,emp_muni,mayor,4,C3_FE_R0b,ar_Z_empmuni_mayor_coalition_cycle_specific_Ind,-0.0280016303727445,0.0578041053161824,-0.484422866154203,0.628104844224325,TRUE,-0.141297676792462,0.085294416046973,mayor,Ind,89009,5570
emp_muni__mayor__C3_FE_R0b,emp_muni,mayor,4,C3_FE_R0b,ar_Z_empmuni_mayor_coalition_cycle_specific_Infra,-0.320852870292268,0.119549982906395,-2.68383869651817,0.00729974936390294,TRUE,-0.555170836788802,-0.086534903795734,mayor,Infra,89009,5570
emp_muni__mayor__C3_FE_R0b,emp_muni,mayor,4,C3_FE_R0b,ar_Z_empmuni_mayor_coalition_cycle_specific_Serv,0.116344732077961,0.0904431710707856,1.28638492769015,0.198362230928463,TRUE,-0.0609238832207791,0.2936133473767,mayor,Serv,89009,5570
emp_muni__gov__none,emp_muni,gov,4,none,ar_Z_empmuni_gov_coalition_cycle_specific_Agro,-0.641268923664661,0.80238206530162,-0.799206452132757,0.424204795620442,TRUE,-2.21393777165584,0.931399924326513,gov,Agro,89009,5570
emp_muni__gov__none,emp_muni,gov,4,none,ar_Z_empmuni_gov_coalition_cycle_specific_Ind,2.39760695256373,0.427934122782952,5.60274777101566,2.21098496563102e-08,TRUE,1.55885607190914,3.23635783321831,gov,Ind,89009,5570
emp_muni__gov__none,emp_muni,gov,4,none,ar_Z_empmuni_gov_coalition_cycle_specific_Infra,8.03580137899317,1.26233612562782,6.36581748383111,2.09790402153149e-10,TRUE,5.56162257276265,10.5099801852237,gov,Infra,89009,5570
emp_muni__gov__none,emp_muni,gov,4,none,ar_Z_empmuni_gov_coalition_cycle_specific_Serv,13.8467406757547,1.75719703364955,7.88001596326179,3.90846634404641e-15,TRUE,10.4026344898016,17.2908468617079,gov,Serv,89009,5570
emp_muni__gov__C1_FE,emp_muni,gov,4,C1_FE,ar_Z_empmuni_gov_coalition_cycle_specific_Agro,0.0428999960447156,0.172312736900161,0.248965902442674,0.803396338000272,TRUE,-0.2948329682796,0.380632960369031,gov,Agro,89009,5570
emp_muni__gov__C1_FE,emp_muni,gov,4,C1_FE,ar_Z_empmuni_gov_coalition_cycle_specific_Ind,0.0661551402737907,0.0678230563913884,0.975407830222622,0.329400367604664,TRUE,-0.0667780502533305,0.199088330800912,gov,Ind,89009,5570
emp_muni__gov__C1_FE,emp_muni,gov,4,C1_FE,ar_Z_empmuni_gov_coalition_cycle_specific_Infra,0.363813187481699,0.132485504227813,2.74606033016345,0.00605093853808233,TRUE,0.104141599195186,0.623484775768212,gov,Infra,89009,5570
emp_muni__gov__C1_FE,emp_muni,gov,4,C1_FE,ar_Z_empmuni_gov_coalition_cycle_specific_Serv,0.194146105839488,0.132428252327967,1.46604748176147,0.142691810894008,TRUE,-0.065413268723327,0.453705480402302,gov,Serv,89009,5570
emp_muni__gov__C2_FE_R0a,emp_muni,gov,4,C2_FE_R0a,ar_Z_empmuni_gov_coalition_cycle_specific_Agro,0.0913536244601468,0.173471205026176,0.526621259397846,0.598477599157629,TRUE,-0.248649937391158,0.431357186311452,gov,Agro,89009,5570
emp_muni__gov__C2_FE_R0a,emp_muni,gov,4,C2_FE_R0a,ar_Z_empmuni_gov_coalition_cycle_specific_Ind,0.0923943011729684,0.0683292111239137,1.35219329556452,0.176368395056153,TRUE,-0.0415309526299024,0.226319554975839,gov,Ind,89009,5570
emp_muni__gov__C2_FE_R0a,emp_muni,gov,4,C2_FE_R0a,ar_Z_empmuni_gov_coalition_cycle_specific_Infra,0.409586082841698,0.134474628321161,3.04582424175583,0.00233129214085477,TRUE,0.146015811332222,0.673156354351174,gov,Infra,89009,5570
emp_muni__gov__C2_FE_R0a,emp_muni,gov,4,C2_FE_R0a,ar_Z_empmuni_gov_coalition_cycle_specific_Serv,0.216970624970837,0.131995334411043,1.64377495567513,0.100279143610575,TRUE,-0.041740230474808,0.475681480416482,gov,Serv,89009,5570
emp_muni__gov__C3_FE_R0b,emp_muni,gov,4,C3_FE_R0b,ar_Z_empmuni_gov_coalition_cycle_specific_Agro,0.0626658620437741,0.173656014236695,0.360862031293428,0.718216275729685,TRUE,-0.277699925860147,0.403031649947696,gov,Agro,89009,5570
emp_muni__gov__C3_FE_R0b,emp_muni,gov,4,C3_FE_R0b,ar_Z_empmuni_gov_coalition_cycle_specific_Ind,0.0953973046300311,0.0685721947532368,1.39119514802358,0.164221832053119,TRUE,-0.039004197086313,0.229798806346375,gov,Ind,89009,5570
emp_muni__gov__C3_FE_R0b,emp_muni,gov,4,C3_FE_R0b,ar_Z_empmuni_gov_coalition_cycle_specific_Infra,0.373343659248537,0.133828948320769,2.78970778694072,0.00529349761967996,TRUE,0.111038920539829,0.635648397957244,gov,Infra,89009,5570
emp_muni__gov__C3_FE_R0b,emp_muni,gov,4,C3_FE_R0b,ar_Z_empmuni_gov_coalition_cycle_specific_Serv,0.226236224449151,0.132052480724869,1.71322964330002,0.0867259568608769,TRUE,-0.0325866377715927,0.485059086669894,gov,Serv,89009,5570
emp_muni__mayor_gov__none,emp_muni,mayor_gov,8,none,ar_Z_empmuni_mayor_coalition_cycle_specific_Agro,0.0848148507164872,1.07779126496977,0.0786932066283408,0.937279476315836,TRUE,-2.02765602862427,2.19728573005724,mayor,Agro,89009,5570
emp_muni__mayor_gov__none,emp_muni,mayor_gov,8,none,ar_Z_empmuni_mayor_coalition_cycle_specific_Ind,1.79898202792354,0.397765920267795,4.52271533647824,6.23181596733583e-06,TRUE,1.01936082419866,2.57860323164842,mayor,Ind,89009,5570
emp_muni__mayor_gov__none,emp_muni,mayor_gov,8,none,ar_Z_empmuni_mayor_coalition_cycle_specific_Infra,1.72984204078466,0.886105567190242,1.95218504976763,0.0509662806870678,TRUE,-0.00692487090821459,3.46660895247754,mayor,Infra,89009,5570
emp_muni__mayor_gov__none,emp_muni,mayor_gov,8,none,ar_Z_empmuni_mayor_coalition_cycle_specific_Serv,7.23576848058565,1.09690974117516,6.59650307493279,4.59882945638816e-11,TRUE,5.08582538788234,9.38571157328895,mayor,Serv,89009,5570
emp_muni__mayor_gov__none,emp_muni,mayor_gov,8,none,ar_Z_empmuni_gov_coalition_cycle_specific_Agro,-0.474824481344705,0.743914158727264,-0.638278591386222,0.523318590763043,TRUE,-1.93289623245014,0.983247269760733,gov,Agro,89009,5570
emp_muni__mayor_gov__none,emp_muni,mayor_gov,8,none,ar_Z_empmuni_gov_coalition_cycle_specific_Ind,1.4970020732377,0.399740158577285,3.74493790807928,0.000182259898783398,TRUE,0.713511362426218,2.28049278404917,gov,Ind,89009,5570
emp_muni__mayor_gov__none,emp_muni,mayor_gov,8,none,ar_Z_empmuni_gov_coalition_cycle_specific_Infra,6.91289827406595,1.21487340301893,5.69022110195809,1.33345865060655e-08,TRUE,4.53174640414885,9.29405014398306,gov,Infra,89009,5570
emp_muni__mayor_gov__none,emp_muni,mayor_gov,8,none,ar_Z_empmuni_gov_coalition_cycle_specific_Serv,10.6216829440439,1.68223936010934,6.31401404337221,2.92930065081058e-10,TRUE,7.32449379822956,13.9188720898582,gov,Serv,89009,5570
emp_muni__mayor_gov__C1_FE,emp_muni,mayor_gov,8,C1_FE,ar_Z_empmuni_mayor_coalition_cycle_specific_Agro,0.00541407367333298,0.173052383418284,0.0312857503975929,0.975042775501327,TRUE,-0.333768597826504,0.34459674517317,mayor,Agro,89009,5570
emp_muni__mayor_gov__C1_FE,emp_muni,mayor_gov,8,C1_FE,ar_Z_empmuni_mayor_coalition_cycle_specific_Ind,-0.0612691196051936,0.0551938645913597,-1.11007120191372,0.267016274371116,TRUE,-0.169449094204258,0.0469108549938714,mayor,Ind,89009,5570
emp_muni__mayor_gov__C1_FE,emp_muni,mayor_gov,8,C1_FE,ar_Z_empmuni_mayor_coalition_cycle_specific_Infra,-0.43419428810111,0.118499269658757,-3.66410940212089,0.000250508440421699,TRUE,-0.666452856632273,-0.201935719569946,mayor,Infra,89009,5570
emp_muni__mayor_gov__C1_FE,emp_muni,mayor_gov,8,C1_FE,ar_Z_empmuni_mayor_coalition_cycle_specific_Serv,0.0627123772818222,0.0925199081457629,0.677825762462068,0.497910334049799,TRUE,-0.118626642683873,0.244051397247518,mayor,Serv,89009,5570
