cnpj,value_dis_fi,n_loans_fi,value_dis_routed,n_loans_routed,both
00000000000191,,,128650471179,24267,FALSE
00000208000100,,,15335862,13,FALSE
00162760000103,,,73535832,413,FALSE
00360305000104,,,14104510096,3892,FALSE
00458314000132,10000,1,,,FALSE
00461479000163,372660,2,,,FALSE
00517645000104,,,32193118,32,FALSE
01023570000160,,,20369016,31,FALSE
01181521000155,13430000,1,130559854,1685,TRUE
01387625000110,200000,1,,,FALSE
01401771000153,,,106055609,344,FALSE
01701201000189,,,3782148853,2169,FALSE
01759491000111,3548205,1,,,FALSE
01858774000110,,,9611089,25,FALSE
01956397000152,519019,1,,,FALSE
02038232000164,,,53181916,1246,FALSE
02145793000162,781999999,1,,,FALSE
02448480000183,89999998,1,,,FALSE
02506556000180,149999999,1,,,FALSE
02658435000153,,,955306330,3063,FALSE
02855814000133,10000,1,,,FALSE
02885855000172,,,3098238965,433,FALSE
02992446000175,,,181770213,707,FALSE
03183937000138,,,20498098,9,FALSE
03345595000105,165749998,1,,,FALSE
03415879000120,299999999,1,,,FALSE
03441899000176,389999999,1,,,FALSE
03584906000199,,,575500,4,FALSE
03666116000152,1020000,1,,,FALSE
03941182000193,339999999,1,,,FALSE
04288192000134,10000,1,,,FALSE
04400464000146,349999997,1,,,FALSE
04808833000134,9881497,1,,,FALSE
04902979000144,,,5583469,4,FALSE
05040481000182,,,381346235,960,FALSE
05147450000125,10000,1,,,FALSE
05163980000167,10000,1,,,FALSE
05193675000118,10000,1,,,FALSE
05213227000139,99999998,1,,,FALSE
05474540000120,,,938500,5,FALSE
05868278000107,891816,4,,,FALSE
05940203000181,,,15936441,13,FALSE
05980378000112,180000,1,,,FALSE
06320730000156,10000,1,,,FALSE
07202627000174,705499999,1,107612365,928,TRUE
07237373000120,,,24187291369,747,FALSE
07441209000130,,,214132546,552,FALSE
07945233000106,59999999,1,,,FALSE
08024847000118,4761564,2,,,FALSE
10438200000184,10000,1,,,FALSE
10663610000129,,,44983675,135,FALSE
10884217000165,10000,1,,,FALSE
11417016000110,,,192497616,395,FALSE
11476673000139,,,2849222,4,FALSE
13009717000146,,,15075984,21,FALSE
15163587000127,,,4930781,13,FALSE
17167412000113,,,58283712,217,FALSE
17351180000159,,,38220562,43,FALSE
28127603000178,,,38228279,76,FALSE
28145829000100,,,21543225,305,FALSE
28195667000106,,,1289524552,800,FALSE
30306294000145,,,98822000,14,FALSE
31546476000156,,,3253200,13,FALSE
31880826000116,,,173472188,477,FALSE
31895683000116,,,42690999,59,FALSE
33479023000180,,,232456579,282,FALSE
33603457000140,,,179387100,1250,FALSE
34265561000134,,,14548808,31,FALSE
37832482000156,10000,1,,,FALSE
38486817000194,,,6230911788,299,FALSE
40429946000192,,,245346,2,FALSE
41055765000106,299999996,1,,,FALSE
45171402000197,97754,2,,,FALSE
47509120000182,,,138580981,499,FALSE
49925225000148,,,71174227,253,FALSE
50480953000172,1567176,1,,,FALSE
58017179000170,,,1226610019,4523,FALSE
58158387000199,,,678500,3,FALSE
58160789000128,,,7291990727,10542,FALSE
58616418000108,,,336852338,181,FALSE
59109165000149,,,4067257362,29420,FALSE
59588111000103,,,7581489581,2977,FALSE
60701190000104,,,80682013082,38377,FALSE
60746948000112,,,42035579652,37518,FALSE
60770336000165,,,8171707665,218,FALSE
60814191000157,,,2930362935,12269,FALSE
60889128000180,,,13056357,19,FALSE
61024352000171,,,80346532,86,FALSE
61033106000186,,,5477873,4,FALSE
61186680000174,99999998,1,43123358,141,TRUE
62063177000194,,,179342608,664,FALSE
62144175000120,,,603729108,99,FALSE
62232889000190,,,178028846,251,FALSE
62237425000176,,,583531715,2848,FALSE
63554067000198,639200,3,,,FALSE
65654303000173,,,27080045,31,FALSE
66402207000109,249999997,1,,,FALSE
68900810000138,,,47730674,42,FALSE
80878317000164,10000,1,,,FALSE
82639451000138,1499999998,1,,,FALSE
82937293000100,,,11514646,14,FALSE
87701249000102,409855,1,,,FALSE
88258884000120,243700,7,,,FALSE
90400888000142,,,20709970194,7814,FALSE
91884981000132,,,47726103,147,FALSE
92702067000196,,,171555171,448,FALSE
92816560000137,,,1341350175,1770,FALSE
