uf,muni_key,year,value_dis_main,n_loans_main,value_dis_pa,n_loans_pa,in_main,in_pa
-,-,2007,,,8030064,1,FALSE,TRUE
-,-,2013,,,38149718,1,FALSE,TRUE
-,-,2015,,,47958728,1,FALSE,TRUE
AC,-,2002,,,41832536,5,FALSE,TRUE
AC,-,2005,,,138815959,8,FALSE,TRUE
AC,-,2008,,,515187829,9,FALSE,TRUE
AC,-,2009,,,478976500,9,FALSE,TRUE
AC,-,2010,,,53155805,1,FALSE,TRUE
AC,-,2011,,,622616958,2,FALSE,TRUE
AC,-,2012,,,396483593,2,FALSE,TRUE
AC,-,2013,,,16838000,1,FALSE,TRUE
AC,-,2014,,,208315337,1,FALSE,TRUE
AC,CRUZEIRO DO SUL,2007,4380607,1,438061,1,TRUE,TRUE
AC,CRUZEIRO DO SUL,2008,1679999998,1,,,TRUE,FALSE
AC,CRUZEIRO DO SUL,2011,2365800,1,2365800,1,TRUE,TRUE
AC,FEIJO,2008,204073397,1,,,TRUE,FALSE
AC,RIO BRANCO,2002,3364131693,5,,,TRUE,FALSE
AC,RIO BRANCO,2004,451501125,1,4515011,1,TRUE,TRUE
AC,RIO BRANCO,2005,10247439818,6,,,TRUE,FALSE
AC,RIO BRANCO,2007,3214178178,7,35028557,6,TRUE,TRUE
AC,RIO BRANCO,2009,20525999996,1,,,TRUE,FALSE
AC,RIO BRANCO,2011,999999996,1,10000000,1,TRUE,TRUE
AC,RIO BRANCO,2014,1093715997,2,14022000,2,TRUE,TRUE
AC,SEM MUNICIPIO,2007,194065,1,,,TRUE,FALSE
AC,SEM MUNICIPIO,2008,40853743496,6,,,TRUE,FALSE
AC,SEM MUNICIPIO,2009,15833325991,8,,,TRUE,FALSE
AC,SEM MUNICIPIO,2010,5315580474,1,,,TRUE,FALSE
AC,SEM MUNICIPIO,2011,62261695835,2,,,TRUE,FALSE
AC,SEM MUNICIPIO,2012,39648359226,2,,,TRUE,FALSE
AC,SEM MUNICIPIO,2013,16838000,1,,,TRUE,FALSE
AC,SEM MUNICIPIO,2014,20831533658,1,,,TRUE,FALSE
AC,TARAUACA,2008,14600000,1,,,TRUE,FALSE
AC,XAPURI,2005,2571281033,2,,,TRUE,FALSE
AL,-,2009,,,249606000,1,FALSE,TRUE
AL,-,2010,,,1791198,1,FALSE,TRUE
AL,-,2012,,,12453602,1,FALSE,TRUE
AL,-,2013,,,89837210,1,FALSE,TRUE
AL,COQUEIRO SECO,2010,495576,1,495576,1,TRUE,TRUE
AL,MACEIO,2009,24963599997,2,3000000,1,TRUE,TRUE
AL,SEM MUNICIPIO,2010,179119843,1,,,TRUE,FALSE
AL,SEM MUNICIPIO,2011,199999996,1,,,TRUE,FALSE
AL,SEM MUNICIPIO,2012,1245360171,1,,,TRUE,FALSE
AL,SEM MUNICIPIO,2013,8983721005,1,,,TRUE,FALSE
AM,-,2008,,,400912120,1,FALSE,TRUE
AM,-,2009,,,279040000,2,FALSE,TRUE
AM,-,2010,,,605301286,4,FALSE,TRUE
AM,-,2012,,,151073441,3,FALSE,TRUE
AM,-,2013,,,5900448,4,FALSE,TRUE
AM,-,2014,,,10130656,1,FALSE,TRUE
AM,MANAUS,2005,79999999999,1,,,TRUE,FALSE
AM,MANAUS,2007,1868090,1,1868090,1,TRUE,TRUE
AM,MANAUS,2008,3250863,1,3250863,1,TRUE,TRUE
AM,MANAUS,2009,19742399996,2,30000000,1,TRUE,TRUE
AM,MANAUS,2010,58772599996,3,,,TRUE,FALSE
AM,MANAUS,2013,2079036449,2,,,TRUE,FALSE
AM,MANAUS,2015,4633892941,2,65527604,2,TRUE,TRUE
AM,SAO GABRIEL DA CACHOEIRA,2004,,,240000,3,FALSE,TRUE
AM,SEM MUNICIPIO,2008,40091212031,1,,,TRUE,FALSE
AM,SEM MUNICIPIO,2009,11161599999,1,,,TRUE,FALSE
AM,SEM MUNICIPIO,2010,70927728613,2,,,TRUE,FALSE
AM,SEM MUNICIPIO,2012,15107344116,3,,,TRUE,FALSE
AM,SEM MUNICIPIO,2013,21159122,4,,,TRUE,FALSE
AM,SEM MUNICIPIO,2014,10130656,1,,,TRUE,FALSE
AP,-,2009,,,136480000,1,FALSE,TRUE
AP,-,2010,,,204720000,1,FALSE,TRUE
AP,-,2013,,,1159429686,4,FALSE,TRUE
AP,MACAPA,2004,156565645,1,1565656,1,TRUE,TRUE
AP,MACAPA,2010,20471999998,1,,,TRUE,FALSE
AP,SEM MUNICIPIO,2009,13647999999,1,,,TRUE,FALSE
AP,SEM MUNICIPIO,2013,97642336889,4,,,TRUE,FALSE
BA,-,2002,,,60764468,1,FALSE,TRUE
BA,-,2004,,,4062106,1,FALSE,TRUE
BA,-,2009,,,192569000,1,FALSE,TRUE
BA,-,2010,,,1091585400,5,FALSE,TRUE
BA,-,2013,,,1493038253,1,FALSE,TRUE
BA,ALAGOINHAS,2006,55611749,1,556117,1,TRUE,TRUE
BA,ALAGOINHAS,2007,1769100,1,1769100,1,TRUE,TRUE
BA,ARACATU,2007,271527,1,271527,1,TRUE,TRUE
BA,BARRA DA ESTIVA,2010,700000,1,700000,1,TRUE,TRUE
BA,BOA VISTA DO TUPIM,2008,426200,1,426200,1,TRUE,TRUE
BA,BOM JESUS DA LAPA,2010,2190890,1,2190890,1,TRUE,TRUE
BA,CACULE,2007,206750,2,206750,2,TRUE,TRUE
BA,CACULE,2008,320000,1,320000,1,TRUE,TRUE
BA,CAETITE,2005,1474979,1,,,TRUE,FALSE
BA,CAETITE,2007,776250,1,776250,1,TRUE,TRUE
BA,CAMACARI,2016,13957567,2,15438857,2,TRUE,TRUE
BA,CANDIDO SALES,2007,787750,1,787750,1,TRUE,TRUE
BA,CASTRO ALVES,2005,35924999,1,359250,1,TRUE,TRUE
BA,CATU,2006,122361038358,2,,,TRUE,FALSE
BA,EUNAPOLIS,2015,3550257,1,3550257,1,TRUE,TRUE
BA,GUANAMBI,2004,330000,1,330000,1,TRUE,TRUE
BA,ILHEUS,2004,145005797,1,1450058,1,TRUE,TRUE
BA,ITUACU,2008,345400,1,345400,1,TRUE,TRUE
BA,JACARACI,2010,660000,1,660000,1,TRUE,TRUE
BA,LAURO DE FREITAS,2003,51210,1,,,TRUE,FALSE
BA,LAURO DE FREITAS,2004,200518899,1,2005189,1,TRUE,TRUE
BA,LUIS EDUARDO MAGALHAES,2010,904998,1,904998,1,TRUE,TRUE
BA,LUIS EDUARDO MAGALHAES,2013,1324644,1,1324644,1,TRUE,TRUE
BA,MACARANI,2010,1227000,1,1227000,1,TRUE,TRUE
BA,MANSIDAO,2008,712900,1,712900,1,TRUE,TRUE
BA,MATA DE SAO JOAO,2007,820000,1,820000,1,TRUE,TRUE
BA,MATA DE SAO JOAO,2011,848000,1,848000,1,TRUE,TRUE
BA,NOVA VICOSA,2007,659947,1,659947,1,TRUE,TRUE
BA,PALMAS DE MONTE ALTO,2007,197994,1,197994,1,TRUE,TRUE
BA,PALMAS DE MONTE ALTO,2008,413450,1,413450,1,TRUE,TRUE
BA,PARAMIRIM,2007,396000,1,396000,1,TRUE,TRUE
BA,POCOES,2007,299399,2,299399,2,TRUE,TRUE
BA,PRESIDENTE JANIO QUADROS,2014,327756,1,327756,1,TRUE,TRUE
BA,RIACHAO DAS NEVES,2011,800000,1,800000,1,TRUE,TRUE
BA,RIACHAO DO JACUIPE,2007,494250,1,494250,1,TRUE,TRUE
BA,SALVADOR,2002,6076479843,2,,,TRUE,FALSE
BA,SALVADOR,2005,459247,2,,,TRUE,FALSE
BA,SALVADOR,2007,11362914,2,,,TRUE,FALSE
BA,SALVADOR,2010,33917211990,3,,,TRUE,FALSE
BA,SALVADOR,2011,1449999998,1,,,TRUE,FALSE
BA,SALVADOR,2012,500000000,1,,,TRUE,FALSE
BA,SALVADOR,2013,10589957,3,,,TRUE,FALSE
BA,SALVADOR,2014,1999999998,1,,,TRUE,FALSE
BA,SALVADOR,2015,3813222480,2,50880573,2,TRUE,TRUE
BA,SANTANA,2010,996264,1,996264,1,TRUE,TRUE
BA,SANTO ESTEVAO,2007,329970,1,329970,1,TRUE,TRUE
BA,SEM MUNICIPIO,2002,354429870,1,,,TRUE,FALSE
BA,SEM MUNICIPIO,2003,19006464674,1,,,TRUE,FALSE
BA,SEM MUNICIPIO,2004,406210612,1,,,TRUE,FALSE
BA,SEM MUNICIPIO,2007,120484515,1,,,TRUE,FALSE
BA,SEM MUNICIPIO,2009,35485665740,6,,,TRUE,FALSE
BA,SEM MUNICIPIO,2010,1283278999,2,,,TRUE,FALSE
BA,SEM MUNICIPIO,2012,61990932071,6,,,TRUE,FALSE
BA,SEM MUNICIPIO,2013,149303825293,1,,,TRUE,FALSE
BA,SEM MUNICIPIO,2014,2861670999,6,,,TRUE,FALSE
BA,TAPIRAMUTA,2004,24382014,1,243820,1,TRUE,TRUE
BA,TEIXEIRA DE FREITAS,2007,1889931,1,1889931,1,TRUE,TRUE
BA,TEIXEIRA DE FREITAS,2010,2432584,1,,,TRUE,FALSE
BA,TERRA NOVA,2009,299910,1,299910,1,TRUE,TRUE
BA,UBAITABA,2007,454620,1,454620,1,TRUE,TRUE
BA,VITORIA DA CONQUISTA,2004,130214049,1,1302140,1,TRUE,TRUE
BA,VITORIA DA CONQUISTA,2015,2962951,1,2962951,1,TRUE,TRUE
BA,WAGNER,2008,299450,1,299450,1,TRUE,TRUE
CE,-,2002,,,142097966,2,FALSE,TRUE
CE,-,2005,,,20503721,3,FALSE,TRUE
CE,-,2006,,,150407992,7,FALSE,TRUE
CE,-,2008,,,160433079,2,FALSE,TRUE
CE,-,2009,,,610250719,4,FALSE,TRUE
CE,-,2010,,,1122561549,9,FALSE,TRUE
CE,-,2012,,,250677416,1,FALSE,TRUE
CE,-,2013,,,708851751,2,FALSE,TRUE
CE,-,2014,,,1438454512,4,FALSE,TRUE
CE,ACOPIARA,2007,84719395,1,847194,1,TRUE,TRUE
CE,ACOPIARA,2012,420000,1,420000,1,TRUE,TRUE
CE,AQUIRAZ,2006,4465289051,2,617650,1,TRUE,TRUE
CE,AQUIRAZ,2011,2120000,1,2120000,1,TRUE,TRUE
CE,ARARIPE,2004,226490,1,226490,1,TRUE,TRUE
CE,ARARIPE,2008,172700,1,172700,1,TRUE,TRUE
CE,ARATUBA,2003,17596399,1,175964,1,TRUE,TRUE
CE,ARATUBA,2011,997000,1,997000,1,TRUE,TRUE
CE,ASSARE,2007,527985,2,527985,2,TRUE,TRUE
CE,AURORA,2003,48692656,1,486927,1,TRUE,TRUE
CE,BARBALHA,2011,1068500,1,1068500,1,TRUE,TRUE
CE,BELA CRUZ,2007,51000504,1,510005,1,TRUE,TRUE
CE,BREJO SANTO,2011,747600,1,747600,1,TRUE,TRUE
CE,CAMOCIM,2004,440598,1,440598,1,TRUE,TRUE
CE,CANINDE,2004,103935382,1,1039354,1,TRUE,TRUE
CE,CARIRE,2008,286700,1,286700,1,TRUE,TRUE
CE,CASCAVEL,2004,162778,1,162778,1,TRUE,TRUE
CE,CRATEUS,2010,4072523456,1,,,TRUE,FALSE
CE,DEPUTADO IRAPUAN PINHEIRO,2011,492796,1,492796,1,TRUE,TRUE
CE,EUSEBIO,2011,439324,1,439324,1,TRUE,TRUE
CE,FARIAS BRITO,2008,527450,1,527450,1,TRUE,TRUE
CE,FORTALEZA,2003,23490909044,7,,,TRUE,FALSE
CE,FORTALEZA,2005,8955501,2,,,TRUE,FALSE
CE,FORTALEZA,2008,1343268,1,1343268,1,TRUE,TRUE
CE,FORTALEZA,2009,619193233,2,,,TRUE,FALSE
CE,FORTALEZA,2010,113889031868,9,88223535,4,TRUE,TRUE
CE,FORTALEZA,2011,50000000,1,,,TRUE,FALSE
CE,FORTALEZA,2014,415000000,1,,,TRUE,FALSE
CE,FORTALEZA,2015,1001696496,1,,,TRUE,FALSE
CE,FORTALEZA,2016,481297,1,,,TRUE,FALSE
CE,FORTALEZA,2017,3505316,6,,,TRUE,FALSE
CE,GUARACIABA DO NORTE,2004,89000,1,89000,1,TRUE,TRUE
CE,HORIZONTE,2004,61371998,1,613720,1,TRUE,TRUE
CE,HORIZONTE,2008,666950,1,666950,1,TRUE,TRUE
CE,HORIZONTE,2009,313899998,1,3139000,1,TRUE,TRUE
CE,HORIZONTE,2010,1120100,1,1120100,1,TRUE,TRUE
CE,IBIAPINA,2010,1241000,1,1241000,1,TRUE,TRUE
CE,IBIAPINA,2011,793000,2,793000,2,TRUE,TRUE
CE,ICO,2003,29999999,1,300000,1,TRUE,TRUE
CE,IRACEMA,2007,154775,1,154775,1,TRUE,TRUE
CE,IRACEMA,2008,126750,1,126750,1,TRUE,TRUE
CE,IRAUCUBA,2008,314750,1,314750,1,TRUE,TRUE
CE,ITAPIPOCA,2008,53390259,1,533903,1,TRUE,TRUE
CE,ITAPIPOCA,2010,2999500,1,2999500,1,TRUE,TRUE
CE,JIJOCA DE JERICOACOARA,2009,14695657,1,1469566,1,TRUE,TRUE
CE,LIMOEIRO DO NORTE,2008,849995,1,849995,1,TRUE,TRUE
CE,MARACANAU,2007,23069877,3,3774429,3,TRUE,TRUE
CE,MASSAPE,2006,52999999,1,530000,1,TRUE,TRUE
CE,MASSAPE,2010,928000,1,928000,1,TRUE,TRUE
CE,MAURITI,2008,863500,1,863500,1,TRUE,TRUE
CE,NOVA OLINDA,2011,188000,1,188000,1,TRUE,TRUE
CE,PACOTI,2012,397962,1,397962,1,TRUE,TRUE
CE,PENAFORTE,2011,246000,1,246000,1,TRUE,TRUE
CE,PEREIRO,2007,225000,1,225000,1,TRUE,TRUE
CE,PORTEIRAS,2008,277906392,1,2779064,1,TRUE,TRUE
CE,QUIXADA,2006,10770623,1,1077062,1,TRUE,TRUE
CE,SANTANA DO CARIRI,2011,246000,1,246000,1,TRUE,TRUE
CE,SAO GONCALO DO AMARANTE,2009,2760201307,1,,,TRUE,FALSE
CE,SAO GONCALO DO AMARANTE,2010,1328633759,4,,,TRUE,FALSE
CE,SAO GONCALO DO AMARANTE,2014,77014350086,3,,,TRUE,FALSE
CE,SEM MUNICIPIO,2002,14209796581,2,,,TRUE,FALSE
CE,SEM MUNICIPIO,2005,1154821999,1,,,TRUE,FALSE
CE,SEM MUNICIPIO,2006,4047941284,6,,,TRUE,FALSE
CE,SEM MUNICIPIO,2008,16043307818,2,,,TRUE,FALSE
CE,SEM MUNICIPIO,2009,29436958829,2,,,TRUE,FALSE
CE,SEM MUNICIPIO,2010,6023484715,2,,,TRUE,FALSE
CE,SEM MUNICIPIO,2012,27688076287,2,,,TRUE,FALSE
CE,SEM MUNICIPIO,2013,5995017513,2,,,TRUE,FALSE
CE,SEM MUNICIPIO,2014,9999999998,1,,,TRUE,FALSE
CE,SEM MUNICIPIO,2016,1882416983,1,,,TRUE,FALSE
CE,SOBRAL,2006,1206560994,1,12065610,1,TRUE,TRUE
CE,SOBRAL,2010,342691208,1,3426912,1,TRUE,TRUE
CE,SOBRAL,2012,3769400,1,3769400,1,TRUE,TRUE
CE,SOBRAL,2014,1485000,1,1485000,1,TRUE,TRUE
CE,SOLONOPOLE,2012,587600,1,587600,1,TRUE,TRUE
CE,TABULEIRO DO NORTE,2008,771600,1,771600,1,TRUE,TRUE
CE,TAUA,2003,25619356,1,256194,1,TRUE,TRUE
CE,TAUA,2008,641450,1,641450,1,TRUE,TRUE
CE,UBAJARA,2009,918800,1,918800,1,TRUE,TRUE
CE,UBAJARA,2010,1123000,1,1123000,1,TRUE,TRUE
CE,URUOCA,2008,228000,1,228000,1,TRUE,TRUE
CE,VICOSA DO CEARA,2008,700150,1,700150,1,TRUE,TRUE
CE,VICOSA DO CEARA,2009,3000000,1,3000000,1,TRUE,TRUE
DF,-,2009,,,284912983,2,FALSE,TRUE
DF,-,2012,,,22205591,3,FALSE,TRUE
