year,coverage_class,n_rows,year_total,share_in_year
2002,bndes_only_no_rais,1956,1898434,0.00103032288717964
2002,in_rais_panel,1753173,1898434,0.923483776628526
2002,owner_only_no_rais,143305,1898434,0.0754859004842939
2003,bndes_only_no_rais,2689,1996113,0.00134711812407414
2003,in_rais_panel,1824651,1996113,0.914102057348457
2003,owner_only_no_rais,168773,1996113,0.0845508245274691
2004,bndes_only_no_rais,1777,2094469,0.000848425066210099
2004,in_rais_panel,1928880,2094469,0.920939865903959
2004,owner_only_no_rais,163812,2094469,0.0782117090298305
2005,bndes_only_no_rais,2147,2200081,0.000975873161033616
2005,in_rais_panel,2034497,2200081,0.924737316489711
2005,owner_only_no_rais,163437,2200081,0.0742868103492553
2006,bndes_only_no_rais,2537,2309075,0.00109870835724262
2006,in_rais_panel,2134449,2309075,0.924374045884174
2006,owner_only_no_rais,172089,2309075,0.074527245758583
2007,bndes_only_no_rais,4394,2415594,0.00181901428799707
2007,in_rais_panel,2225463,2415594,0.921290167139014
2007,owner_only_no_rais,185737,2415594,0.0768908185729887
2008,bndes_only_no_rais,4224,2542108,0.00166161311793205
2008,in_rais_panel,2345444,2542108,0.922637433185372
2008,owner_only_no_rais,192440,2542108,0.0757009536966958
2009,bndes_only_no_rais,7268,2684233,0.00270766360446355
2009,in_rais_panel,2474338,2684233,0.921804478225251
2009,owner_only_no_rais,202627,2684233,0.0754878581702855
2010,bndes_only_no_rais,12429,2862486,0.00434202996975356
2010,in_rais_panel,2641972,2862486,0.922964164715565
2010,owner_only_no_rais,208085,2862486,0.072693805314681
2011,bndes_only_no_rais,11798,3043189,0.00387685418158386
2011,in_rais_panel,2799679,3043189,0.919981966286024
2011,owner_only_no_rais,231712,3043189,0.0761411795323918
2012,bndes_only_no_rais,12614,3160780,0.00399078708420074
2012,in_rais_panel,2920743,3160780,0.924057669309474
2012,owner_only_no_rais,227423,3160780,0.071951543606325
2013,bndes_only_no_rais,14566,3303171,0.00440970207113104
2013,in_rais_panel,3045620,3303171,0.922029165308124
2013,owner_only_no_rais,242985,3303171,0.0735611326207453
2014,bndes_only_no_rais,12715,3416093,0.00372208836234845
2014,in_rais_panel,3148681,3416093,0.921719929756011
2014,owner_only_no_rais,254697,3416093,0.0745579818816408
2015,bndes_only_no_rais,3839,3443471,0.00111486346189644
2015,in_rais_panel,3170067,3443471,0.920602206320309
2015,owner_only_no_rais,269565,3443471,0.0782829302177948
2016,bndes_only_no_rais,2525,3412245,0.000739982035287619
2016,in_rais_panel,3131451,3412245,0.917709894805326
2016,owner_only_no_rais,278269,3412245,0.0815501231593863
2017,bndes_only_no_rais,4003,3399863,0.00117740038348604
2017,in_rais_panel,3126942,3399863,0.919725883072347
2017,owner_only_no_rais,268918,3399863,0.0790967165441666
