year,pop_tercile,coverage_class,n_rows,cell_total,share
2002,T1_small,bndes_only_no_rais,121,50614,0.00239064290512506
2002,T1_small,in_rais_panel,46796,50614,0.924566325522583
2002,T1_small,owner_only_no_rais,3697,50614,0.0730430315722923
2002,T2_mid,bndes_only_no_rais,206,126389,0.00162988867702094
2002,T2_mid,in_rais_panel,116076,126389,0.918402709096519
2002,T2_mid,owner_only_no_rais,10107,126389,0.0799674022264596
2002,T3_large,bndes_only_no_rais,1629,1721428,0.000946307368068836
2002,T3_large,in_rais_panel,1590300,1721428,0.923826032805322
2002,T3_large,owner_only_no_rais,129499,1721428,0.0752276598266091
2003,T1_small,bndes_only_no_rais,157,55542,0.0028266897122898
2003,T1_small,in_rais_panel,50970,55542,0.91768391487523
2003,T1_small,owner_only_no_rais,4415,55542,0.0794893954124807
2003,T2_mid,bndes_only_no_rais,309,137533,0.00224673351123003
2003,T2_mid,in_rais_panel,125152,137533,0.909977968923822
2003,T2_mid,owner_only_no_rais,12072,137533,0.087775297564948
2003,T3_large,bndes_only_no_rais,2223,1803036,0.00123292047413363
2003,T3_large,in_rais_panel,1648528,1803036,0.914306758156798
2003,T3_large,owner_only_no_rais,152285,1803036,0.0844603213690686
2004,T1_small,bndes_only_no_rais,111,59450,0.00186711522287637
2004,T1_small,in_rais_panel,55052,59450,0.926021867115223
2004,T1_small,owner_only_no_rais,4287,59450,0.0721110176619008
2004,T2_mid,bndes_only_no_rais,228,147558,0.0015451551254422
2004,T2_mid,in_rais_panel,135426,147558,0.917781482535681
2004,T2_mid,owner_only_no_rais,11904,147558,0.0806733623388769
2004,T3_large,bndes_only_no_rais,1438,1887456,0.00076187206483224
2004,T3_large,in_rais_panel,1738401,1887456,0.921028622653985
2004,T3_large,owner_only_no_rais,147617,1887456,0.0782095052811827
2005,T1_small,bndes_only_no_rais,151,64553,0.00233916316824935
2005,T1_small,in_rais_panel,59865,64553,0.927377503756603
2005,T1_small,owner_only_no_rais,4537,64553,0.0702833330751476
2005,T2_mid,bndes_only_no_rais,259,159606,0.00162274601205468
2005,T2_mid,in_rais_panel,147003,159606,0.921036803127702
2005,T2_mid,owner_only_no_rais,12344,159606,0.0773404508602434
2005,T3_large,bndes_only_no_rais,1737,1975918,0.000879085063246552
2005,T3_large,in_rais_panel,1827626,1975918,0.924950326886035
2005,T3_large,owner_only_no_rais,146555,1975918,0.0741705880507187
2006,T1_small,bndes_only_no_rais,200,69243,0.00288837860866802
2006,T1_small,in_rais_panel,64227,69243,0.927559464494606
2006,T1_small,owner_only_no_rais,4816,69243,0.069552156896726
2006,T2_mid,bndes_only_no_rais,264,170236,0.00155078831739468
2006,T2_mid,in_rais_panel,156692,170236,0.920439859959116
2006,T2_mid,owner_only_no_rais,13280,170236,0.0780093517234897
2006,T3_large,bndes_only_no_rais,2073,2069591,0.00100164718536175
2006,T3_large,in_rais_panel,1913527,2069591,0.924591863803041
2006,T3_large,owner_only_no_rais,153991,2069591,0.074406489011597
2007,T1_small,bndes_only_no_rais,276,73763,0.00374171332510879
2007,T1_small,in_rais_panel,67996,73763,0.921817171210498
2007,T1_small,owner_only_no_rais,5491,73763,0.0744411154643927
2007,T2_mid,bndes_only_no_rais,557,181114,0.00307541106706273
2007,T2_mid,in_rais_panel,165758,181114,0.915213622359398
2007,T2_mid,owner_only_no_rais,14799,181114,0.0817109665735393
2007,T3_large,bndes_only_no_rais,3561,2160711,0.00164806862185642
2007,T3_large,in_rais_panel,1991706,2160711,0.921782690975332
2007,T3_large,owner_only_no_rais,165444,2160711,0.0765692404028119
2008,T1_small,bndes_only_no_rais,249,78561,0.00316951158972009
2008,T1_small,in_rais_panel,72673,78561,0.925051870520996
2008,T1_small,owner_only_no_rais,5639,78561,0.0717786178892835
2008,T2_mid,bndes_only_no_rais,441,192703,0.0022884957680991
2008,T2_mid,in_rais_panel,176948,192703,0.918242061618138
2008,T2_mid,owner_only_no_rais,15314,192703,0.0794694426137632
2008,T3_large,bndes_only_no_rais,3534,2270841,0.00155625162660001
2008,T3_large,in_rais_panel,2095823,2270841,0.922928113417012
2008,T3_large,owner_only_no_rais,171484,2270841,0.0755156349563884
2009,T1_small,bndes_only_no_rais,456,85238,0.00534972664773927
2009,T1_small,in_rais_panel,78720,85238,0.923531758136043
2009,T1_small,owner_only_no_rais,6062,85238,0.0711185152162181
2009,T2_mid,bndes_only_no_rais,899,207273,0.0043372749948136
2009,T2_mid,in_rais_panel,189912,207273,0.916240899683027
2009,T2_mid,owner_only_no_rais,16462,207273,0.0794218253221597
2009,T3_large,bndes_only_no_rais,5913,2391717,0.00247228246485684
2009,T3_large,in_rais_panel,2205706,2391717,0.922227002609423
