year,n_munis,zero_A,zero_B,zero_C,le10_A,le50_A,le100_A,mean_A,median_A
2002,5571,26,26,48,85,185,363,5092.00323101777,579
2003,5571,15,15,35,62,152,291,5246.69359181476,620
2004,5571,14,17,28,58,141,268,5575.34482139652,642
2005,5571,11,11,21,26,74,181,5905.93430263867,705
2006,5571,6,6,12,13,48,115,6223.29958714773,761
2007,5571,6,6,10,15,40,86,6682.02333512834,811
2008,5571,11,11,14,27,49,102,7006.69179680488,830
2009,5571,7,7,11,22,52,79,7332.97540836475,897
2010,5571,7,7,11,12,31,54,7841.44318793753,950
2011,5571,6,6,8,13,27,52,8213.36151498833,1028
2012,5571,6,6,7,12,30,52,8435.05313229223,1013
2013,5571,1,1,1,7,23,38,8712.76736672052,1072
2014,5571,1,1,1,3,11,22,8826.08723747981,1103
2015,5571,2,2,2,4,17,28,8528.39813318973,1101
2016,5571,1,1,1,3,25,50,8173.89642793035,1061
2017,5571,1,1,1,1,8,17,8207.78531681924,1114
