level,n_rows,share,kind
1,2182744,0.646954806255361,exact
2,1065678,0.315861825308236,exact
3,85530,0.0253506799601882,exact
4,25343,0.0075115431103829,exact
5,7483,0.00221792515073177,exact
6,3129,0.000927420526077737,exact
7,1393,0.000412878489238187,exact
8,785,0.00023267021827134,exact
9,460,0.00013634178395518,exact
10,303,8.98077403009123e-05,exact
11,217,6.43177546049438e-05,exact
12,146,4.32736966466442e-05,exact
13,110,3.26034700762388e-05,exact
14,84,2.4897195330946e-05,exact
15,61,1.8080106133187e-05,exact
16,56,1.65981302206306e-05,exact
17,47,1.39305735780293e-05,exact
18,28,8.29906511031532e-06,exact
19,36,1.06702265704054e-05,exact
20,21,6.22429883273649e-06,exact
21,22,6.52069401524775e-06,exact
22,21,6.22429883273649e-06,exact
23,21,6.22429883273649e-06,exact
24,20,5.92790365022523e-06,exact
25,15,4.44592773766892e-06,exact
26,10,2.96395182511262e-06,exact
27,9,2.66755664260135e-06,exact
28,12,3.55674219013514e-06,exact
29,4,1.18558073004505e-06,exact
30,7,2.07476627757883e-06,exact
31,2,5.92790365022523e-07,exact
32,6,1.77837109506757e-06,exact
33,4,1.18558073004505e-06,exact
34,4,1.18558073004505e-06,exact
35,5,1.48197591255631e-06,exact
36,3,8.89185547533785e-07,exact
37,3,8.89185547533785e-07,exact
38,2,5.92790365022523e-07,exact
39,4,1.18558073004505e-06,exact
40,2,5.92790365022523e-07,exact
41,3,8.89185547533785e-07,exact
43,4,1.18558073004505e-06,exact
45,3,8.89185547533785e-07,exact
46,2,5.92790365022523e-07,exact
47,1,2.96395182511262e-07,exact
48,2,5.92790365022523e-07,exact
49,1,2.96395182511262e-07,exact
50,1,2.96395182511262e-07,exact
51,4,1.18558073004505e-06,exact
52,1,2.96395182511262e-07,exact
54,1,2.96395182511262e-07,exact
58,2,5.92790365022523e-07,exact
60,1,2.96395182511262e-07,exact
61,2,5.92790365022523e-07,exact
62,1,2.96395182511262e-07,exact
67,1,2.96395182511262e-07,exact
68,2,5.92790365022523e-07,exact
70,1,2.96395182511262e-07,exact
73,1,2.96395182511262e-07,exact
75,1,2.96395182511262e-07,exact
76,1,2.96395182511262e-07,exact
78,1,2.96395182511262e-07,exact
79,1,2.96395182511262e-07,exact
80,2,5.92790365022523e-07,exact
82,1,2.96395182511262e-07,exact
84,1,2.96395182511262e-07,exact
106,1,2.96395182511262e-07,exact
110,1,2.96395182511262e-07,exact
1_owner,2182744,0.646954806255361,bucket
2_owners,1065678,0.315861825308236,bucket
3to5_owners,118356,0.0350801482213029,bucket
6plus_owners,7096,0.00210322021509991,bucket
