cnae_section,n_owner_only,share_owner_only,n_rais,n_rais_1to4,n_rais_5to19,n_rais_20plus,median_emp,mean_emp,share_rais_1to4
,,,2,2,0,0,1.5,1.5,1
G,1744028,0.51692149736475,14157286,9457070,3899903,800313,3,7.51508622485977,0.668000208514542
C,326243,0.0966968535280215,4256365,1934867,1538127,783371,5,24.958585083751,0.454582020104009
I,284017,0.084181270551301,2639059,1479984,939392,219683,4,8.73864434254786,0.560799891173331
F,193207,0.0572656240274533,1347121,698001,417822,231298,4,21.7030778972342,0.51814276520075
H,185765,0.0550598510792045,4683854,3137629,1215060,331165,3,9.93580606910463,0.669881896404115
N,164294,0.0486959501155052,3038370,1867764,919208,251398,3,16.7364396041298,0.614725658823646
M,104058,0.0308422899017569,2172289,1398787,589977,183525,3,23.5174477244971,0.643923069168053
S,90793,0.026910607805745,1449470,990485,347950,111035,2,9.82721270533367,0.683342877051612
Q,63324,0.0187689285373431,1229879,883700,236666,109513,2,17.2478967443139,0.718525968814818
J,49201,0.0145829393747366,760016,429323,232962,97731,4,18.9341040188628,0.564886791857014
P,45114,0.0133715722638131,975302,444604,339043,191655,5,25.2488716315562,0.455862901952421
A,29352,0.00869979139707055,2027100,1502520,374594,149986,2,10.8028854027922,0.741216516205417
R,28439,0.00842918259543777,712224,457210,191593,63421,3,10.8825973289302,0.641946915577122
K,25252,0.00748457114877438,504117,260254,174378,69485,4,27.9385261754712,0.516257138719781
L,24322,0.0072089236290389,225561,165879,48413,11269,2,6.12413050128347,0.735406386742389
E,8006,0.00237293983118516,170437,82769,58431,29237,5,29.0688406860013,0.485628120654553
B,7281,0.0021580533238645,91131,40450,32305,18376,6,29.4747890399535,0.443866521820237
D,498,0.000147604800890608,38869,14740,13749,10380,7,57.1600246983457,0.37922251665852
T,415,0.000123004000742174,36857,33423,2769,665,1,3.5517812084543,0.906829096236807
O,195,5.7797060589696e-05,186533,33430,38332,114771,82,553.291326467703,0.179217618330269
U,70,2.07476627757883e-05,4208,1899,1699,610,5,16.2816064638783,0.451283269961977
