year,rais_total_emp,rais_rows,oo_rows_n,oo_rows_ever_rais,imp_total_median,imp_total_p25,imp_total_median_ER,imp_total_p25_ER,share_added_median,share_added_p25,share_added_median_ER,share_added_p25_ER
2002,28367550,1753173,143303,57316,580268,261724,231100,103745,0.020455344222536,0.0092261756831309,0.00814663233166065,0.00365717166269206
2003,29229330,1824651,168772,149875,676375,306618.5,598987.5,271818.5,0.0231402840913562,0.0104900967623959,0.0204926866267547,0.00929951182596385
2004,31060246,1928880,163808,148056,660892.5,296253,596280,267533.5,0.021277761290107,0.00953801202991116,0.0191975298585852,0.00861337350644293
2005,32901960,2034497,163436,148334,657072,301620.5,595887,273491,0.0199706035749846,0.00916725021852801,0.0181109879168293,0.00831230115166391
2006,34670002,2134449,172087,157396,584413,216549,534874,198024,0.0168564455231355,0.00624600483149669,0.0154275733817379,0.00571168123959151
2007,37225552,2225463,185734,170820,626899,232591,576937,213833,0.0168405561857081,0.00624815449345117,0.015498413562813,0.00574425330214042
2008,39034280,2345444,192437,175788,650662.5,241257.25,594410.5,220062.5,0.0166690022206122,0.00618065069984639,0.0152279099294261,0.00563767283526172
2009,40852006,2474338,202622,186174,686394,253388,631003,232551,0.016801965612166,0.00620258402977812,0.0154460713630562,0.00569252339774943
2010,43684680,2641972,208080,188884,704972,260689,639056,235983,0.0161377398209166,0.00596751538525634,0.0146288355551649,0.00540196242710259
2011,45756637,2799679,231708,208466,788908,293456,708194,263049,0.0172413894841092,0.00641340839799918,0.0154774049500185,0.00574887092335916
2012,46991681,2920743,227418,204930,761175,291064,683718,261107,0.0161980798260867,0.00619394739251826,0.014549766798085,0.00555645157703552
2013,48538827,3045620,242982,218106,793952,313410,711435,279886,0.0163570495842431,0.00645689274691372,0.0146570291037317,0.00576622916742508
2014,49170132,3148681,254693,227249,831878,329471,740977,292450,0.0169183601134119,0.00670063281505935,0.0150696565142432,0.00594771639010446
2015,47511706,3170067,269557,243085,880986,351790,793332,315687,0.0185425040304804,0.00740428053667448,0.0166976113213026,0.00664440464419442
2016,45536777,3131451,278265,249860,909557,343162,815656,307683,0.0199741189412681,0.0075359307928183,0.0179120274585968,0.00675680230948273
2017,45725572,3126942,268913,237689,857410,332217,758183.5,293389,0.0187512143095771,0.00726545312544149,0.0165811703787981,0.00641630027066693
