n_years_owner_only,n_firms,share_firms,n_rows,share_rows
1,2306441,0.832202533655182,2306441,0.683881307309697
2,366883,0.132377529776402,733766,0.217568475126572
3,73778,0.0266203377966365,221334,0.0656275990897163
4,17101,0.0061703271525425,68404,0.0202824251499225
5,4461,0.00160960349847916,22305,0.00661364091235925
6,1405,0.000506947526420806,8430,0.00249957376781836
7,645,0.000232726800385352,4515,0.00133873968703439
8,296,0.000106801756455914,2368,0.000702134126001646
9,184,6.63902810401625e-05,1656,0.000491019473251151
10,125,4.51020930979365e-05,1250,0.000370636679688369
11,76,2.74220726035454e-05,836,0.000247881811375581
12,34,1.22677693226387e-05,408,0.000120975812250284
13,17,6.13388466131936e-06,221,6.55285649689036e-05
14,25,9.0204186195873e-06,350,0.000103778270312743
15,13,4.6906176821854e-06,195,5.78193220313855e-05
16,6,2.16490046870095e-06,96,2.84648970000667e-05
