ano,sigla_uf,id_municipio,quantidade_vinculos_ativos,quantidade_vinculos_clt,quantidade_vinculos_estatutarios,natureza_estabelecimento,natureza_juridica,tamanho_estabelecimento,tipo_estabelecimento,indicador_cei_vinculado,indicador_pat,indicador_simples,indicador_rais_negativa,indicador_atividade_ano,cnae_1,cnae_2,cnae_2_subclasse,subsetor_ibge,subatividade_ibge,cep,bairros_sp,distritos_sp,bairros_fortaleza,bairros_rj,regioes_administrativas_df
2017,MG,3106200,15,15,0,,2062,4,1,0,0,0,0,1,01112,01113,0111301,25,,30310300,,,,,
2017,MG,3135050,14,14,0,,2062,4,3,0,0,0,0,1,01112,01113,0111301,25,,39508970,,,,,
2017,MG,3164407,15,15,0,,4014,4,3,0,0,0,0,1,01112,01113,0111301,25,,37567000,,,,,
2017,MG,3149309,12,12,0,,2062,4,1,0,0,0,0,1,01112,01113,0111301,25,,33600000,,,,,
2017,MG,3170529,12,12,0,,4081,4,3,0,0,0,0,1,01112,01113,0111301,25,,39315000,,,,,
2017,MG,3147006,12,12,0,,2135,4,3,0,0,0,0,1,01112,01113,0111301,25,,38600000,,,,,
2017,MG,3105103,57,57,0,,4081,6,3,0,0,0,0,1,01112,01113,0111302,25,,38900000,,,,,
2017,MG,3101607,14,14,0,,2062,4,1,0,1,0,0,1,01112,01113,0111302,25,,37135516,,,,,
2017,MG,3107109,13,13,0,,2062,4,1,0,0,0,0,1,01112,01113,0111302,25,,37170000,,,,,
2017,MG,3164209,113,113,0,,2135,7,3,0,0,0,0,1,01112,01113,0111302,25,,39290000,,,,,
2017,MG,3170206,33,33,0,,4081,5,3,0,0,0,0,1,01112,01113,0111302,25,,38408369,,,,,
2017,MG,3109402,28,28,0,,4120,5,3,0,0,0,0,1,01112,01113,0111302,25,,39280000,,,,,
2017,MG,3109451,28,28,0,,4081,5,3,0,0,0,0,1,01112,01113,0111302,25,,38625000,,,,,
2017,MG,3169307,14,14,0,,4081,4,3,0,0,0,0,1,01112,01113,0111302,25,,37410000,,,,,
2017,MG,3129509,12,12,0,,4022,4,3,0,0,0,0,1,01112,01113,0111302,25,,38950000,,,,,
2017,MG,3143500,32,32,0,,2046,5,1,0,1,0,0,1,01112,01113,0111302,25,,35628000,,,,,
2017,MG,3120805,20,20,0,,4081,5,3,0,0,0,0,1,01112,01113,0111302,25,,37445000,,,,,
2017,MG,3153400,23,23,0,,4081,5,3,0,0,0,0,1,01112,01113,0111302,25,,38750000,,,,,
2017,MG,3162005,23,23,0,,4120,5,3,0,0,0,0,1,01112,01113,0111302,25,,37490000,,,,,
2017,MG,3169307,15,15,0,,4081,4,3,0,0,0,0,1,01112,01113,0111302,25,,37410000,,,,,
2002,PR,4106902,0,0,0,,2062,1,1,0,1,0,0,,01112,,,,,,,,,,
2002,PR,4119202,0,0,0,,4081,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4106902,0,0,0,,2062,1,1,0,0,0,1,,01112,,,,,,,,,,
2002,PR,4126405,0,0,0,,4081,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4120002,0,0,0,,4081,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4113700,0,0,0,,2135,1,1,0,0,1,1,,01112,,,,,,,,,,
2002,PR,4102406,0,0,0,,2062,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4101101,0,0,0,,4081,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4128005,0,0,0,,2135,1,1,0,0,0,1,,01112,,,,,,,,,,
2002,PR,4101101,0,0,0,,4081,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4125605,0,0,0,,4081,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4113700,0,0,0,,2135,1,1,0,0,1,1,,01112,,,,,,,,,,
2002,PR,4101507,0,0,0,,4081,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4122503,0,0,0,,4081,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4117404,0,0,0,,4014,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4123204,0,0,0,,4022,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4114005,0,0,0,,4081,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4114203,0,0,0,,4081,1,3,0,0,0,0,,01112,,,,,,,,,,
2002,PR,4113700,0,0,0,,2062,1,1,0,0,1,1,,01112,,,,,,,,,,
2002,PR,4113700,0,0,0,,2135,1,1,0,0,1,1,,01112,,,,,,,,,,
