year,n_obs,total_A,total_B,slack_agg,slack_mean,slack_median
2002,5545,28367550,28367550,1,1,1
2003,5556,29229330,29229330,1,1,1
2004,5557,31060246,29945954,0.964124817298614,0.962206172190838,0.97588908981314
2005,5560,32901960,32901960,1,1,1
2006,5565,34670002,34670002,1,1,1
2007,5565,37225552,37225552,1,1,1
2008,5560,39034280,37794559,0.968240198102796,0.968297534625922,0.976336027476527
2009,5564,40852006,40852006,1,1,1
2010,5564,43684680,43684680,1,1,1
2011,5565,45756637,45756637,1,1,1
2012,5565,46991681,45585216,0.970069915140937,0.967659075762921,0.976170108762068
2013,5570,48538827,48538827,1,1,1
2014,5570,49170132,49170132,1,1,1
2015,5569,47511706,47511706,1,1,1
2016,5570,45536777,44464473,0.97645191270344,0.976877575024188,0.98294530532092
2017,5570,45725572,43395912,0.949051266105539,0.951775399889249,0.961885325717851
