stage,metric,value,alignment,exposure,weighting_target,fe_type
overall,panel_rows,44181405,,,,
overall,f_pre_rows,23206236,,,,
overall,f_pre_unique_firms,4085560,,,,
overall,f_pre_unique_munis,5571,,,,
overall,f_pre_unique_sectors,22,,,,
prop2_retention,agg_retention_rate,0.999997250515185,coalition,pooled_count,unweighted,relaxed
prop2_retention,agg_retention_rate,0.999997250515185,coalition,pooled_count,unweighted,exact
prop2_retention,agg_retention_rate,0.999997250515185,coalition,binary,unweighted,relaxed
prop2_retention,agg_retention_rate,0.999997250515185,coalition,binary,unweighted,exact
prop2_retention,agg_retention_rate,0.999997250515185,party,pooled_count,unweighted,relaxed
prop2_retention,agg_retention_rate,0.999997250515185,party,pooled_count,unweighted,exact
prop2_retention,agg_retention_rate,0.999997250515185,party,binary,unweighted,relaxed
prop2_retention,agg_retention_rate,0.999997250515185,party,binary,unweighted,exact
