canonical_slug,time_variation,instrument_weight,alignment,baseline,fe,exposure_control,depvar,n_obs,n_combos_run,n_combos_failed,wald_f_min,wald_f_max,control_wald_f_min,control_wald_f_max,elapsed_fit_sec,elapsed_table_sec,elapsed_summary_sec,elapsed_sec,status,skip_reason,degenerate_warning,tex_path
sector__levels__binary__coalition__cycle_specific__mxj_jxt__noctrl,levels,binary,coalition,cycle_specific,mxj_jxt,no,s_mjt,795456,6,0,0.974181584122445,3.36493295745223,,,1.32,0.28,0.0600000000000001,1.71,completed,,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP_Code/BNDES/output/muni_reg_tables_grouped/sector__levels__binary__coalition__cycle_specific__mxj_jxt__noctrl.tex
sector__levels__binary__coalition__cycle_specific__mxj_mxt__noctrl,levels,binary,coalition,cycle_specific,mxj_mxt,no,s_mjt,795456,6,0,0.0179028454800081,2.04696846453948,,,1.3,0.0800000000000001,0.0600000000000005,1.48,completed,,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP_Code/BNDES/output/muni_reg_tables_grouped/sector__levels__binary__coalition__cycle_specific__mxj_mxt__noctrl.tex
sector__levels__binary__party__cycle_specific__mxj_jxt__noctrl,levels,binary,party,cycle_specific,mxj_jxt,no,s_mjt,795456,6,0,0.0625755690683411,0.893798802804709,,,1.25,0.0599999999999996,0.0700000000000003,1.41,completed,,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP_Code/BNDES/output/muni_reg_tables_grouped/sector__levels__binary__party__cycle_specific__mxj_jxt__noctrl.tex
sector__levels__binary__party__cycle_specific__mxj_mxt__noctrl,levels,binary,party,cycle_specific,mxj_mxt,no,s_mjt,795456,6,0,0.537008613934579,2.9281498210346,,,1.26,0.0600000000000005,0.0500000000000007,1.42,completed,,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP_Code/BNDES/output/muni_reg_tables_grouped/sector__levels__binary__party__cycle_specific__mxj_mxt__noctrl.tex
sector__levels__employment__coalition__cycle_specific__mxj_jxt__noctrl,levels,employment,coalition,cycle_specific,mxj_jxt,no,s_mjt,795456,6,0,2.76029574335806,8.27395009406378,,,1.28,0.0700000000000003,0.0399999999999991,1.43,completed,,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP_Code/BNDES/output/muni_reg_tables_grouped/sector__levels__employment__coalition__cycle_specific__mxj_jxt__noctrl.tex
sector__levels__employment__coalition__cycle_specific__mxj_mxt__noctrl,levels,employment,coalition,cycle_specific,mxj_mxt,no,s_mjt,795456,6,0,0.849593625307117,2.26966511518344,,,1.29,0.0700000000000003,0.0599999999999987,1.45,completed,,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP_Code/BNDES/output/muni_reg_tables_grouped/sector__levels__employment__coalition__cycle_specific__mxj_mxt__noctrl.tex
sector__levels__employment__party__cycle_specific__mxj_jxt__noctrl,levels,employment,party,cycle_specific,mxj_jxt,no,s_mjt,795456,6,0,0.972320908296467,1.65481169526,,,1.27,0.0700000000000003,0.0399999999999991,1.42,completed,,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP_Code/BNDES/output/muni_reg_tables_grouped/sector__levels__employment__party__cycle_specific__mxj_jxt__noctrl.tex
sector__levels__employment__party__cycle_specific__mxj_mxt__noctrl,levels,employment,party,cycle_specific,mxj_mxt,no,s_mjt,795456,6,0,0.517478214153315,1.54588907581587,,,1.29,0.0600000000000005,0.0500000000000007,1.43,completed,,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP_Code/BNDES/output/muni_reg_tables_grouped/sector__levels__employment__party__cycle_specific__mxj_mxt__noctrl.tex
sector__levels__equal_firm__coalition__cycle_specific__mxj_jxt__noctrl,levels,equal_firm,coalition,cycle_specific,mxj_jxt,no,s_mjt,795456,6,0,3.28421595029582,10.6692291919359,,,1.28,0.0599999999999987,0.0599999999999987,1.45,completed,,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP_Code/BNDES/output/muni_reg_tables_grouped/sector__levels__equal_firm__coalition__cycle_specific__mxj_jxt__noctrl.tex
sector__levels__equal_firm__coalition__cycle_specific__mxj_mxt__noctrl,levels,equal_firm,coalition,cycle_specific,mxj_mxt,no,s_mjt,795456,6,0,1.1718988792468,2.84532521871246,,,1.29,0.0500000000000007,0.0500000000000007,1.43,completed,,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP_Code/BNDES/output/muni_reg_tables_grouped/sector__levels__equal_firm__coalition__cycle_specific__mxj_mxt__noctrl.tex
