tier,alignment,exposure,weighting,max_abs_diff,firm_obs,agg_cells,firm_retained_pct
gold,synthetic,synthetic,unweighted,1e-15,10000,2500,100
bronze,coalition,pooled_count,unweighted,0.0115737154824202,24157111,485225,100
silver,coalition,pooled_count,unweighted,,14144058,,58.5502877392914
bronze,coalition,pooled_count,emp_weighted,0.0273034137370254,22703715,480726,100
silver,coalition,pooled_count,emp_weighted,0.0610043435923541,13000619,345498,57.2620780343658
bronze,coalition,binary,unweighted,0.00493148364929914,24157111,485225,100
silver,coalition,binary,unweighted,,14144058,,58.5502877392914
bronze,coalition,binary,emp_weighted,0.0463370790511939,22703715,480726,100
silver,coalition,binary,emp_weighted,0.0673077493718348,13000619,345498,57.2620780343658
bronze,party,pooled_count,unweighted,0.0214080259384378,24157111,485225,100
silver,party,pooled_count,unweighted,,14144058,,58.5502877392914
bronze,party,pooled_count,emp_weighted,0.123783888317849,22703715,480726,100
silver,party,pooled_count,emp_weighted,0.202867996334032,13000619,345498,57.2620780343658
bronze,party,binary,unweighted,0.0201902900153542,24157111,485225,100
silver,party,binary,unweighted,,14144058,,58.5502877392914
bronze,party,binary,emp_weighted,0.135540964594325,22703715,480726,100
silver,party,binary,emp_weighted,0.23985020773501,13000619,345498,57.2620780343658
