canonical_slug,outcome,exposure,aggregation,regression_weight,sector_var,baseline,alignment,fe,exposure_control,depvar,n_obs,n_combos_run,n_combos_failed,wald_f_min,wald_f_max,control_wald_f_min,control_wald_f_max,elapsed_fit_sec,elapsed_table_sec,elapsed_summary_sec,elapsed_sec,status,skip_reason,tex_path
agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_jxt__ctrl__pooled_count,bndes_extensive,pooled_count,employment,emp_weighted,bndes_sector,cycle_specific,coalition,mxj_jxt,yes,Y_bndes_extensive,255694,6,0,0.0147545959541777,5.3419812413282,,,13.43,0.220000000000027,0.0600000000000023,103.68,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_bndes_sector/agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_jxt__ctrl__pooled_count.tex
agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_jxt__noctrl__pooled_count,bndes_extensive,pooled_count,employment,emp_weighted,bndes_sector,cycle_specific,coalition,mxj_jxt,no,Y_bndes_extensive,255694,6,0,0.000508982444007864,7.01037175072435,,,11.92,0.0600000000000023,0.0699999999999932,12.11,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_bndes_sector/agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_jxt__noctrl__pooled_count.tex
agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_mxt__ctrl__pooled_count,bndes_extensive,pooled_count,employment,emp_weighted,bndes_sector,cycle_specific,coalition,mxj_mxt,yes,Y_bndes_extensive,253581,6,0,0.110696510630102,3.14867400585692,,,15.45,0.0500000000000114,0.0400000000000205,15.61,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_bndes_sector/agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_mxt__ctrl__pooled_count.tex
agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_mxt__noctrl__pooled_count,bndes_extensive,pooled_count,employment,emp_weighted,bndes_sector,cycle_specific,coalition,mxj_mxt,no,Y_bndes_extensive,253581,6,0,1.54559058474073,6.97745597902447,,,11.96,0.0400000000000205,0.0499999999999545,12.11,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_bndes_sector/agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_mxt__noctrl__pooled_count.tex
agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__ctrl__pooled_count,bndes_extensive,pooled_count,equal_firm,unweighted,bndes_sector,cycle_specific,coalition,mxj_jxt,yes,Y_bndes_extensive,256337,6,0,0.889447824672283,12.1767972069156,,,12.05,0.210000000000036,0.0799999999999272,114.36,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_bndes_sector/agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__ctrl__pooled_count.tex
agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__ctrl__pooled_count__bottom_3q,bndes_extensive,pooled_count,equal_firm,unweighted,bndes_sector,cycle_specific,coalition,mxj_jxt,yes,Y_bndes_extensive,184513,6,0,0.850703269253201,12.6270754041419,,,10.8,0.220000000000027,0.0600000000000023,117.47,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_bndes_sector/agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__ctrl__pooled_count__bottom_3q.tex
agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__ctrl__pooled_count__top_q4,bndes_extensive,pooled_count,equal_firm,unweighted,bndes_sector,cycle_specific,coalition,mxj_jxt,yes,Y_bndes_extensive,71824,6,0,0.162246477923487,2.71626075258471,,,9.64999999999998,0.21999999999997,0.0699999999999932,115.67,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_bndes_sector/agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__ctrl__pooled_count__top_q4.tex
agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__noctrl__pooled_count,bndes_extensive,pooled_count,equal_firm,unweighted,bndes_sector,cycle_specific,coalition,mxj_jxt,no,Y_bndes_extensive,256337,6,0,0.739649409907419,5.40701699817797,,,10.29,0.0600000000000591,0.0499999999999545,10.4499999999999,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_bndes_sector/agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__noctrl__pooled_count.tex
agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__noctrl__pooled_count__bottom_3q,bndes_extensive,pooled_count,equal_firm,unweighted,bndes_sector,cycle_specific,coalition,mxj_jxt,no,Y_bndes_extensive,184513,6,0,0.671955019480239,7.00273340758446,,,9.53000000000003,0.0699999999999932,0.0600000000000023,9.69999999999999,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_bndes_sector/agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__noctrl__pooled_count__bottom_3q.tex
agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__noctrl__pooled_count__top_q4,bndes_extensive,pooled_count,equal_firm,unweighted,bndes_sector,cycle_specific,coalition,mxj_jxt,no,Y_bndes_extensive,71824,6,0,0.218537619755194,4.93486021885517,,,9.22000000000003,0.0600000000000023,0.0500000000000114,9.37,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_bndes_sector/agg_firm__bndes_sector__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__noctrl__pooled_count__top_q4.tex
