canonical_slug,outcome,exposure,aggregation,regression_weight,sector_var,baseline,alignment,fe,exposure_control,depvar,n_obs,n_combos_run,n_combos_failed,wald_f_min,wald_f_max,control_wald_f_min,control_wald_f_max,elapsed_fit_sec,elapsed_table_sec,elapsed_summary_sec,elapsed_sec,status,skip_reason,tex_path
agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_jxt__ctrl__pooled_count,bndes_extensive,pooled_count,employment,emp_weighted,size_bin,cycle_specific,coalition,mxj_jxt,yes,Y_bndes_extensive,208485,6,0,3.1767206082352,38.2189428326721,,,13.8399999999999,0.0700000000001637,0.0599999999999454,91.6400000000001,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_size_bin/agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_jxt__ctrl__pooled_count.tex
agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_jxt__noctrl__pooled_count,bndes_extensive,pooled_count,employment,emp_weighted,size_bin,cycle_specific,coalition,mxj_jxt,no,Y_bndes_extensive,208485,6,0,6.60262508186899,53.5492940871631,,,12.0899999999999,0.0600000000001728,0.0499999999999545,12.27,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_size_bin/agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_jxt__noctrl__pooled_count.tex
agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_mxt__ctrl__pooled_count,bndes_extensive,pooled_count,employment,emp_weighted,size_bin,cycle_specific,coalition,mxj_mxt,yes,Y_bndes_extensive,206638,6,0,0.019900072584777,33.0811868415112,,,14.53,0.0499999999999545,0.0500000000001819,14.7,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_size_bin/agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_mxt__ctrl__pooled_count.tex
agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_mxt__noctrl__pooled_count,bndes_extensive,pooled_count,employment,emp_weighted,size_bin,cycle_specific,coalition,mxj_mxt,no,Y_bndes_extensive,206638,6,0,4.12789099869035,12.3647743775359,,,12.3199999999999,0.0700000000001637,0.0399999999999636,12.5,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_size_bin/agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__employment__emp_weighted__mxj_mxt__noctrl__pooled_count.tex
agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__ctrl__pooled_count,bndes_extensive,pooled_count,equal_firm,unweighted,size_bin,cycle_specific,coalition,mxj_jxt,yes,Y_bndes_extensive,208638,6,0,0.000530704848355544,2.21316817719596,,,12.73,0.0599999999999454,0.0499999999999545,100.36,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_size_bin/agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__ctrl__pooled_count.tex
agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__noctrl__pooled_count,bndes_extensive,pooled_count,equal_firm,unweighted,size_bin,cycle_specific,coalition,mxj_jxt,no,Y_bndes_extensive,208638,6,0,0.468170116475771,7.2066863973798,,,10.8399999999999,0.0599999999999454,0.0499999999999545,10.98,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_size_bin/agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_jxt__noctrl__pooled_count.tex
agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_mxt__ctrl__pooled_count,bndes_extensive,pooled_count,equal_firm,unweighted,size_bin,cycle_specific,coalition,mxj_mxt,yes,Y_bndes_extensive,206807,6,0,0.0343247771716124,0.327111943960306,,,12.5799999999999,0.0399999999999636,0.0499999999999545,12.74,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_size_bin/agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_mxt__ctrl__pooled_count.tex
agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_mxt__noctrl__pooled_count,bndes_extensive,pooled_count,equal_firm,unweighted,size_bin,cycle_specific,coalition,mxj_mxt,no,Y_bndes_extensive,206807,6,0,0.365242102449887,2.58560425869663,,,10.9699999999998,0.0600000000001728,0.0499999999999545,11.1399999999999,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_size_bin/agg_firm__size_bin__bndes_extensive__coalition__cycle_specific__equal_firm__unweighted__mxj_mxt__noctrl__pooled_count.tex
agg_firm__size_bin__bndes_extensive__party__cycle_specific__employment__emp_weighted__mxj_jxt__ctrl__pooled_count,bndes_extensive,pooled_count,employment,emp_weighted,size_bin,cycle_specific,party,mxj_jxt,yes,Y_bndes_extensive,208485,6,0,1.69600751001758,151.094727452278,,,13.6400000000001,0.0399999999999636,0.0499999999999545,13.8,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_size_bin/agg_firm__size_bin__bndes_extensive__party__cycle_specific__employment__emp_weighted__mxj_jxt__ctrl__pooled_count.tex
agg_firm__size_bin__bndes_extensive__party__cycle_specific__employment__emp_weighted__mxj_jxt__noctrl__pooled_count,bndes_extensive,pooled_count,employment,emp_weighted,size_bin,cycle_specific,party,mxj_jxt,no,Y_bndes_extensive,208485,6,0,5.17386538716083,154.056091125779,,,12.1700000000001,0.0499999999999545,0.0499999999999545,12.3199999999999,completed,,C:/Users/LENOVO/Desktop/David/Proyectos/Brazil_IP/paper/tables/agg_firm_size_bin/agg_firm__size_bin__bndes_extensive__party__cycle_specific__employment__emp_weighted__mxj_jxt__noctrl__pooled_count.tex
